TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A2LA-11A-11R-A18C-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-GC-A6I3-11A-11R-A31N-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-GD-A3OQ-11A-21R-A220-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-K4-A5RI-11A-11R-A28M-07
ABCF3|55324	647.612	600.175	625.4417	406.4108	1227.1318	815.3425	1535.865	1424.8609	548.4805	801.1765	866.1424	926.5306	1511.9522	1425.8373	1330.6978	929.4057	1290.9664	1120.0717	1122.5494
ABCG1|9619	672.6904	550.3062	251.7668	350.6134	244.9612	367.1233	1471.73	429.9629	364.6889	1025.2941	1115.8929	774.344	620.8499	1399.9203	499.4844	885.0848	788.3403	1388.2915	1011.5969
ABCG2|9429	78.1855	27.9965	13.2509	67.6692	210.0775	286.0274	172.9958	167.4397	60.7815	131.7647	565.9308	81.6327	39.8406	130.3828	92.4716	327.5747	245.2731	256.2724	124.4597
ABCG4|64137	2.9504	0.8749	1.7668	2.7701	49.6124	11.5068	5.4852	13.4508	2.1708	2.3529	3.1937	1.1662	3.9841	3.1898	2.0626	4.3321	6.3025	1.7921	4.3416
ABCG5|64240	0	1.7498	1.7668	0	0	1.6438	0	0	0	0.5882	4.4712	1.7493	1.992	0.3987	0.3438	2.3327	0	0	1.9296
ABCG8|64241	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3987	0	0.3332	0	0	0
ABHD10|55347	592.2921	353.4558	540.636	343.0946	486.8217	594.5205	437.1308	269.4805	601.3025	688.8235	470.7573	586.5889	691.2351	447.3684	424.5445	552.5115	641.8067	208.4827	350.7062
ABHD11|83451	148.2574	124.2345	189.0459	122.6751	765.1163	334.2466	2111.8143	475.8813	175.1085	215.8824	1481.2567	429.1545	1124.17	456.1404	1961.8426	586.1687	838.2353	1509.5579	697.0709
ABHD12B|145447	0	1.7498	1.7668	0	11.6279	0.5479	2.1097	4.6382	0.7236	5.2941	3.8325	0	0	7.177	11.3441	5.6651	3.6765	6.5711	1.9296
ABHD12|26090	657.2008	605.4243	558.3039	447.1706	1664.3411	1276.1644	3864.557	2098.7941	608.5384	922.3529	1431.4344	903.207	1667.9947	2379.9841	1369.199	1939.4553	2997.3739	2344.086	1662.3572
