TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
ABHD4|63874	19.0301	23.5794	13.9766	7.9543	27.4977	17.0003	10.8867	19.5177	12.9141	21.8263	22.227	17.4781	32.6836
ABHD5|51099	14.9536	12.3191	6.408	2.748	8.7846	4.5917	3.6123	8.4483	4.7233	12.6244	4.5722	4.0585	3.952
ABHD6|57406	4.8774	18.5819	3.6091	2.5996	6.8351	4.5901	4.8675	8.4891	3.0585	3.8063	6.2606	5.404	11.6775
ABHD8|79575	2.615	2.1482	6.8982	4.4359	4.798	4.2685	5.2231	5.1428	5.0685	6.0661	4.2085	4.0392	7.673
ABI1|10006	24.9993	24.7789	10.0301	8.7752	18.9422	14.1674	10.6512	24.18	10.1786	11.764	11.4301	27.0274	26.1177
ABI2|10152	1.7523	3.1405	15.4865	2.7372	7.3035	5.5957	6.3959	6.0522	10.2918	13.1462	3.2106	6.7829	2.7817
ABI3BP|25890	1.1937	17.1702	11.5529	1.5115	4.5141	10.0912	2.7396	12.7565	28.4751	78.9085	1.1169	1.4725	0.6435
ABI3|51225	2.8939	0.9024	1.9336	1.4303	2.0652	4.3802	1.7731	2.4973	1.9942	3.1344	2.1067	6.1343	1.1604
ABL1|25	12.707	19.0844	68.531	18.0303	33.8044	32.1838	22.4999	29.3835	101.468	136.5452	17.6304	16.0349	39.7962
ABL2|27	0.9477	1.7606	6.4829	2.6403	3.5317	3.8513	2.7589	2.9988	4.6473	6.0883	1.9502	2.764	3.9702
ABLIM1|3983	118.7707	113.8367	23.8199	22.6313	64.5074	46.5564	27.8113	112.8853	33.6347	40.0502	31.741	27.4893	105.7934
ABLIM2|84448	3.9525	1.1947	0.912	0.305	0.725	0.5264	0.3925	1.0449	0.6557	2.0327	0.3446	3.7269	7.1236
ABLIM3|22885	36.4348	5.8613	13.6789	0.7211	4.9096	4.012	2.3205	4.1734	5.7523	17.1452	1.3996	1.6794	0.6969
ABO|28	12.0474	1.1664	0.3214	6.0491	4.3134	6.6883	6.9054	20.3165	4.213	2.5144	2.2538	20.0984	19.128
ABP1|26	1.0016	0.6707	0.0417	0.6126	0.5862	2.0309	0.4152	13.7419	0.337	0.0695	1.9049	40.1107	16.8495
ABRA|137735	0.0072	0.0489	1.7966	0.0323	0.1474	0.1861	0.1375	0.0941	0.2767	0.5463	0.0103	0.2795	0.0226
ABR|29	36.8338	29.2884	28.6	7.3684	15.5734	15.0519	9.2147	34.1089	18.1519	27.4925	7.3315	35.0004	23.5804
ABT1|29777	7.1941	12.3742	4.897	5.765	8.6302	6.6214	5.8512	7.2584	5.81	5.979	5.9828	11.0537	9.7177
ABTB1|80325	2.8539	6.8314	11.3038	6.0004	14.0722	10.2841	9.2198	13.6831	8.3704	11.6576	9.5233	21.4984	15.4749
ABTB2|25841	5.9755	0.8733	3.3173	0.8122	4.5778	1.9832	4.8722	4.0695	6.1011	7.1255	2.0743	8.559	4.333
