TCGA-2H-A9GO-01A-11R-A37I-31	TCGA-L5-A4OT-01A-11R-A28J-31	TCGA-L5-A8NF-01A-11R-A37I-31	TCGA-L5-A8NH-01A-11R-A37I-31	TCGA-LN-A5U5-01A-21R-A28J-31	TCGA-R6-A8W5-01B-11R-A37I-31	TCGA-VR-A8EU-01A-11R-A36D-31	TCGA-VR-A8EX-01A-11R-A36D-31	TCGA-VR-AA7B-01A-31R-A406-31
ACCN3|9311	0	0	0	0	0	0	0	0	0
ACCN4|55515	0	0	0	0	0	0	0	0	0
ACCN5|51802	0	0	0	0	0	0	0	0	0
ACCSL|390110	0.0103	0	0.0092	0.0038	0	0.0049	0	0	0.0012
ACCS|84680	2.4749	2.0394	2.2168	1.0817	1.0431	3.3438	1.1305	0.9435	1.2549
ACD|65057	5.825	2.8383	8.3874	7.3005	10.1488	6.0944	11.0977	8.0335	14.469
ACE2|59272	0.2851	0.417	2.1543	6.6719	2.4348	3.8425	0.427	2.9303	0.4713
ACER1|125981	0	0.0639	0.0158	0.0136	0.014	0	0	0.3259	0
ACER2|340485	1.4928	11.1265	4.9474	4.1202	0.5647	6.0772	0.4701	1.4671	3.1174
ACER3|55331	8.2981	11.1104	7.4503	9.2081	5.5766	9.463	4.4623	6.4675	18.8455
ACE|1636	4.4331	6.3062	8.664	14.7868	1.1904	10.4573	2.9881	0.6472	5.2699
ACHE|43	8.4067	14.0163	6.1613	19.1569	0.2234	2.0464	0.2345	0.9296	0.4435
ACIN1|22985	22.5353	26.8825	17.0707	22.6669	20.2361	20.1623	15.3036	20.8697	25.3127
ACLY|47	34.2363	29.7588	44.2657	72.4397	35.2824	83.1848	62.7441	35.1743	48.8848
ACMSD|130013	0.2931	0.1039	0.1562	0.1242	0.0695	0.0515	0.0349	0.1551	0.0642
ACN9|57001	16.6228	3.8599	15.8842	20.4311	8.1672	3.5603	12.9721	7.7399	5.065
ACO1|48	29.8096	20.2568	10.6796	18.7122	15.2621	12.5284	4.9444	5.0743	10.5489
ACO2|50	55.732	36.3165	92.7059	48.4778	68.2064	54.844	55.3745	56.0593	65.6629
