TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-BW-A5NP-01A-11R-A27V-07	TCGA-DD-A119-01A-11R-A131-07	TCGA-DD-A1EK-01A-11R-A213-07	TCGA-DD-A3A9-01A-11R-A266-07	TCGA-FV-A2QQ-01A-11R-A22L-07
TBC1D8|11138	1163.6274	875.061	152.3074	561.5063	948.3827	1411.3964
TBC1D9B|23061	4791.5229	2697.4134	2408.8437	3676.9874	3009.6352	2385.0971
TBC1D9|23158	770.3302	487.0669	416.9152	258.5774	222.9869	801.5028
TBCA|6902	1933.4648	3064.4217	3330.4088	1729.7071	2066.7584	2437.6957
TBCB|1155	998.4574	862.3475	1647.8751	1154.6611	1186.2078	1772.774
TBCCD1|55171	420.897	341.6301	327.7768	302.0921	220.4198	170.9455
TBCC|6903	511.0892	966.8131	666.7836	301.2552	1013.7646	417.6581
TBCD|6904	2889.7585	820.7125	1852.4934	2797.272	2046.7378	2533.2498
TBCEL|219899	365.2045	369.9366	119.3192	241.841	97.0406	189.7307
TBCE|6905	1001.4391	1458.9702	1261.688	851.3222	1372.5189	1033.7195
TBCK|93627	191.6609	253.5188	221.7933	323.8494	135.5816	226.0488
TBK1|29110	702.8093	473.4017	416.2134	533.8912	532.0028	636.819
TBKBP1|9755	87.2351	142.9966	105.2816	234.3096	650.3785	163.4314
TBL1XR1|79718	2851.6511	1936.5544	1859.9754	2132.2176	1373.0213	1946.149
TBL1X|6907	1057.6639	1149.3411	658.3611	1051.8828	1061.9408	1112.7113
TBL1Y|90665	55.6925	0	0	0	0	1.8785
TBL2|26608	1242.9768	1317.2279	678.0137	1050.2092	1178.9401	1009.3926
TBL3|10607	1391.8186	599.3167	2455.1676	1067.7824	1291.81	1515.3413
TBPL1|9519	417.447	177.1596	164.9412	92.0502	94.9759	347.5266
TBPL2|387332	0	0	0	0.8368	0	0
TBP|6908	282.4051	186.9204	148.798	121.3389	350.9979	274.2642
TBR1|10716	0	0	0	0	0	0
TBRG1|84897	629.4924	686.9888	446.2537	564.2343	690.9842	526.0989
TBRG4|9238	1669.2952	1488.531	1464.1165	1557.3222	2075.0172	2921.7282
TBX10|347853	20.6999	9.2728	42.8145	40.1674	24.7763	65.1221
TBX15|6913	1580.0887	137.6281	29.4789	1712.9707	79.1466	102.0664
TBX18|9096	0.4929	0.9761	1.4038	0.8368	2.0647	0
TBX19|9095	76.417	28.3065	55.4483	25.1046	67.4467	48.8416
TBX1|6899	3.9428	1.4641	24.5657	0.8368	61.9408	3.1309
TBX20|57057	0	0.488	0	0	0	0
TBX21|30009	23.657	4.3924	3.5094	9.205	23.3999	40.7013
TBX22|50945	0	0	0	0	0	0
TBX2|6909	287.8265	98.5847	269.521	121.3389	822.4363	189.7307
TBX3|6926	376.0473	1348.4627	1174.943	610.8787	189.2636	1060.1127
TBX4|9496	0.9857	7.3206	0	0.8368	0	5.0094
TBX5|6910	0	0	0	0.8368	3.4412	0
TBX6|6911	26.6141	7.3206	11.23	10.8787	11.6999	6.2617
TBXA2R|6915	48.7925	23.4261	157.9224	58.5774	238.8162	109.5805
TBXAS1|6916	259.7339	29.2826	105.9835	211.7155	92.9112	215.4039
TC2N|123036	259.241	326.5007	115.8098	343.9331	76.3937	46.3369
TCAM1P|146771	0.4929	0	2.1056	20.9205	0	0
TCAP|8557	8.3785	4.3924	5.615	15.0628	13.7646	8.1403
TCEA1|6917	1768.3588	2193.7531	2470.6089	2064.4351	730.2134	1732.6237
TCEA2|6919	548.5461	868.2284	2063.5199	430.9623	792.1542	4292.4233
TCEA3|6920	3406.6042	3143.4846	5871.2055	3651.8828	2143.8403	2413.9011
TCEAL1|9338	201.0843	565.6418	552.3776	114.6444	387.4742	238.5723
TCEAL2|140597	7.3928	3.4163	6.3169	0.8368	0.6882	1.2523
TCEAL3|85012	81.8137	225.4758	124.2323	60.251	286.9924	95.1785
TCEAL4|79921	1382.4544	3936.0664	1307.5978	1500.4184	1768.7543	1889.1672
TCEAL5|340543	1.4786	3.9043	0.7019	1.6736	4.8176	2.5047
TCEAL6|158931	4.9285	12.6891	1.4038	2.5105	11.0117	5.6356
TCEAL7|56849	11.8285	5.8565	22.4601	0.8368	27.5292	6.2617
TCEAL8|90843	618.0384	2352.8551	761.5371	495.3975	1567.1025	1127.7395
TCEANC|170082	41.3997	32.2108	32.9882	41.0042	41.2939	26.9255
TCEB1|6921	671.2666	865.7882	3691.8758	806.6946	905.0241	1273.0119
TCEB2|6923	2608.1814	1666.1786	6547.8154	2561.5063	5229.8692	3868.5034
TCEB3B|51224	2.4643	0	0	0	0	0
TCEB3C|162699	0	0	0	0	0	0
TCEB3|6924	2607.861	767.6281	1255.8554	1337.9163	560.4611	1123.5254
TCERG1L|256536	0.4929	0.488	1.4038	1.6736	0	0
TCERG1|10915	755.5446	1042.9478	466.0467	414.2259	333.1039	524.1077
TCF12|6938	1000	1745.7296	336.1993	933.8912	501.0323	564.1828
TCF15|6939	13.307	6.8326	31.5845	6.6946	38.5409	23.7946
TCF19|6941	853.1296	523.182	116.5117	299.5816	259.4632	140.263
TCF20|6942	1467.7181	975.1098	403.5796	1079.4979	598.7612	673.7633
TCF21|6943	35.4855	14.6413	37.9014	5.8577	120.4405	38.1966
TCF23|150921	0	0	0	0	0	0
TCF25|22980	2426.3184	984.8707	3531.8477	2178.2427	2756.3661	2991.8597
TCF3|6929	549.5318	1696.9253	482.1899	846.0251	1543.0145	683.1559
TCF4|6925	427.3041	218.1552	472.3636	197.4895	493.4618	338.7602
TCF7L1|83439	586.003	605.1733	221.7933	806.6946	690.9842	480.9017
TCF7L2|6934	452.9325	1284.529	545.3588	301.2552	943.565	510.958
TCF7|6932	306.555	796.4861	391.6477	95.3975	110.117	258.6099
TCFL5|10732	262.1981	588.5798	205.6501	143.0962	337.2333	249.2173
TCHHL1|126637	0	0	0	0	0	0
TCHH|7062	5.9142	0.488	0.7019	4.1841	0.6882	1.8785
TCHP|84260	478.5609	278.6823	209.1595	317.1548	156.9167	346.2743
TCIRG1|10312	1729.9162	1497.3158	3635.0237	1184.1004	5723.331	2258.6099
TCL1A|8115	0	0.9761	0	0	13.0764	0.6262
TCL1B|9623	4.3913	1.4641	0	0	0	0
TCL6|27004	95.658	63.9336	1.4038	8.3682	0	2.5047
TCN1|6947	2.9571	0	0	0	0	1.8785
TCN2|6948	1180.8773	218.6432	654.1499	516.318	538.1968	450.8453
TCOF1|6949	1339.5761	1262.0791	612.0372	605.8577	942.8768	728.2405
TCP10L2|401285	0	0	0	0	0	2.5047
TCP10L|140290	11.7201	3.9043	270.8616	9.205	20.8465	56.7564
TCP10|6953	0	1.9522	0	0	0	0
TCP11L1|55346	245.5988	64.9097	123.1023	108.7866	44.0468	104.6274
TCP11L2|255394	51.7496	37.0913	13.3357	21.7573	9.6352	30.0564
TCP11|6954	0.4929	0.488	0	0.8368	0.6882	0
TCP1|6950	5892.1833	2871.0883	3479.9509	1300.5021	6778.8025	5986.5623
TCTA|6988	1742.2376	1129.8194	898.4032	1263.5983	1867.8596	1409.5178
TCTE1|202500	0.4929	0.488	0	2.5105	0	0
TCTE3|6991	41.8926	38.5554	11.23	16.7364	49.5526	34.4396
TCTEX1D1|200132	5.9142	2.4402	1.4038	10.8787	11.0117	9.3926
TCTEX1D2|255758	28.5855	21.4739	38.6033	5.0209	21.3352	41.3275
TCTEX1D4|343521	1.9714	0	1.4038	0.8368	2.0647	1.2523
TCTN1|79600	193.6915	221.0835	170.5562	107.113	79.8348	359.5867
TCTN2|79867	81.3208	115.6662	37.9014	32.636	75.7054	26.2993
TCTN3|26123	618.5313	1284.041	1190.3843	1306.2762	1112.1817	919.8497
TDGF1|6997	1099.0636	608.1015	278.6454	190.795	57.1232	243.5817
TDGF3|6998	144.899	28.3065	8.4225	20.9205	5.5058	18.7852
TDG|6996	247.4125	472.4256	397.2627	200	149.3462	254.2267
TDH|157739	0.4929	0	0	0	0	0
TDO2|6999	6872.8438	1295.266	9099.8421	15426.7782	87.4054	7472.1353
TDP1|55775	383.4401	426.0615	199.3332	133.0544	172.0578	209.1421
TDP2|51567	1126.1705	2134.6999	3523.4252	1191.6318	1802.4776	1293.6756
TDRD10|126668	62.0996	18.5456	24.5657	22.5941	13.0764	87.0382
TDRD12|91646	0	0	0	0	0	0
TDRD1|56165	0.4929	0	0	0.8368	1.3765	0
TDRD3|81550	246.9197	508.5408	301.8073	172.3849	246.3868	416.4058
TDRD5|163589	0.4929	0	0	2.5105	0	0
TDRD6|221400	6.9	6.3446	7.7207	8.3682	0.6882	6.2617
TDRD7|23424	331.1976	442.1669	380.4176	202.5105	199.5871	294.928
TDRD9|122402	1.9714	0.9761	0.7019	3.3473	3.4412	1.2523
TDRG1|732253	0	0.9761	0	59.4142	0	0.6262
TDRKH|11022	370.6259	585.6515	153.7112	338.9121	113.5582	183.469
TEAD1|7003	1918.6792	842.3621	742.5864	979.9163	231.9339	1204.7589
TEAD2|8463	268.6052	1168.8629	350.9388	494.5607	2440.468	194.114
TEAD3|7005	481.0251	841.8741	318.6524	315.4812	812.1129	437.6957
TEAD4|7004	40.9069	128.8433	148.0962	66.1088	324.1569	88.9167
TECPR1|25851	441.104	176.1835	54.7464	255.2301	134.2051	232.9368
TECPR2|9895	484.4751	203.5139	253.3778	420.9205	230.5575	345.0219
TECRL|253017	0	0.488	0	43.5146	0	0
TECR|9524	1107.4421	2754.0264	2527.461	3805.8577	2603.5788	2899.186
TECTA|7007	4.9285	5.8565	2.1056	6.6946	3.4412	3.757
TECTB|6975	1.4786	0	0	2.5105	0	0.6262
TEC|7006	53.2282	25.8663	24.5657	52.7197	4.8176	31.9349
TEDDM1|127670	0.9857	0	0	0	0	0.6262
TEF|7008	975.3573	961.9327	1216.3537	759.8326	1071.576	862.2417
TEKT1|83659	0.4929	0	0	0.8368	3.4412	0
TEKT2|27285	0.9857	0	0.7019	0.8368	2.0647	0
TEKT3|64518	0.4929	0.9761	2.8075	0	5.5058	0.6262
TEKT4|150483	0	0.9761	2.8075	4.1841	22.7116	1.8785
TEKT5|146279	4.4357	0	22.4601	70.2929	0	47.5892
TEK|7010	111.3849	28.3065	133.3567	51.8828	220.234	129.618
TELO2|9894	1030.5569	455.8321	857.6943	669.4561	772.1955	987.4765
TENC1|23371	1408.0828	1909.224	736.2695	2116.318	4513.4205	2417.6581
TEP1|7011	505.175	202.0498	252.6759	333.8912	144.5286	446.4621
TEPP|374739	0.4929	0	0	0	1.3765	0
TERC|7012	0.4929	0	0	2.5105	0	0
TERF1|7013	459.8324	677.4036	1039.4806	532.2176	233.9986	709.4552
TERF2IP|54386	1278.4623	919.4729	1480.9616	712.9707	1611.8376	1013.7758
TERF2|7014	723.5091	478.7701	816.9854	692.0502	552.6497	540.3882
TERT|7015	20.6999	0	2.1056	2.5105	0	11.2711
TESC|54997	82.7994	1852.611	908.9314	5.8577	974.5354	500.3131
TESK1|7016	454.411	569.0581	376.2064	1034.3096	825.8775	953.6631
TESK2|10420	170.0345	103.9531	45.622	140.5858	28.9057	35.0657
TES|26136	1479.5071	1059.5266	311.6336	293.7155	239.4563	481.5216
TET1|80312	24.6427	107.3694	8.4225	34.3096	28.2175	10.645
TET2|54790	164.1203	198.1454	82.1197	210.0418	86.0289	118.9731
TET3|200424	457.3682	766.7155	172.6619	319.6653	217.4811	209.1421
TEX101|83639	2.9571	0	0	9.205	0	1.2523
TEX10|54881	234.5983	636.896	193.7182	140.5858	253.2691	182.2167
TEX11|56159	2.9571	0	1.4038	5.0209	4.8176	19.4114
TEX12|56158	0	0.9761	0	0	0	0
TEX13A|56157	0	0	0	0	0	0
TEX13B|56156	0.4929	0	0	0	0	0
TEX14|56155	6.4071	2.9283	0.7019	3.3473	1.3765	4.3832
TEX15|56154	0	0	0.7019	0	0	0
TEX19|400629	5.4214	9.2728	5.615	0.8368	11.6999	2.5047
TEX261|113419	2410.5471	2380.6735	1650.8159	1287.0293	2677.9078	1758.923
TEX264|51368	1902.415	1199.1215	3056.6766	2492.887	2175.499	3137.7583
TEX28|1527	0	0	0	0	0	0
TEX2|55852	1231.6412	1654.9536	812.0723	1605.8577	1665.5196	911.0833
TEX9|374618	5.4214	2.4402	2.1056	2.5105	0.6882	3.1309
TFAMP1|260341	0	0	0	0	0	0
TFAM|7019	373.0902	827.7208	336.9012	341.4226	161.0461	482.154
TFAP2A|7020	3.9428	66.3738	33.6901	38.4937	19.9587	3.1309
TFAP2B|7021	0	0	0	0	0	0
TFAP2C|7022	0.4929	0	42.1127	2.5105	3.4412	1.2523
TFAP2D|83741	0	0	0	0	0	0
TFAP2E|339488	4.9285	23.9141	5.615	6.6946	19.9587	3.757
TFAP4|7023	361.7546	309.9073	255.4834	318.8285	174.1225	337.5078
TFB1M|51106	284.8694	304.5388	140.3755	205.0209	416.3799	303.6944
TFB2M|64216	709.2164	1123.4749	1129.3209	782.4268	1123.8816	1407.0131
TFCP2L1|29842	11.3356	7.3206	12.6338	25.9414	24.0881	9.3926
TFCP2|7024	350.4189	503.1723	105.9835	295.3975	476.9443	308.0776
TFDP1|7027	829.4726	1087.8477	607.8259	524.6862	364.7626	542.8929
TFDP2|7029	279.448	148.3651	257.5891	213.3891	370.9566	184.7214
TFDP3|51270	148.3489	0	0	760.6695	0	0
TFE3|7030	1875.308	1020.9858	902.6145	2202.5105	1172.746	1659.9875
TFEB|7942	159.6846	815.0317	459.0279	330.5439	730.2134	131.4966
TFEC|22797	108.9207	11.713	28.777	63.5983	15.1411	40.7013
TFF1|7031	0.4929	10.2489	0	5.8577	44.0468	0
TFF2|7032	0	12.2011	0	7.5314	0	0.6262
TFF3|7033	18.7284	541.7277	301.1055	91.2134	639.3668	147.7771
TFG|10342	5152.7846	3286.4812	4017.5469	4585.7741	1957.3297	5186.5999
TFIP11|24144	1831.9616	1098.7457	1353.9849	1299.8075	1520.8259	1729.9249
TFPI2|7980	6.4071	7.8087	18.2488	6.6946	4.8176	5.0094
TFPI|7035	6708.2307	5150.3172	16549.5701	11437.6569	357.192	12083.9073
TFPT|29844	169.1178	315.3587	572.4443	306.9958	918.4859	416.3682
TFR2|7036	18911.2863	9643.7286	12011.9319	37241.841	18436.3386	35496.556
TFRC|7037	3182.3558	3870.1806	2260.7475	2334.728	1282.1748	2639.9499
TF|7018	130156.2346	171057.101	113599.5789	146826.7782	26766.0014	125421.4152
TGDS|23483	144.899	436.3104	602.9128	168.2008	142.4639	314.9656
TGFA|7039	59.1424	728.6481	97.561	49.3724	231.9339	39.449
TGFB1I1|7041	169.5416	50.7565	200.737	102.0921	590.5024	194.114
TGFB1|7040	551.9961	308.9312	900.5089	1182.4268	10748.1074	600.5009
TGFB2|7042	146.3775	53.6847	35.0939	44.3515	74.329	46.9631
TGFB3|7043	258.2553	126.8912	251.974	140.5858	790.7777	190.3569
TGFBI|7045	5258.2553	5028.7945	3074.9254	4276.1506	3585.6848	2810.8954
TGFBR1|7046	693.445	1386.53	706.7907	825.9414	500.3441	573.5755
TGFBR2|7048	1580.5816	4913.1284	995.9642	1913.8075	1448.0385	1682.5297
TGFBR3|7049	642.1883	258.6628	198.6313	796.6527	242.2574	597.9962
TGFBRAP1|9392	156.7275	140.5564	4.2113	124.6862	17.2058	41.3275
TGIF1|7050	1364.2188	596.8765	607.1241	501.2552	436.3386	1725.7358
TGIF2LX|90316	4.9285	0	0	13.3891	0	5.0094
TGIF2LY|90655	8.8714	0	0	2.5105	0	0.6262
TGIF2|60436	408.4524	1181.6154	753.1146	172.2678	927.7357	412.0225
TGM1|7051	8.8714	2.4402	0	0.8368	57.1232	1.8785
TGM2|7052	5809.2656	4633.9678	5546.9381	16112.1339	5530.6263	5661.866
TGM3|7053	2116.8063	105.9053	656.9574	86.1925	123.1934	3843.4565
TGM4|7047	0	0	0	0.8368	0	3.1309
TGM5|9333	0	0	0	0	0.6882	0
TGM6|343641	0	0	0	2.5105	0	0
TGM7|116179	0	0	0	0	0	0
TGOLN2|10618	6951.2075	8571.0102	6219.3367	6597.4895	10037.8527	7683.1559
TGS1|96764	342.5333	484.1386	296.1923	283.682	169.3049	311.2085
TG|7038	3.45	0.488	4.9131	2.5105	1.3765	5.6356
TH1L|51497	2412.0256	10471.4495	1273.9077	1244.3515	1836.201	2352.536
THADA|63892	705.2735	774.0361	729.2507	362.3431	935.9945	720.1002
THAP10|56906	55.1996	54.6608	7.7207	49.3724	10.3235	30.0564
THAP11|57215	605.2242	507.5647	785.4009	630.1255	503.097	422.0413
THAP1|55145	183.8344	250.8541	103.8779	165.6904	147.9697	134.0013
THAP2|83591	71.9566	128.8433	74.399	151.4644	116.3111	60.1127
THAP3|90326	389.3001	284.7633	758.6594	348.8452	523.8885	458.0902
THAP4|51078	1274.0266	1770.6198	828.2155	1170.7113	2282.1748	1584.8466
THAP5|168451	524.8891	757.9307	726.4432	734.728	345.4921	424.546
THAP6|152815	147.8561	389.4583	244.9553	169.8745	156.9167	255.479
THAP7|80764	398.4623	395.3148	691.3494	728.0335	940.1239	860.9894
THAP8|199745	163.6274	255.7345	326.373	369.0377	461.8032	206.6374
THAP9|79725	58.1567	82.9673	127.0398	56.9038	94.9759	70.7577
THBD|7056	195.17	315.7638	397.2627	289.5397	445.9738	305.5729
THBS1|7057	3736.8162	1578.8189	993.8586	1237.6569	1366.139	534.7527
THBS2|7058	967.9645	316.2518	1567.9944	340.5858	2660.702	782.7176
THBS3|7059	271.0695	250.8541	381.1195	206.7029	311.0805	244.8341
THBS4|7060	7.8857	294.7779	166.345	162.3431	24.0881	122.1039
THEG|51298	0	0	0	0.8368	0	0
THEM4|117145	325.2834	710.1025	300.4036	242.6778	321.404	555.4164
THEM5|284486	6.4071	5.8565	4.2113	1.6736	2.0647	3.757
THEMIS|387357	15.7713	6.8326	7.0188	6.6946	8.2588	16.9067
THG1L|54974	254.3125	272.816	207.0539	111.2971	159.6696	177.2073
THNSL1|79896	892.0651	167.8868	399.3683	714.6444	169.3049	716.9693
THNSL2|55258	1417.9399	0	47.0258	1400.8368	405.3682	1256.1052
THOC1|9984	549.5318	326.9888	430.9528	169.0377	233.9986	385.0971
THOC2|57187	984.2287	1307.4671	492.718	616.7364	464.5561	537.8835
THOC3|84321	572.2031	1127.8673	960.8703	348.1172	752.2368	668.1277
THOC4|10189	1022.6713	837.4817	1052.1144	564.8536	2006.1941	846.5874
THOC5|8563	937.9004	489.5071	631.6898	479.4979	749.4838	637.4452
THOC6|79228	516.067	358.531	489.0191	524.1255	554.5561	745.1346
THOC7|80145	1137.999	1377.7452	1348.3067	506.2762	878.8713	1137.7583
THOP1|7064	711.1878	1427.5256	1309.7035	694.5607	1333.1039	1993.1121
THPO|7066	418.4327	394.8267	739.7789	612.5523	578.1142	604.258
THRAP3|9967	2586.9887	2277.6964	2093.7006	2396.6527	1516.8617	1723.2311
THRA|7067	586.0473	233.4163	230.4124	263.4895	414.563	292.6174
THRB|7068	1060.1281	1208.8824	623.2672	937.2385	202.34	687.5391
THRSP|7069	1839.3297	2.9283	18.9507	8954.8117	5.5058	543.5191
THSD1P1|374500	55.1996	128.0185	54.7464	60.251	50.9291	70.1315
THSD1|55901	98.0779	31.7228	59.6596	179.9163	167.9284	128.9919
THSD4|79875	251.3553	109.3216	89.8403	433.4728	438.4033	165.9361
THSD7A|221981	30.0641	13.6652	18.2488	32.636	27.5292	20.0376
THSD7B|80731	3.45	0	12.6338	0	28.9057	12.5235
THTPA|79178	393.79	221.0835	454.8166	310.4603	313.1452	324.3582
THUMPD1|55623	883.1937	703.7579	647.833	479.4979	451.4797	512.8366
THUMPD2|80745	142.4347	488.0429	139.6736	112.1339	231.9339	160.9267
THUMPD3|25917	651.0596	1751.5861	757.3258	712.9707	583.6201	1000.6262
THY1|7070	1409.0685	816.9839	2909.9842	1405.8577	7489.3324	2123.9825
THYN1|29087	618.0384	963.8848	860.5018	523.0126	896.0771	549.7808
TH|7054	0	0	0.7019	1.6736	1.3765	0
TIA1|7072	1112.8635	2035.1391	393.7533	654.3933	584.9966	562.9305
TIAF1|9220	1054.6772	497.5159	2989.2332	799.5983	2420.6263	1188.8854
TIAL1|7073	778.7087	2002.9283	1333.5673	971.5481	1514.797	871.6343
TIAM1|7074	32.0355	21.4739	41.4108	124.6862	55.7467	77.0194
TIAM2|26230	17.4864	29.2777	46.3239	16.0084	95.554	9.1484
TICAM1|148022	1131.0991	1025.3782	918.0558	1826.7782	844.4597	1443.9574
TICAM2|353376	80.3894	86.369	109.5841	112.9205	54.7488	180.8328
TIE1|7075	416.4613	235.7247	555.1851	351.4644	1601.5141	532.8741
TIFAB|497189	6.9	2.4402	1.4038	6.6946	11.0117	7.5141
TIFA|92610	253.8196	239.141	234.4271	353.9749	41.9821	275.5166
TIGD1|200765	204.5343	357.2474	17.5469	82.0084	194.0812	47.5892
TIGD2|166815	422.8684	113.714	545.3588	892.0502	45.4233	514.0889
TIGD3|220359	43.864	4.8804	35.7958	9.205	4.1294	22.5423
TIGD4|201798	1.9714	1.4641	0.7019	3.3473	0	0.6262
TIGD5|84948	190.7344	150.8053	463.2392	187.4477	108.0523	344.3957
TIGD6|81789	177.4273	155.6857	193.0163	154.8117	176.8754	131.4966
TIGD7|91151	224.4012	276.7204	149.4929	230.5021	118.7337	92.4045
TIGIT|201633	20.6999	15.1293	9.1244	12.5523	22.0234	31.9349
TIMD4|91937	0.9857	0.9761	11.9319	8.3682	0	1.8785
TIMELESS|8914	1497.2893	546.6081	329.1806	1001.6736	403.9917	722.6049
TIMM10|26519	603.2528	537.8233	2130.9002	692.0502	1182.3813	1442.0789
TIMM13|26517	917.6688	1755.0024	3877.8733	1831.7992	4428.7681	4951.7408
TIMM16|51025	270.4879	267.8868	583.3585	295.4561	688.6648	460.1753
TIMM17A|10440	1295.2193	1545.144	4642.9198	2007.5314	2772.8837	2726.9881
TIMM17B|10245	1005.4214	1038.0673	1533.6024	1201.6736	2545.7674	1623.6694
TIMM22|29928	220.3056	367.4963	283.5585	175.7322	731.5898	343.1434
TIMM44|10469	673.7309	983.8946	715.9151	1274.477	1375.086	1884.1578
TIMM50|92609	894.5293	1225.9639	1939.9895	979.9163	2331.7275	1936.1302
TIMM8A|1678	412.0256	170.327	499.0349	254.3933	174.8107	378.2091
TIMM8B|26521	628.8812	829.185	1895.0693	709.6234	944.2533	911.7095
TIMM9|26520	508.1321	894.5827	938.4102	405.8577	737.7839	685.6418
TIMP1|7076	3653.031	1203.0259	28492.718	5596.6527	26847.2127	16181.5905
TIMP2|7077	1772.3016	2860.4197	4065.2746	1677.8243	12485.203	1363.181
TIMP3|7078	2474.1252	2049.2923	4379.7157	2715.4812	3620.0964	4035.0657
TIMP4|7079	7.3928	3.9043	11.23	6.6946	5.5058	3.1309
TINAGL1|64129	285.3622	766.2274	288.4717	404.1841	619.4081	587.3513
TINAG|27283	1373.0902	0	367.0819	8.3682	0	529.1171
TINF2|26277	1006.9	791.1176	1277.4171	914.6444	1180.3166	987.4765
TIPARP|25976	743.2233	1124.939	270.9247	420.0837	346.1803	515.3413
TIPIN|54962	206.5057	59.0532	71.5915	52.7197	11.6999	68.253
TIPRL|261726	862.001	2168.3748	1798.2102	1156.4854	1310.3923	1371.9474
TIRAP|114609	289.7979	192.2889	77.9084	254.3933	127.3228	147.1509
TJAP1|93643	856.0867	1017.5695	579.7508	553.1381	1216.7928	488.4158
TJP1|7082	3768.3588	1920.449	1012.1074	1983.2636	1050.9291	1430.8078
TJP2|9414	1104.9778	1985.8468	1121.6003	2389.1213	774.2602	1788.9793
TJP3|27134	96.1065	705.2221	331.9881	438.4937	428.0798	690.0438
TK1|7083	1609.6599	348.4627	597.2978	525.523	546.4556	375.0783
TK2|7084	1106.4564	404.5876	766.4503	1375.7322	971.7825	1000
TKTL1|8277	3.9428	1.4641	0	58.5774	544.3909	0.6262
TKTL2|84076	0	0	0	0	0	0
TKT|7086	31140.9561	7223.0356	11207.5803	6221.7573	4347.5568	18703.8197
TLCD1|116238	248.8911	256.7106	1087.9102	367.364	1169.3049	259.8622
TLE1|7088	1060.621	3884.8219	2501.4915	2210.8787	3209.2223	2705.072
TLE2|7089	336.1262	315.2757	200.0351	323.8494	203.0282	271.1334
TLE3|7090	733.3662	164.9585	278.6454	743.9331	545.7674	428.9292
TLE4|7091	120.7491	249.3899	97.561	220.9205	57.8114	58.8604
TLE6|79816	79.3494	28.3065	72.2934	103.7657	40.6056	280.526
TLK1|9874	2568.7531	3242.5573	816.9854	1856.9038	1610.4611	1151.5341
TLK2|11011	456.8753	564.1776	454.8166	376.569	557.4673	345.6481
TLL1|7092	7.8857	2.9283	2.1056	0	6.1941	1.2523
TLL2|7093	2.4643	3.4163	4.9131	1.6736	29.5939	0.6262
TLN1|7094	4924.1005	4552.4646	2286.0151	7691.2134	3924.2946	6063.8698
TLN2|83660	711.6806	213.2748	115.1079	1528.8703	192.0165	224.1703
TLR10|81793	15.2785	12.2011	3.5094	0	2.0647	6.2617
TLR1|7096	186.7915	53.1967	37.1995	92.887	90.1583	86.412
TLR2|7097	157.2203	24.8902	50.5352	1443.5146	97.0406	75.1409
TLR3|7098	85.7565	18.5456	39.3051	264.4351	23.3999	48.8416
TLR4|7099	249.3839	62.4695	82.1197	316.318	139.7109	140.263
TLR5|7100	85.2637	136.164	32.9882	230.9623	66.7584	55.1033
TLR6|10333	25.1355	3.9043	0.7019	16.7364	1.3765	5.6356
TLR7|51284	55.6925	15.6174	18.9507	25.9414	31.6586	16.9067
TLR8|51311	49.7782	11.713	22.4601	30.9623	22.0234	31.9349
TLR9|54106	57.0724	6.164	24.313	33.8075	12.8562	96.7627
TLX1NB|100038246	1.4786	0	0	0	0	2.5047
TLX1|3195	39.9211	41.9717	2.8075	19.2469	20.6469	154.665
TLX2|3196	0	2.4402	1.4038	0.8368	0	0
TLX3|30012	0	0	145.9905	0	0	0
TM2D1|83941	424.347	267.9356	553.0795	431.7992	269.0984	178.4596
TM2D2|83877	1526.3677	508.5408	661.1686	673.6402	1326.9098	679.3989
TM2D3|80213	1650.5668	1131.7716	1822.074	1239.3305	662.0785	1314.9656
TM4SF18|116441	78.8566	42.4597	72.2934	107.113	72.2643	88.9167
TM4SF19|116211	10.2021	2.9234	69.4789	35.1464	2.0647	6.2617
TM4SF1|4071	3488.9108	4169.3509	3521.3195	652.7197	1997.9353	5147.1509
TM4SF20|79853	22.1784	0.488	4.9131	90.3766	33.0351	10.645
TM4SF4|7104	13640.7097	23931.674	22632.7426	17811.7155	2787.3365	18437.0695
TM4SF5|9032	2334.1548	2276.7204	16879.4525	2023.431	11208.5341	6639.3237
TM6SF1|53346	59.6353	10.7369	56.1502	33.4728	24.7763	25.047
TM6SF2|53345	372.415	16.3641	256.0098	1329.5314	45.8775	831.2148
TM7SF2|7108	1909.3149	2134.6999	8365.6782	3880.3347	2163.799	4678.7727
TM7SF3|51768	1667.8167	1392.8746	1982.1021	4225.9414	2637.9904	2128.9919
TM7SF4|81501	4.4357	0	2.1056	10.0418	0	0.6262
TM9SF1|10548	2026.7915	1830.3514	2801.6213	2005.4059	1586.373	2449.4678
TM9SF2|9375	2983.243	6052.7086	3248.2892	4693.7238	1620.7846	3847.8397
TM9SF3|56889	3058.1567	6482.6745	4792.4197	4323.8494	5820.3716	3030.6825
TM9SF4|9777	2168.5559	2544.6559	1453.5883	2475.3138	2866.4831	1884.784
TMBIM1|64114	4794.48	5593.4602	5655.0272	7924.6862	6751.5485	6566.6875
TMBIM4|51643	1415.3277	2986.8228	2605.0395	1505.0879	2731.1081	1219.6306
TMBIM6|7009	28601.2814	17140.0683	42359.0104	58732.2176	23395.0447	46723.8572
TMC1|117531	0	0.488	0	0	0	0
TMC2|117532	0.4929	3.4163	0	0	0	0.6262
TMC3|342125	3.45	0.9761	0	0.8368	0	0
