TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-BW-A5NP-01A-11R-A27V-07	TCGA-DD-A119-01A-11R-A131-07	TCGA-DD-A1EK-01A-11R-A213-07	TCGA-DD-A3A9-01A-11R-A266-07	TCGA-FV-A2QQ-01A-11R-A22L-07
ACSL3|2181	2763.9231	4607.6135	1734.3394	2734.728	3298.6924	2255.479
ACSL4|2182	4182.8487	19545.632	12232.3215	1948.1172	11927.7357	541.6406
ACSL5|51703	1622.4741	1287.4573	2518.3366	1194.1423	273.916	2231.0582
ACSL6|23305	56.1853	158.614	147.3943	30.1255	35.0998	43.8322
ACSM1|116285	167.0774	44.4119	1153.1848	3550.6276	589.8142	113.3375
ACSM2A|123876	6493.3465	279.6486	9869.8017	9085.3556	1233.9986	10726.3619
ACSM2B|348158	10675.7023	365.5442	12583.2602	12557.3222	3092.223	9100.1879
ACSM3|6296	785.6974	73.2406	158.7998	563.4477	6.3248	1099.712
ACSM4|341392	0	0	0	0	0	0
ACSM5|54988	5418.4327	51.2445	421.8284	3129.7071	58.4997	3391.3588
ACSS1|84532	348.9404	140.0683	320.758	504.6025	293.8747	730.119
ACSS2|55902	2173.4845	999.512	4280.0491	3297.9079	1496.903	3000.6262
ACSS3|79611	1748.6447	3.4163	844.3587	1340.5858	6.8823	1852.8491
ACTA1|58	0.4929	10.2489	1.4038	0.8368	42.6703	0
ACTA2|59	2415.3228	1512.733	5096.1502	2851.7071	10961.989	2591.9349
ACTBL2|345651	0.4929	1.4641	0	0	0	0
ACTB|60	69372.1045	39796.9741	85553.255	100906.2762	82275.9807	89702.5673
ACTC1|70	0.9857	0	0.7019	3.3473	15.8293	1.2523
ACTG1|71	31681.1237	46103.4651	57808.0365	59949.7908	80140.3992	53851.5967
ACTG2|72	11.8285	33.1869	64.5727	594.1423	218.1693	13.1497
ACTL6A|86	861.5081	1153.7335	431.6547	408.3682	580.1789	591.1083
ACTL6B|51412	0	0	2.8075	0	0	0
ACTL7A|10881	0	0	0	0	0	0
ACTL7B|10880	0	0	0	0	0	1.2523
ACTL8|81569	0	0	37.1995	7.5314	89.4701	85.1597
ACTL9|284382	0	0	0	0	0	0
ACTN1|87	4198.1272	3389.9463	2271.9775	4326.3598	3874.0537	4140.263
ACTN2|88	68.9995	0.488	27.3732	318.8285	170.6813	73.8885
ACTN3|89	0	2.4402	0	3.3473	0	0
ACTN4|81	7964.8152	8213.3968	4947.1065	9631.5983	9698.7543	9236.149
ACTR10|55860	780.1873	1158.614	1591.8582	865.272	942.8768	1000
ACTR1A|10121	1454.411	2009.2728	2510.6159	2369.8745	4438.4033	1929.2423
ACTR1B|10120	1266.141	1635.92	1416.3888	1434.3096	2680.6607	1920.4759
ACTR2|10097	4622.4741	4735.4807	3385.1553	3942.2594	3086.7171	3295.5542
ACTR3B|57180	178.9059	288.9214	141.7793	199.1632	142.4639	202.8804
ACTR3C|653857	114.342	30.2587	144.5868	62.7615	81.2113	137.7583
ACTR3|10096	2776.7373	3563.2016	2573.083	2369.8745	2146.5933	2633.062
ACTR5|79913	273.5338	118.5944	161.4318	153.9749	511.3558	227.9274
ACTR6|64431	469.1966	435.8224	751.7108	259.4142	301.4453	454.6024
ACTR8|93973	389.3544	356.7594	197.2276	212.5523	178.9401	290.5448
ACTRT1|139741	0	0	0	0	0	0
ACTRT2|140625	0	0	0	0	0	0
ACVR1B|91	1403.1543	878.9653	743.2883	1879.4979	1022.7116	1323.1058
ACVR1C|130399	9.3642	2.4402	16.8451	60.251	2.7529	26.9255
ACVR1|90	673.238	1168.8629	384.6289	815.0628	957.3297	513.4627
ACVR2A|92	294.7265	537.8233	239.3402	324.6862	199.5871	210.3945
ACVR2B|93	236.5697	771.1079	157.2206	94.5607	197.5224	149.0294
ACVRL1|94	260.7196	169.3509	380.4176	440.1674	1036.4763	390.7326
ACY1|95	4873.8295	969.7413	7872.2583	8226.5105	3891.4659	9122.7301
ACY3|91703	530.3105	3.9043	524.3025	435.1464	202.34	465.8735
ACYP1|97	59.1424	102.489	56.1502	26.7782	35.788	15.6544
ACYP2|98	89.2065	88.3358	243.5515	157.3222	198.2106	306.1991
ADAD1|132612	0.4929	0	0	0	0	0
ADAD2|161931	0	0.488	0.7019	2.8117	0.6882	0.6262
ADAL|161823	363.726	140.5564	70.1878	179.0795	108.7405	154.665
ADAM10|102	1607.1957	1438.7506	303.913	1053.5565	573.9849	444.5836
ADAM11|4185	2.9571	10.2489	12.6338	1.6736	7.5705	7.5141
ADAM12|8038	67.5209	6.8326	18.2488	85.3556	71.576	8.1403
ADAM15|8751	3437.2055	1173.7433	1737.1469	2648.6276	3145.2168	3514.0889
ADAM17|6868	327.7477	266.9595	65.2746	235.9833	97.0406	117.7207
ADAM18|8749	0.4929	0	0	0	0	0
ADAM19|8728	544.6033	113.714	164.9412	240.1674	211.9752	303.0683
ADAM20|8748	0.9857	0	0	0.8368	0	0
ADAM21P1|145241	0	0.9761	0	5.8577	0	0
ADAM21|8747	0.4929	5.3685	0.7019	18.41	5.5058	0
ADAM22|53616	0.9857	2.4402	0	0	0.6882	0.6262
ADAM23|8745	31.5426	0.488	3.5094	0.8368	2.0647	5.6356
ADAM28|10863	18.7284	7.3206	12.6338	7.5314	13.7646	8.7664
ADAM29|11086	0	0	0	0	0	0
ADAM2|2515	0	0	0	0	0	0
ADAM30|11085	0	0	0	0	0	0
ADAM32|203102	0	6.8326	0	0.8368	2.7529	0
ADAM33|80332	15.2785	4.3924	9.8263	5.8577	45.4233	20.6637
ADAM3A|1587	0	0	0	0	0	0
ADAM5P|255926	0	0	0	0	0	0
ADAM6|8755	1202.5678	628.531	2060.9861	398.4937	3531.0668	8069.8497
ADAM7|8756	0.4929	0	0	0	0	0
ADAM8|101	109.9064	131.7716	68.784	260.251	130.7639	134.6274
ADAM9|8754	1938.8862	593.4602	313.7393	1081.1715	737.7839	364.4333
ADAMDEC1|27299	8.3785	5.3685	35.0939	3.3473	16.5175	21.2899
ADAMTS10|81794	467.7181	114.6901	94.7535	107.9498	257.3985	283.6569
ADAMTS12|81792	9.8571	0.488	6.3169	15.0628	18.5822	2.5047
ADAMTS13|11093	54.7068	143.4846	95.4553	25.1046	130.7639	190.9831
ADAMTS14|140766	20.207	6.8326	28.0751	15.8996	79.1466	17.5329
ADAMTS15|170689	1.9714	1.4641	0	14.2259	2.0647	1.2523
ADAMTS16|170690	3.9428	13.1772	0.7019	0.8368	0	1.2523
ADAMTS17|170691	138.4919	54.6608	105.2816	888.7029	16.5175	182.8428
ADAMTS18|170692	3.9428	6.3446	0	6.6946	0.6882	0
ADAMTS19|171019	0	0	0	0	0	0
ADAMTS1|9510	177.4273	221.5715	683.6287	752.3013	627.6669	478.397
ADAMTS20|80070	11.3356	0	0	0	0	0
