TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
AATK|9625	22.8199	58.1449	43.0403	35.0981	29.4249	22.8807	17.9641	35.8221	79.5674	229.6745	33.0132	203.566	15.9369	88.8817	80.9893	38.0915	38.7027	68.9256	296.8733	39.0738
ABAT|18	801.956	3843.1011	571.0572	699.7693	95.4079	680.0667	328.0106	2624.5965	991.6805	367.7587	284.5138	592.0942	410.4525	1188.7524	476.1517	459.1953	798.2042	326.4463	1441.6379	137.4819
ABCA10|10349	18.7449	0.4615	1.1252	3.0711	2.2292	0.3178	1.6633	42.4867	4.6589	3.7441	0	14.8584	6.6985	5.4945	8.6968	1.7473	187.9402	58.3104	10.6821	1.4472
ABCA11P|79963	181.304	77.3004	53.2687	92.1721	67.7931	116.3232	107.7445	136.8864	101.6606	27.3947	83.3013	98.5142	96.9917	52.5663	42.7449	86.4364	113.1543	92.9385	93.2636	52.9884
ABCA12|26154	232.2738	298.108	128.5582	367.6531	50.379	404.5444	1830.0067	7.4977	49.9168	0	0	1.9624	1835.2454	233.6781	16.3066	603.1744	59.1377	129.4766	0	198.987
ABCA13|154664	2.445	0	0	2.6324	105.6621	1.5889	0.6653	2.0827	2.3295	0	27.0108	0	0	0	227.7483	0.6989	79.8823	6.4279	0	1.4472
ABCA17P|650655	3.26	13.844	8.158	52.2085	37.4498	9.2159	7.984	7.9142	17.6373	15.8086	41.4166	2.5231	2.2307	10.3426	8.6968	9.785	7.1213	15.6107	6.2312	1.4472
ABCA1|19	1105.1345	433.7794	1033.2395	975.2898	658.0473	992.4366	862.5981	1252.9126	980.6689	173.0629	328.3313	1630.4822	495.5322	268.9076	456.5675	955.7832	1660.7911	697.888	343.1312	60.0579
ABCA2|20	1290.1385	804.3378	1953.6909	756.8038	453.8564	2063.7165	2076.181	875.1432	1743.7604	1681.9553	408.1633	1279.5066	2699.8088	1881.7065	1134.9368	1979.013	1060.4536	1151.056	5063.3137	1273.5166
ABCA3|21	3089.6496	3232.5796	1872.1113	1665.4072	2180.1159	1933.4234	1687.2921	2296.7823	1768.386	5478.5231	2576.8307	2201.8503	1317.0809	3185.8436	3544.5033	2114.2554	1544.7016	806.2443	4322.6883	725.7598
