TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
RPL27|6155	10364.3032	9914.1671	9631.7384	3563.3395	9205.0825	7821.0852	6230.5389	4639.8001	10354.7421	12348.2059	14355.9424	3965.7976	3743.4672	7346.1538	10115.5048	4391.3609	3895.6576	7659.7796	9673.5284	9343.7048
RPL28|6158	18743.2763	15156.8989	7894.3741	7716.7667	23180.5617	6619.5281	6940.7851	6024.3674	12860.5657	26666.2507	10420.7683	7614.8024	7427.3423	12842.9218	5046.3378	10892.0847	6109.1416	17867.3095	15299.4325	9714.9059
RPL29P2|118432	0	0	0	0.4387	0	0.3178	0	0	0.3328	0	0	0	0	0.3232	0	0	0	0	0	1.4472
RPL29|6159	11033.4148	16088.6018	9889.1361	4700.0808	9859.5631	3695.5589	6498.6693	4995.5222	11046.589	19555.2782	15845.1381	5786.3751	4637.986	9588.2353	4653.8932	5539.3492	5306.9123	11330.5785	9730.9447	9180.1737
RPL30|6156	15023.6349	13294.4162	19512.7166	11475.3397	20699.5096	26841.0265	16923.4864	6605.8523	15721.797	27038.1695	13445.9784	10278.6655	7138.3047	16410.1487	4896.861	9967.4038	7548.2622	17360.4224	15070.2125	19429.0883
RPL31P11|641311	1.63	2.3073	0.5626	0.8775	0	0.6356	0.998	1.2496	6.6556	2.4961	4.8019	3.6445	1.912	3.8785	2.1742	2.0968	1.5481	6.8871	0.4451	2.1708
RPL31|6160	15509.3725	9712.0443	7827.1413	5802.6014	14035.2207	3190.9113	8738.8556	5465.3754	18540.0998	12366.0946	7856.5426	11404.2613	5125.8764	16162.2495	9721.4295	12399.3217	9090.1773	13663.4527	9543.5629	11918.2344
RPL32P3|132241	128.1826	52.1458	119.7757	97.643	121.1725	161.0265	87.2355	155.8638	212.5391	96.0374	145.1321	119.3075	264.3276	91.9748	144.0685	92.9364	132.1991	128.4343	156.101	110.9696
RPL32|6161	18984.5151	20526.9958	12661.4362	9292.6736	16946.9461	7270.9939	11217.8975	7690.9299	17497.1714	27552.7821	13775.5102	13160.9195	7291.9057	11809.3083	13198.5324	8016.6974	9361.0961	20327.8237	17784.8003	17757.5977
RPL34|6164	10930.7253	5666.359	4329.064	4074.8951	7923.7628	3012.6321	4313.7059	4284.4944	14639.6007	9653.2501	4451.3806	5240.5383	2911.0899	6250.808	2802.0111	3682.2991	5766.081	9705.6933	6173.3615	8467.4385
RPL35A|6165	12863.0807	9348.4079	8009.4295	5514.7966	19674.0972	8129.6576	6859.9468	4426.9499	10291.1814	13211.0244	14280.3121	7938.8842	5956.3416	10854.234	8298.4101	10486.7068	6032.9747	10535.8127	10050.9625	13251.0854
RPL35|11224	9303.9935	8990.7707	8233.0701	5333.1637	7061.5247	3761.3411	4714.2382	3217.3279	6468.2196	14186.5835	4191.4766	4170.7317	7943.5946	7779.2502	3224.8947	6857.1768	3656.9394	11179.5225	10170.691	12157.7424
RPL36AL|6166	3325.1834	3255.653	1691.7922	4393.8495	2496.6563	1318.821	3096.4737	2410.4967	2351.4143	5855.4342	1446.5786	3052.7054	3179.4136	2962.5081	1520.8588	2840.441	1871.3523	4353.0762	2858.796	2884.9493
RPL36A|6173	73.3496	25.3807	56.8244	76.3385	191.2617	136.3311	29.2748	59.9813	127.1215	131.8773	172.2689	25.5116	32.1861	88.2353	162.5221	25.5109	25.6986	28.4665	75.6648	27.4964
RPL36|25873	10516.7074	6813.1057	8496.938	5963.6142	8772.1801	4201.7955	3805.7219	2375.9242	10247.2546	15425.897	8250.9004	6194.5613	3427.6609	8414.3504	3480.3642	4974.9653	4119.5139	12706.1524	7870.0345	10245.2967
RPL37A|6168	14781.5811	9873.0964	9452.8259	7564.5285	11456.5314	6038.2935	6029.9401	3558.4713	15589.6839	22931.6693	15334.934	11864.5921	7084.7674	16247.576	4830.0041	14603.0398	7837.1391	16174.0129	11475.6871	16138.2055
RPL37|6167	11757.9462	12754.9608	7275.213	7538.6436	14522.5145	5978.2315	5644.7106	5051.3381	11490.5158	19891.8357	17282.7131	7993.2717	6004.4614	7549.1273	7522.2177	9637.1606	6482.8547	18634.5271	15753.8667	17908.1042
RPL38|6169	6209.454	7844.4855	5105.1955	6224.2179	5971.021	5137.0462	5334.3313	1920.2333	5021.9634	19924.285	3369.7479	3779.6468	4437.8585	4432.4499	5567.6043	5769.9952	2544.4694	5914.6006	6719.4837	6337.1925
RPL39L|116832	270.5786	389.0171	543.7703	360.1948	884.0838	136.3311	68.8623	172.4461	262.5624	50.754	383.5534	27.1937	78.7126	630.5753	722.9243	364.4906	60.9954	718.5491	155.3355	1179.4501
RPL39|6170	271.3936	607.2912	671.4846	614.6563	922.8712	183.3638	440.4524	391.5443	754.0765	1473.5309	686.0744	414.6341	436.5838	1227.214	516.3745	521.0504	305.906	938.9348	245.6882	396.5268
RPL3L|6123	0	0	0	0	0	0	1.3307	0.4165	0	1.248	0	0	0	0	0	0.3495	0	0.4591	0	0
RPL3|6122	50145.0693	23510.383	24393.7088	27897.3248	33232.2782	14555.9704	17850.2994	21123.8155	48114.8087	51346.8539	41090.6363	46679.002	33787.4442	42766.9683	11766.8161	26065.7988	31504.296	43780.5326	23979.9711	24460.9262
RPL41|6171	22190.709	20324.8731	15910.8363	17144.1295	11410.165	12649.5591	21450.7651	11795.4806	20604.3261	31546.9579	16434.5738	20953.4623	11277.5653	27229.7996	6925.3975	14794.5459	11533.4004	18469.2378	19825.5258	12877.7135
RPL4|6124	28133.6593	14974.1578	16915.672	11914.944	26720.4637	11357.1145	12279.4411	14978.6525	29594.3428	32881.9553	21851.1405	20368.9375	18812.3008	13835.1648	11237.9399	14133.7101	20759.5015	25733.7006	25823.968	14866.8596
RPL5|6125	18613.6919	8652.9765	10698.1808	11646.0045	33337.9403	7151.1877	7508.982	12728.1058	24628.9517	12061.9865	35077.431	13278.0824	10899.2989	11383.3226	7465.1447	10667.729	14613.2054	21238.7511	10741.3642	15625.9045
RPL6|6128	13126.3244	7958.4679	4618.8123	5536.733	8728.9345	6093.5886	7527.6114	6427.5747	11979.3677	9598.752	11795.9184	7908.3263	7763.5437	7297.6729	7447.2075	10057.2159	6543.8501	8851.2397	9896.5172	7830.6802
RPL7A|6130	17269.7637	18371.9428	15102.073	11823.6888	13938.9211	7255.4223	10743.1803	9497.4487	17580.3661	16880.7072	11398.5594	10845.8088	13358.1899	15940.2069	7371.1102	20823.4937	10538.5866	16752.0661	15197.0624	14165.7019
RPL7L1|285855	794.621	604.9838	823.1101	885.7895	1193.9367	1149.7577	652.3619	1363.324	1415.6506	701.8201	1261.1044	1347.0704	1614.0854	760.5042	1924.718	1045.5954	1147.4572	560.1469	1104.2617	516.6425
RPL7|6129	1224.9389	1034.6101	2680.312	1131.9153	2116.362	2965.2816	1225.2162	971.3631	4977.7038	2142.4857	2022.8091	1677.0395	1428.9356	1919.1984	1170.8113	1566.2963	1385.5562	1995.4086	1004.5621	2016.6425
RPL8|6132	26206.194	23672.3581	46266.3265	23795.6674	35611.6808	52764.2806	31897.8709	14270.5405	15205.3245	73765.5746	23648.8595	17896.8321	20031.5488	44294.4409	31470.0367	22345.4082	10923.7557	46200.1837	23468.1206	45199.7106
RPL9|6133	2784.0261	2379.7877	132.7778	169.7873	144.4494	123.3018	477.3786	1432.0525	7343.7604	194.2798	139.2557	1773.4791	165.7106	176.1474	1393.1241	239.7321	141.497	2438.0165	2220.9859	157.7424
RPLP0P2|113157	240.4238	40.6091	119.275	22.3751	75.3455	26.6942	74.8503	44.9859	23.2945	172.2309	37.8151	105.4107	42.065	161.2799	29.3518	54.5163	233.7642	28.4665	38.7226	28.22
RPLP0|6175	36019.5599	25975.5422	16218.0257	16072.3197	23768.1676	14742.8299	19550.5655	17831.0944	25106.4892	42329.6932	28167.467	19696.9442	17853.4098	24663.5423	18569.9144	27717.3642	15802.4615	21388.4298	22603.761	23629.5224
RPLP1|6176	27489.8126	36797.8772	20759.1967	12195.2905	37207.7575	14627.7906	18288.4232	11782.9845	22992.6789	48843.2657	11572.0288	24487.5245	22431.485	25653.1997	15243.919	20198.3032	14702.0667	29410.9275	56907.5331	18406.657
RPLP2|6181	14899.7555	14054.4532	8476.965	9760.7951	27553.2769	8577.1034	5148.3699	4998.8545	9867.2213	39558.6063	13316.9268	8334.7351	4923.5182	20157.7246	5418.1275	10113.4796	4954.563	16450.8724	10521.4198	18154.848
RPN1|6184	5665.8517	8392.7088	8401.2929	8720.135	22849.309	10395.1696	7455.4225	5184.2133	4767.0549	9493.0837	8695.078	8077.3759	6337.1574	9259.5346	7119.9891	7774.519	5738.8343	7100.551	6579.7263	14727.2069
RPN2|6185	6388.7531	9685.2792	9201.617	15637.9801	6959.8752	15136.2485	17260.8051	6837.0218	5652.9085	7383.0473	9355.9424	11266.605	8702.0395	9988.0381	6495.4478	10910.9558	5832.9592	6816.8044	10833.4172	9892.9088
RPP14|11102	555.0122	494.6931	412.1177	325.9741	392.3317	429.9674	656.6866	336.145	574.376	433.4893	324.1297	321.2784	410.7712	273.7557	373.9639	285.1624	522.0218	405.4178	570.602	315.4848
RPP21|79897	409.128	328.9017	299.3915	306.2313	696.9951	306.6656	266.7997	170.78	212.6456	821.6329	270.7923	247.5694	399.6176	429.9063	296.2359	382.6628	142.4847	511.0193	567.9315	2604.2692
RPP25|54913	329.2584	175.3576	569.3694	456.2759	1655.8181	582.188	364.6041	129.9594	195.3411	227.5611	214.886	138.2114	207.457	584.3568	1051.2298	238.3342	171.8399	516.9881	436.6307	981.9103
RPP30|10556	550.1222	421.7813	393.27	558.938	465.0022	361.9608	462.0758	284.911	484.5258	511.7005	693.2773	315.1107	508.9229	283.4518	434.2981	451.5071	386.7172	518.3655	230.5552	187.4096
RPP38|10557	443.3578	377.4804	363.4512	512.8717	1950.0669	203.3844	329.674	373.2167	350.7488	402.2881	262.9052	203.5324	331.1026	464.4473	569.6426	356.453	231.9065	597.7961	322.2432	603.4732
RPP40|10799	132.0293	113.0595	162.8779	174.6133	384.3067	73.4091	95.4757	120.379	114.1431	63.2345	252.7011	63.9193	140.5354	158.0478	308.7376	217.017	82.0497	223.5996	134.8615	127.3517
RPPH1|85495	2.445	39.6862	31.5066	11.8456	53.0539	25.4231	14.6374	14.1622	60.5657	7.0723	4245.4982	1.4017	3.1867	9.373	1.0871	60.8067	5.2636	19.2837	15.5781	3.6179
RPRD1A|55197	793.806	1226.5805	720.9949	952.0373	1312.082	1142.4486	1212.5749	1968.5515	2664.5591	807.4883	2019.2077	1283.7118	2397.0682	1547.8345	1014.2682	748.2018	1256.1344	676.3085	894.6256	515.1954
RPRD1B|58490	891.6055	758.191	896.8131	1083.6553	258.1364	1509.4939	1223.2202	935.1244	1153.0782	440.5616	1134.4538	783.0109	830.4653	1044.2793	797.3909	1053.2836	780.5558	641.8733	900.4117	749.6382
RPRD2|23248	1085.5746	1632.6719	2162.4222	2004.9817	2035.6665	1889.2508	1297.4052	1575.341	3353.411	338.6375	2039.0156	2808.5226	1913.0019	2915.6432	2047.0173	787.6912	1902.9337	988.9807	1563.5919	1215.6295
RPRML|388394	0	0	0	0	0.4458	0	0	0	0	0	2.401	0.2803	0	1.616	1.6307	0	0	0	0.4451	0
RPRM|56475	4.075	0	0.5626	1.3162	1.3375	0.6356	34.9301	2.9158	0.3328	0	8.4034	1.1214	1.5934	0.3232	9.7839	1.7473	4.3347	5.9688	0	0
RPS10P7|376693	74.9796	47.0697	32.9132	35.0981	27.1957	102.9634	45.5755	95.3869	129.4509	128.5491	22.8091	63.3586	223.072	63.9948	148.3897	39.4894	47.9913	51.8825	123.2892	114.3271
RPS10|6204	8114.0994	5088.6018	4395.7342	3772.1735	8848.8631	3839.1992	2773.4531	3108.6119	6050.9151	10308.0603	3450.7803	4404.822	5787.1256	7849.3859	5170.2677	7754.2501	3849.2143	8913.2231	5752.754	7217.0767
RPS11|6205	27781.5811	23227.042	13013.635	15691.9435	36386.9817	12249.4637	13503.6593	15314.7975	22097.1714	26188.2475	44175.8703	17366.4144	13338.7508	20734.6477	7996.1951	23966.2208	14869.5719	27558.7695	16821.1862	29495.6585
RPS12|6206	16960.8802	10586.9866	7900.8442	7682.9847	10141.7744	4258.044	7531.6035	6058.5234	17222.2962	20842.4337	13403.3613	13536.305	12473.8687	15730.446	5986.683	15760.1141	9466.677	16301.6529	10081.6735	18654.848
RPS13|6207	8573.7571	8485.9252	6937.9235	5215.1462	11066.4289	3590.0532	4397.8709	4404.0404	8626.6223	13496.8279	7050.4202	4742.0802	7571.7017	7450.5495	2887.8924	7897.5303	5627.6802	11932.5069	8914.6545	5570.1881
RPS14|6208	15468.6227	14603.5994	12651.5904	11332.3148	12829.6924	7361.2457	10160.6786	6973.2375	14004.9917	20547.4779	6175.2701	8207.1769	10221.16	12292.5016	6188.8844	10443.3733	9850.9173	13181.8182	8684.0993	11904.4863
RPS15AP10|728963	4.075	1.8459	1.9692	1.7549	6.6875	1.9067	3.3267	9.9969	10.3161	0.416	4.2017	5.8873	7.9669	0.9696	5.9791	3.8441	2.7866	0.9183	2.6705	0.7236
RPS15A|6210	12974.7351	14102.9072	7706.1784	7797.4925	19441.3732	6895.686	6386.2275	5631.1569	12166.3894	17691.9397	9819.928	7708.1581	5615.9975	10914.0271	9258.8667	10666.6806	6624.971	11917.8145	8081.0059	9816.932
RPS15|6209	6667.4817	4987.0789	4685.4825	3609.4059	4238.5198	2177.8025	2721.2242	1193.3771	5686.8552	11662.1945	1364.946	3231.2868	3989.1651	5143.8268	2164.9681	2320.439	2297.3914	5065.6566	5592.9676	9220.6946
RPS16|6217	16978.8101	12139.3632	6866.7524	8957.0475	15073.5622	5979.5027	7726.5469	7837.9673	10234.609	15472.4909	13421.3685	6968.3207	7449.0121	10651.9069	8402.7721	10431.4916	5487.4216	13804.4077	8861.6891	10575.9768
RPS17|6218	15165.4442	8254.2686	6870.6907	4137.1943	27061.5247	4640.9788	7915.1697	5156.3053	12821.6306	20935.2054	4846.3385	9074.5725	9289.675	8216.225	12186.9819	11962.4921	9076.8635	18590.9091	18641.1483	18606.3676
RPS18|6222	31185.0041	21731.8874	16716.7866	19719.0174	52926.4378	10609.0411	12833.666	16548.162	32000.9983	29272.1789	21134.4538	25415.4752	18855.3219	26232.3853	21532.817	22042.4231	14867.095	30065.6566	23529.5427	38062.9522
RPS19BP1|91582	1620.2119	575.4499	727.465	1119.1922	1277.753	626.3605	791.7498	502.7596	990.6822	4199.272	991.5966	637.2302	996.4946	925.0162	537.0295	566.8301	624.1969	1567.9522	981.8627	2157.7424
RPS19|6223	18362.6732	11114.9054	9690.8133	9493.6105	24824.3424	4678.4778	7784.4311	7337.2904	11908.8186	21019.2408	19452.581	6775.4415	7685.7871	14106.658	5159.3967	16174.2286	6839.229	21499.0817	10220.5408	14860.3473
RPS20|6224	15453.1377	13670.5122	18818.7273	11033.5418	19609.8975	16929.2127	12151.0313	5679.8917	12344.7587	24760.4784	20697.479	8098.1217	7144.9968	16381.3833	9479.0053	13097.2007	8347.7049	20774.1047	9472.3489	5010.1302
RPS21|6227	7512.6324	5651.1306	4204.1628	6740.1607	11077.5747	3853.4996	5618.4298	2561.6995	5579.3677	50573.0629	10305.5222	3363.8912	5500.6373	7546.8649	2469.9008	4424.2105	2881.9568	12584.022	5645.0428	10431.9826
RPS23|6228	14483.2926	12757.7296	10124.5918	8659.5907	12555.0602	6669.7386	7120.0931	6608.3516	13202.6622	16358.1903	8979.5918	8682.9268	10583.174	9469.2954	4588.1234	8279.1446	8038.0834	15330.5785	11335.0395	11350.2171
RPS24|6229	20366.7482	18808.0295	9736.3853	12454.1393	43200.1783	10345.2769	11888.5562	11540.5602	22309.4842	38669.1628	35819.3277	15561.5363	12509.5602	13328.7007	9937.7633	20129.8083	9882.4986	23061.0652	10115.9453	21185.2388
RPS25|6230	8955.1752	11405.1684	6945.8002	6095.671	8532.3228	4048.3038	3853.2934	3580.1312	8819.3012	5573.791	11031.8127	4809.3636	3751.1154	3918.8752	3739.6385	5181.1489	5892.7162	8743.3425	5030.3772	12023.8784
RPS26P11|441502	0	1.3844	0	0.4387	0.8917	0	0	0	1.3311	2.9121	1.2005	0.841	0.3187	0	0.5436	1.3979	0.6192	0.4591	1.7803	2.1708
RPS26|6231	1811.7359	775.2653	544.8955	667.3036	365.5818	636.5298	950.4325	863.0636	823.6273	1318.3567	590.036	914.494	496.4946	332.9024	311.4554	285.1624	193.8231	322.7732	2127.9626	1314.0376
RPS27A|6233	10604.727	6067.3743	6663.6473	6787.982	12813.6424	3475.6495	5924.1517	4752.6815	9742.0965	10382.9433	12539.0156	6101.4858	6036.3289	9208.7912	6560.674	8678.9311	6240.4211	9940.3122	5317.4586	8588.2779
RPS27L|51065	1524.0424	1551.9151	1027.3404	720.3895	820.3299	603.7976	1160.0133	813.9123	1022.2962	1544.6698	390.1561	671.4326	1050.0319	1386.8778	676.1788	1040.004	977.7847	1686.8687	1953.0433	808.9725
RPS27|6232	1071.7196	191.0475	1159.5556	109.243	265.7156	43.537	665.0033	368.6348	1628.2862	945.1898	98.4394	73.4511	1014.659	1615.0614	530.5069	107.9843	53.2549	2020.202	437.5209	918.958
RPS28|6234	753.8712	1219.197	1068.6928	391.3444	794.0259	413.7602	207.5848	182.443	13.6439	183.0473	1157.8631	291.5615	204.9076	406.2702	434.2981	469.3298	283.3037	3.214	240.7923	15.1954
RPS29|6235	8407.498	5447.162	2761.6103	4719.8235	3753.0094	2591.2449	4397.8709	2709.1534	5295.1747	12364.0146	3102.0408	3826.7452	3928.9356	4857.1429	2640.0326	5450.9349	2846.0407	8580.3489	4697.897	4414.6165
RPS2P32|256355	7.335	13.3826	2.5318	7.4584	13.8208	0.9534	5.3227	1.6661	4.6589	9.9844	57.0228	4.2052	3.5054	1.2928	20.655	5.9409	3.0962	8.7236	20.9191	1.4472
RPS2|6187	16947.8403	14090.4476	13310.6973	13581.6674	20291.5738	8095.972	7030.8117	7603.4573	19551.0815	46361.7265	18744.5198	10506.5882	11289.9936	14269.2308	6888.9795	17152.0281	6123.6938	12067.034	10805.3856	13156.2952
RPS3A|6189	5927.4654	2971.8505	3547.3063	2999.5755	5119.9287	4314.6103	3294.4112	4167.4477	10475.208	6466.9787	4708.8836	5000.841	4680.6883	3927.6018	2354.1242	3358.3462	4696.6483	6404.4995	2893.5129	3822.7207
RPS3|6188	25181.7441	18297.6465	18215.3195	17584.1725	20517.6103	7890.0453	8172.322	12213.6832	20920.4659	43065.2106	23965.7863	10776.5629	16666.6667	23007.7569	23573.8551	22276.2144	13513.7395	22070.2479	10578.8361	27337.1925
RPS4X|6191	44471.8826	46016.6128	25022.7157	17261.7082	38664.2889	12517.677	20711.9095	25595.7513	42378.7022	34621.3209	27912.3649	34767.8722	50399.2989	43171.6225	28587.0363	37132.6154	27008.9016	41149.2195	37276.0654	47352.3878
RPS4Y1|6192	0	0	0	0	0	0.6356	0	0	0	4334.4774	0	0	0	0	0	0	0	0	0	0
RPS4Y2|140032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS5|6193	13757.1312	10855.5607	8168.6504	6334.3384	11553.2769	6397.0763	10118.0971	7686.348	11281.8636	17546.3339	14780.9124	9344.8276	9201.4022	8033.6134	3780.9485	10879.504	6760.5852	12449.0358	9194.1694	19191.0275
RPS6KA1|6195	1723.7164	864.3286	1451.2731	1782.986	1593.4017	1233.9716	974.3846	875.1432	890.183	1347.0619	1902.1609	700.028	760.0382	1518.746	1296.9153	1679.872	1284.9292	1532.1396	2068.3209	1197.5398
RPS6KA2|6196	834.5558	759.114	620.5676	602.8107	966.1168	325.7329	540.9182	469.8532	1190.3494	422.2569	587.0348	891.7858	263.5437	401.7453	98.9265	1598.7964	1621.1781	1028.0073	1104.7068	732.9957
RPS6KA3|6197	634.8818	307.7988	336.1642	651.5094	588.9434	379.1213	322.688	709.7782	383.0283	129.7972	1435.7743	864.5921	649.7769	238.203	1047.9685	515.459	1617.4627	692.8375	198.954	209.8408
RPS6KA4|8986	988.5901	580.0646	1006.2422	891.0542	433.3482	433.7809	469.3945	572.3211	480.1997	1828.8092	496.9988	643.9585	749.522	691.3381	999.0488	1091.0257	507.4696	929.2929	653.8333	975.398
RPS6KA5|9252	115.7294	314.2593	102.3965	97.3974	115.4704	181.4571	208.5828	374.8828	328.7854	31.6173	75.03	237.7348	96.877	189.0756	63.5956	119.8661	343.0606	169.4215	123.2892	85.3835
RPS6KA6|27330	13.8549	36.9174	15.1907	80.287	9.3625	0.6356	20.9581	120.7956	74.2097	11.2324	37.8151	89.1505	15.9337	94.053	91.3168	3.8441	62.2339	26.1708	0	0.7236
RPS6KB1|6198	559.0872	637.748	683.5808	816.4707	447.6148	821.1647	5409.5143	1398.7296	747.0882	6573.0629	557.0228	2706.476	1111.8547	429.8643	1204.5115	894.2776	2473.8757	561.9835	636.0298	510.8538
RPS6KB2|6199	935.6153	524.227	1011.8684	1549.5833	945.1627	565.0274	1372.5882	524.4195	421.9634	2401.248	514.4058	485.8424	2824.4105	679.0562	894.6868	761.8309	571.2516	927.4564	2135.084	2173.6614
RPS6KC1|26750	493.0725	875.4038	762.6287	855.9561	391.44	686.4225	502.994	690.201	878.8686	438.0655	546.2185	827.3059	1107.0746	976.4059	595.7331	1238.4994	804.7062	466.483	431.7347	673.6614
RPS6KL1|83694	163.8142	128.288	163.7218	81.1645	53.4998	97.8788	87.4917	30.8237	61.5641	311.1804	3.6014	46.2574	86.0421	102.4564	87.5119	73.7368	30.3429	140.4959	198.954	69.4645
RPS6|6194	36462.9177	31367.7896	12564.9472	11743.8405	52119.4828	8722.3326	12878.9088	15830.4696	35514.1431	28622.7769	21084.6339	19417.4376	16336.8388	25729.1532	18085.0659	25977.035	18765.2295	31982.5528	28443.7521	29668.5962
RPS7|6201	6896.4955	3519.6124	3625.2289	3812.0977	13554.1685	2503.5354	3376.2475	2617.5154	5373.0449	5112.0125	6855.3421	3218.1105	4983.7476	4847.1235	3889.1154	5756.3661	3807.1058	7814.9679	4432.6249	6842.2576
RPS8|6202	25924.2054	12699.5847	14001.0296	15057.9832	37060.6331	7663.1445	8646.3739	12316.9843	25386.3561	22478.2111	20218.4874	13082.9829	9044.9331	14169.0368	13199.6195	18126.3329	12343.3702	24213.9578	19536.219	24997.1056
RPS9|6203	18773.4311	7802.0305	7716.0242	6889.3279	10495.7646	4938.7463	6827.3453	7248.1516	13668.8852	26458.6583	12228.0912	7674.7967	8972.9127	11892.3723	3622.2313	10770.8208	7865.6243	18353.0762	11548.2363	9327.7858
RPSAP52|204010	5.705	4.1532	2.2505	0.4387	0.8917	0.3178	2.3287	2.0827	6.9884	6.6563	1.8007	0.841	1.912	1.2928	0	4.1936	1.8577	3.214	0.8902	0
RPSAP58|388524	9137.7343	8883.2487	9236.7806	4223.1847	4728.4886	3259.8713	6569.8603	4767.2602	6489.5175	12512.1165	6812.1248	3546.1172	5877.6291	5110.8597	4085.3377	5217.4931	4346.7761	8603.3058	8255.4801	8057.8871
RPSAP9|653162	26.8949	16.6128	20.2542	8.3358	14.2666	7.3091	9.98	15.4119	9.3178	40.3536	18.6074	8.9711	12.747	17.1299	20.1114	14.6775	14.2426	22.4977	32.0463	17.3661
RPSA|3921	7139.3643	6324.8731	7025.4106	2808.7293	3626.8391	3012.9499	4536.9261	3051.9629	4933.777	10788.9756	6911.7647	3379.03	3959.847	4682.2883	2460.1169	3337.0289	3203.9632	6540.404	5918.3265	6226.4834
RPTN|126638	0	0	0.2813	0	0	0	0	0	0	0	0	0	0	0	0.5436	0.3495	0	0	0	0
RPTOR|57521	826.4059	606.3683	741.2492	1054.2606	347.3027	1697.9423	1058.8822	548.162	931.1082	1374.0946	606.2425	1010.9336	1291.5838	723.0123	1034.9232	1001.563	674.9748	508.2645	976.9667	548.4732
RPUSD1|113000	555.8272	551.4536	601.4386	1057.7705	902.8087	557.4005	471.7232	405.29	622.2962	2759.0224	572.0288	305.8593	428.617	909.8255	448.4305	536.0773	236.5508	600.0918	779.3479	565.8466
RPUSD2|27079	280.3586	223.8117	186.7892	131.6181	222.4699	157.9407	204.5908	158.7004	212.9784	311.1804	259.3037	124.4743	115.0414	222.3659	110.8846	109.0327	112.7022	302.5712	472.2377	188.1331
RPUSD3|285367	572.1271	581.449	634.9144	606.3205	914.4004	438.2299	770.4591	262.418	329.4509	921.0608	481.3926	400.8971	376.0357	475.4363	222.3128	447.3135	188.5595	479.798	624.4575	678.0029
RPUSD4|84881	501.2225	424.0886	622.5368	375.9889	277.3072	318.106	303.7259	361.5537	515.1414	615.2886	295.3181	285.9546	1221.7973	254.3633	280.4729	244.9741	352.3493	542.2406	271.0582	397.974
RQCD1|9125	158.1092	131.0568	238.55	194.7947	110.1204	262.493	139.7206	157.4508	235.9401	111.0764	403.3613	234.0903	193.4353	235.2941	386.4656	325.3507	210.5426	170.7989	216.3125	129.5224
RRAD|6236	140.9943	163.3595	55.9805	5.7034	21.8457	2.2245	18.6294	7.9142	3.6606	6.2402	8.4034	13.4567	8.9229	6.4641	328.849	27.6076	26.0082	112.0294	12.0174	5.7887
RRAGA|10670	2172.7791	3628.5187	1246.7614	1057.7705	4366.4735	1070.9462	1632.7345	1680.3082	1557.7371	1079.5632	846.9388	1568.8253	1518.1644	2232.7085	1962.7667	2102.0242	1723.6628	2196.5106	3716.9244	1936.3242
RRAGB|10325	277.0986	460.5445	362.0447	140.8313	505.1271	306.9834	264.8037	336.145	289.5175	358.1903	265.3061	329.6888	259.7196	361.6677	89.1425	328.8453	400.031	334.2516	344.9427	227.2069
RRAGC|64121	321.9234	202.1228	366.2643	400.1189	365.5818	462.3818	401.5303	436.297	454.0832	119.8128	410.9484	448.8366	271.383	245.3135	1042.1144	572.6557	543.6953	292.9293	194.5032	133.1404
RRAGD|58528	321.1084	136.1329	406.4915	199.6207	1312.9737	113.4504	193.2801	115.7971	759.7338	124.389	85.2341	222.8764	109.3053	42.0168	1927.4358	177.877	337.4874	204.3159	794.4809	149.0593
RRAS2|22800	260.7987	407.0143	205.6369	66.6865	699.5096	99.1499	49.5675	364.886	386.6889	47.4259	794.7179	152.5091	572.3391	97.9315	357.1137	410.6199	257.2955	387.9706	238.5668	114.3271
RRAS|6237	698.4515	1287.9557	687.5192	697.137	1574.6768	488.4405	1067.8643	422.7845	347.421	1069.1628	636.8547	451.64	566.9216	851.9716	876.206	968.7134	365.3534	931.1295	790.9202	1197.5398
RRBP1|6238	4898.9405	4596.216	12665.6558	14377.5179	23765.0468	12668.9441	5034.9301	2922.8366	3371.7138	3330.6292	5507.2029	11470.143	2874.761	10753.7169	3620.6006	5614.1344	10603.6071	12886.5932	9061.5333	10343.7048
RREB1|6239	714.7514	1226.5805	687.8005	923.9588	945.1627	1383.332	1098.8024	1540.7685	1522.4626	167.6547	1112.2449	1475.4696	1618.8655	1127.02	914.2547	1439.7905	1272.2347	634.068	645.8217	590.4486
