TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
TET1|80312	4.2267	11.6656	72.6346	23.3365	37.9738	14.2103	34.7762	30.6937	15.7327	41.3667	22.0394	58.9474	72.7452	5.079
TET2|54790	204.9927	229.4232	671.5514	307.9283	676.4435	553.7962	472.808	255.3714	241.3852	591.3008	471.1331	798.7045	578.6702	271.4447
TET3|200424	257.8259	158.7816	778.5919	227.1042	443.2164	347.9497	671.4761	645.3857	290.3815	313.0893	361.5747	634.17	593.4826	346.5011
TEX101|83639	0	0	0	0	0	0	0	31.1029	1.3485	0	0.3194	0	0	0
TEX10|54881	401.0038	251.4582	330.0414	333.5416	418.2784	289.4844	545.69	604.0516	382.9799	335.3949	374.6706	231.2551	318.9598	349.8871
TEX11|56159	1.585	0	0	7.9686	20.1204	17.0524	0	0.4092	0	0	0	0	114.8782	234.763
TEX12|56158	0	0.6481	0	0	0	0	0.37	0	1.798	0	0.6388	0.6478	0.6583	0.5643
TEX13A|56157	0	0	0	0	0	0	0	5.3202	0	0	0	0	0	0
TEX13B|56156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX14|56155	6.34	3.2404	5.0972	0.5692	1.7003	2.8421	0	0	0	6.8945	1.2776	6.4777	1.975	5.6433
TEX15|56154	10.5666	1.2962	48.4231	2.2767	5.6677	0.406	73.2519	20.8717	14.3842	36.5001	25.553	0.6478	1.6458	1.1287
TEX19|400629	0	9.7213	25.4858	1.1384	4.5342	1.218	9.249	5.3202	5.8436	6.0833	5.1106	0	0.6583	2.2573
TEX261|113419	2432.4396	1284.5107	2311.5642	3159.5379	2971.5905	2337.3934	1998.8901	3147.9435	1334.586	3198.2156	2656.5519	1186.0729	1738.6438	1619.0745
TEX264|51368	4144.7629	2098.5094	1232.2396	3774.8253	1266.4541	1846.1226	1380.3182	1801.5142	2644.8985	2939.8763	2108.4405	5949.1498	3280.4477	2141.6479
TEX28|1527	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX2|55852	867.5208	2004.5366	1810.7678	567.476	1622.6709	511.5713	1309.6559	2117.0452	2527.1277	1489.2021	4667.2523	590.7692	1294.2725	705.9819
TEX9|374618	40.6815	78.4187	200.0637	63.7486	99.4687	43.849	85.4606	53.6116	114.6243	49.4778	159.0673	69.9595	128.3739	125.8465
TFAMP1|260341	3.6983	1.2962	36.9544	0.5692	0.5668	0	0.37	0	1.798	0.4056	0.9582	0	0	0.5643
TFAM|7019	526.2185	588.464	438.3562	330.1265	546.9359	325.6192	769.1454	805.8113	769.5558	172.7669	385.5306	189.1498	514.4832	499.4357
TFAP2A|7020	15.85	1.9443	145.2692	11.9529	1060.1488	174.9898	3429.1528	1800.6221	1639.8011	211.2947	875.1609	9.7166	10.5332	5.6433
TFAP2B|7021	0	1.2962	5.0972	0	1.9837	156.7194	2.5897	2.8647	0	0	1.9165	0	1.975	0
TFAP2C|7022	6.34	0	71.3603	6.261	3.4006	20.7065	1.4798	0	0.4495	0	0.3194	1.9433	19.0915	8.465
TFAP2D|83741	0	0	2.5486	0	0	0	0	0	0	0	0	0	0	0
TFAP2E|339488	6.8683	5.8328	7.6457	10.2453	5.6677	18.6764	9.9889	11.8682	17.0813	5.6778	7.3465	10.3644	2.3041	12.4153
TFAP4|7023	285.8275	434.8671	235.7439	288.0069	245.1293	317.093	549.3896	468.1809	327.241	367.4338	217.5198	272.0648	300.1975	256.772
TFB1M|51106	368.2473	416.7207	421.7904	273.7773	151.045	151.8473	240.1036	175.1586	186.5454	173.9836	76.0201	268.8259	177.0902	189.0519
TFB2M|64216	650.9048	353.208	354.2529	204.9061	252.4973	170.9298	649.6485	263.9656	382.5304	228.7337	314.9405	68.0162	262.6728	430.5869
TFCP2L1|29842	453.3087	248.2178	1899.9681	330.6956	281.9695	2346.3256	3328.5239	2951.0947	704.3773	268.8837	1135.8301	335.5466	381.8302	46.8397
TFCP2|7024	565.8433	517.1743	375.9159	437.133	726.8863	381.2424	533.4813	223.0407	470.1842	478.1507	176.3156	341.3765	684.661	694.1309
TFDP1|7027	956.2805	1515.8782	1485.8235	804.8255	981.084	1224.9289	2062.5231	1584.203	1219.5122	493.5618	1051.8246	682.753	1352.5346	875.2822
TFDP2|7029	154.8012	142.5794	509.7165	140.5883	169.7485	189.2002	369.9593	332.7195	245.8803	194.6669	814.1819	310.2834	626.0698	202.0316
TFDP3|51270	0	0	0	0	0	0	0	0.4092	0	0	0	0	0	0
TFE3|7030	1120.0634	1906.6753	1719.0188	1908.4724	1811.6897	2222.8989	2213.4665	2223.45	2041.6603	3557.9438	2322.7661	619.919	1131.6656	1958.8036
TFEB|7942	571.1267	523.6552	44.6002	700.0958	917.0386	1603.7353	634.8502	635.5637	614.0264	663.4898	305.6776	476.1134	615.8657	427.2009
TFEC|22797	123.6296	1135.4504	220.4524	675.6209	336.9465	348.3557	49.9445	151.4221	21.5763	12.5722	46.3148	1108.9879	1321.5932	722.3476
TFF1|7031	0	0	0	0	0	0	0	3.274	0	0.8111	0	0	0	0
TFF2|7032	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFF3|7033	6.34	3.8885	58.6174	53.5033	8.785	45.067	6.6593	42.5619	5.3941	72.189	28.7471	1.2955	4.9375	2.2573
TFG|10342	2420.8163	1440.6999	3137.3049	2315.4387	1186.8225	2846.9346	2929.7077	2656.8447	2036.7157	1476.2243	2436.7963	2444.0486	3350.5596	2843.6795
TFIP11|24144	855.7813	692.9942	306.2249	518.8279	427.0237	716.0901	698.0503	480.311	490.5693	473.7788	286.9887	885.9336	679.4668	553.9786
TFPI2|7980	8709.0213	8392.0933	3686.5244	2621.0902	18170.7403	2615.9156	19.6078	157.5609	1.798	14769.5427	1152.1201	1997.085	316.6557	11218.3973
TFPI|7035	2803.3285	2289.6954	3863.6508	7189.9266	8493.3758	3161.1855	212.7266	2595.0481	111.0282	32560.073	3676.1159	2676.5992	4966.7544	4290.6321
TFPT|29844	421.9152	448.9436	115.9478	259.32	218.9444	411.4616	155.2386	300.8103	183.1606	162.5874	179.4746	392.1555	197.4161	275.5813
TFR2|7036	241.4476	36.2929	34.4059	71.7171	5.6677	23.1425	1.8498	4.5017	3.5961	51.9112	3.1941	3.2389	5.2666	0.5643
TFRC|7037	669.3964	941.6721	4193.6923	175.3085	1153.0995	1017.4584	1485.3866	2818.4981	3108.3402	712.1565	1271.2609	410.0405	471.6919	393.9052
TF|7018	4.755	1.2962	17.8401	5.1227	4.2508	9.7442	1.1099	9.822	9.8892	0.8111	3.1941	47.2874	4.2791	23.702
TGDS|23483	278.4309	271.5489	332.59	158.233	222.7418	149.4113	277.0995	131.7782	302.0686	183.7169	120.7378	132.1457	213.6274	266.3657
TGFA|7039	627.6582	493.1951	862.6951	1606.236	1169.536	798.2136	8879.7632	11056.681	8025.9455	3077.7654	16894.3544	402.915	1010.8624	1567.7201
TGFB1I1|7041	51.2482	224.2385	150.3664	303.944	538.7177	1209.0946	288.9382	712.9118	443.6633	1730.1024	416.1942	42.753	204.0816	97.6298
TGFB1|7040	1060.3619	445.8846	270.1497	1247.6503	2039.5324	2799.4316	6133.9253	5600.1637	5225.9671	5560.9855	9625.8085	197.5709	521.3957	955.9819
TGFB2|7042	85.0614	73.882	663.9057	136.0349	368.6858	394.2347	100.9989	131.3689	25.6219	979.0125	75.7007	55.0607	57.6037	73.3634
TGFB3|7043	98.2697	219.7019	142.7206	244.7489	745.023	462.8502	287.8283	646.2042	227.9	1114.8738	573.0256	78.3806	267.2811	253.386
TGFBI|7045	3880.0687	2723.2664	5708.8245	2828.2731	10421.8208	4627.2838	953.7551	3744.2194	267.9061	12461.5229	3062.8444	2677.8947	1790.3226	3144.4695
TGFBR1|7046	942.5439	1390.7971	2056.706	1101.9394	2805.8094	2314.2509	2348.1317	2592.5926	2342.3804	1850.9581	8620.6181	852.4696	1270.2436	869.6388
TGFBR2|7048	1176.0666	773.8172	870.3409	1614.2045	2790.2232	4572.0666	3528.6718	4197.258	2646.6966	1760.5191	3851.7927	632.8745	4184.661	2282.167
TGFBR3|7049	614.9782	171.0953	287.9898	581.7056	330.712	1905.8059	441.3615	325.353	267.0071	476.5284	1156.2725	627.6923	1515.4707	275.395
TGFBRAP1|9392	125.2146	335.7097	147.8178	87.6543	666.2416	108.4044	492.7858	459.9959	358.257	375.545	550.3474	22.6721	357.1429	252.2573
TGIF1|7050	2026.6808	1079.7148	5070.4046	4161.8701	1046.8296	2555.4202	4228.6349	2791.8969	1676.2112	1914.2249	2251.8566	5740.5668	2497.0375	1243.7923
TGIF2LX|90316	0	0	11.4686	0	0	0	0	3.6832	0.4495	0	0	0	0	0
TGIF2LY|90655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGIF2|60436	471.272	446.5327	353.1698	498.7585	985.1987	903.1912	174.7355	541.5551	350.7412	824.6213	563.0536	255.8704	438.6241	467.6354
TGM1|7051	22.1899	7.129	11.4686	6.261	180.8006	46.691	12.9486	6.1387	18.8793	3.65	1.9165	93.9271	4.9375	10.7223
TGM2|7052	26652.2256	2283.8626	6309.0156	25502.9462	27258.0942	15630.5319	3910.8398	10761.2032	974.0814	20197.1003	39701.6689	1953.6842	5792.9559	10446.3883
TGM3|7053	23.2466	2.5924	25.4858	5.1227	21.5374	4.4661	12.9486	1.2277	0.4495	8.9222	0.6388	1.9433	3.95	4.5147
TGM4|7047	0	1.2962	0	0	0.5668	0	0.37	2.0462	1.3485	0.4056	1.9165	0	0	1.1287
TGM5|9333	1.0567	0	3.8229	1.1384	0	2.03	58.4536	10.2312	8.9901	4.4611	10.86	1.2955	0.3292	0
TGM6|343641	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGM7|116179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGOLN2|10618	3650.2444	4105.6384	8760.7518	4698.041	11009.5643	6383.6784	9496.4854	10306.1183	11037.1922	17801.0747	16981.8734	1193.1984	9991.4417	6599.3228
TGS1|96764	292.1675	551.523	453.6477	517.3878	426.78	317.499	540.8805	983.4254	660.3256	229.5448	787.9901	216.3563	297.235	368.5102
TG|7038	3.17	379.1316	49.6974	50.0882	21.8208	61.3073	50.6844	18.4162	56.6379	25.9556	642.6575	12.9555	74.0619	136.0045
TH1L|51497	2835.5567	1640.3111	1645.1099	1337.0122	1163.3015	1242.7933	1660.7473	2616.7383	1162.4248	1279.9351	1548.5107	2212.7935	1350.5596	1668.1716
THADA|63892	1071.9852	388.8529	951.8955	1196.993	956.4293	749.0865	849.7965	1143.0325	836.0828	1932.8805	913.5191	935.3846	894.3384	820.5418
THAP10|56906	115.7047	59.6241	39.503	73.9939	98.6185	42.6309	62.5231	47.4729	75.0677	33.6612	60.0495	45.9919	122.449	54.1761
THAP11|57215	1197.7282	1164.6144	546.6709	623.256	917.0386	630.9379	1207.1772	830.7755	1176.809	1222.3461	353.5894	520.8097	939.1047	560.3837
THAP1|55145	190.7278	220.9981	238.2924	155.3871	212.2565	140.0731	225.3052	205.0338	134.4026	159.7891	133.8337	63.4818	165.5695	246.0497
THAP2|83591	136.8379	113.4154	437.0819	134.8965	237.7612	62.5254	106.1783	46.6544	190.1414	272.5337	86.8801	115.9514	319.289	159.1422
THAP3|90326	650.815	988.1529	200.0637	664.7324	221.356	706.6991	459.4229	330.4318	599.4624	528.833	259.1647	564.8389	374.9835	490.6321
THAP4|51078	3864.2187	2546.3383	1285.7598	2799.2447	1717.8888	1786.4393	2067.7026	1908.3282	2320.3546	1682.2468	1335.1433	1921.2955	1209.0191	1663.0926
THAP5|168451	930.3923	613.7395	553.0424	556.0923	446.9005	408.851	381.798	412.523	416.2434	386.495	366.6853	257.8138	622.449	340.8578
THAP6|152815	342.359	373.2988	597.6426	240.1955	305.4906	187.5761	367.7395	223.45	390.172	185.7447	300.2475	263.6437	289.6643	327.3138
THAP7|80764	654.7827	524.9514	177.1265	660.2586	274.593	727.162	266.3707	363.7242	250.7304	426.2395	226.968	1502.9312	284.4371	227.991
THAP8|199745	140.5363	491.8989	85.3775	356.3089	242.2954	229.8011	107.6582	101.903	195.5355	228.7337	88.1578	143.1579	137.5905	117.3815
THAP9|79725	108.8363	71.2897	248.4868	77.409	83.599	61.3073	81.761	66.2983	99.7905	57.589	70.2707	202.1053	90.8492	68.8488
THBD|7056	1125.3467	213.8691	723.7974	682.4511	641.587	1192.0422	352.2013	1324.7391	272.8507	490.3173	544.2785	150.2834	341.6722	306.4334
THBS1|7057	2058.3807	1705.768	4442.179	6825.0799	19179.5962	15434.4296	4081.391	8486.1878	3822.6066	7330.4268	28771.7001	362.753	877.551	7060.9481
THBS2|7058	1235.7681	1046.6623	4360.6244	1683.6449	6834.7148	5717.8238	2881.983	4417.8433	311.0588	31022.2042	9771.1411	417.8138	5060.8953	7066.0271
THBS3|7059	1448.8231	488.0233	1309.9713	707.4952	838.5632	454.3443	317.8098	360.1801	732.7322	1156.2405	1348.8845	3698.183	716.2706	412.5395
THBS4|7060	17.9633	38.8853	197.5151	48.9498	266.3833	57.6533	95.8195	76.1203	89.9014	150.4613	303.4417	14.8988	277.4852	19.1874
THEG|51298	0	0	0	0	0	0	4.0696	0	0	0.8111	0	0	0	0.5643
THEM4|117145	681.0197	461.4388	635.8713	327.2805	429.6139	310.1908	403.2556	140.3724	282.2903	351.2116	299.2893	494.8988	214.6149	404.6275
THEM5|284486	2.1133	1.2962	14.0172	2.2767	7.368	4.4661	1.1099	1.637	3.1465	4.8667	12.1377	0	0.6583	0.5643
THEMIS|387357	0	4.5366	35.6802	13.0912	28.0553	66.1795	18.498	31.9214	24.7229	1.2167	4.1524	1.9433	9.5458	8.465
THG1L|54974	279.4875	523.6552	598.9169	174.1702	204.0383	162.8096	196.0784	152.6499	194.187	321.2004	172.1632	139.919	131.9947	181.1512
THNSL1|79896	359.2656	314.9708	333.8643	365.985	162.0971	116.5246	191.6389	162.0626	370.3937	165.8725	118.8214	252.6316	339.0388	196.9526
THNSL2|55258	1369.436	1472.4563	1043.6445	445.6707	577.5416	632.9679	22.9375	36.8324	14.8337	1343.6074	3.1941	1632.3887	658.657	944.1309
THOC1|9984	381.4556	242.385	982.4785	221.4124	95.2179	371.4982	164.2619	202.169	320.4984	96.9279	99.6566	1125.83	185.6485	230.8126
THOC2|57187	719.0596	1167.8548	841.0322	741.6462	1138.3634	883.8814	1676.2856	958.052	812.7085	832.2012	1339.6151	1123.8866	1016.7874	759.0293
THOC3|84321	603.8832	1253.4025	1842.625	683.5894	416.0113	820.5441	726.97	1018.2116	939.4694	518.7063	451.9684	778.6235	729.7564	318.2844
THOC4|10189	1385.8143	1221.6461	1262.8226	693.8347	691.7464	937.0686	1081.761	1186.0037	752.4745	886.9512	1159.4666	233.8462	670.1777	656.8849
THOC5|8563	847.4442	667.5308	463.842	533.325	242.8622	558.6683	516.4632	731.328	246.3298	303.7615	280.7634	1013.1174	593.4826	385.4402
THOC6|79228	1236.867	1707.7252	422.109	940.4563	708.7439	970.069	1473.5368	950.706	1166.4075	467.6833	488.4261	2758.3935	955.0461	946.2133
THOC7|80145	1141.725	633.8302	1557.1838	1210.6534	389.373	783.1912	1094.7096	947.0023	802.3698	495.5896	564.4015	1419.919	753.7854	1193.5666
THOP1|7064	834.7642	1519.1186	493.1507	1018.8386	510.0956	1051.1571	768.0355	1436.4641	523.6755	667.5454	780.0048	862.834	500	544.5824
THPO|7066	0.5283	379.7797	211.5323	3.4151	2.2671	26.3906	2.9597	5.7295	0.899	1.6222	3.5135	0.6478	0.3292	2.8217
THRAP3|9967	1996.0375	1892.4174	1522.778	2219.2467	2463.1952	2629.7199	2863.485	2616.329	2386.4321	2199.7364	2879.8211	1186.0729	2736.6689	2868.5102
THRA|7067	1412.6271	2689.9352	745.3711	1362.005	1177.7853	777.9131	944.2582	441.4037	1752.1824	2771.0149	1065.224	1164.0551	1560.8163	1264.4808
THRB|7068	140.0079	174.9838	746.7346	295.4063	247.113	189.2002	630.4107	340.4952	526.8221	334.9894	316.5376	216.3563	444.3713	365.1242
THRSP|7069	0.5283	0.6481	0	3.4151	0	2.03	0.37	0	0	0	5.7494	0.6478	2.9625	3.386
THSD1P1|374500	141.0646	126.3772	113.4119	88.2235	95.7846	109.2164	86.8073	73.6648	124.5134	33.6612	69.9513	160.6478	88.5451	124.7178
THSD1|55901	66.5698	65.4569	36.9544	102.453	79.6316	159.9675	68.8124	98.2198	126.7609	57.589	53.9807	44.0486	29.6248	32.167
THSD4|79875	393.0789	419.9611	892.0038	1655.1858	715.2674	686.9671	2446.9108	922.4473	424.784	1421.0686	1740.4775	61.5385	284.0685	471.219
THSD7A|221981	22.1899	49.2547	67.5374	59.1951	98.6185	254.9736	178.6903	96.5828	35.0615	121.6668	98.379	22.6721	44.4371	5.6433
THSD7B|80731	2.1133	8.4251	28.0344	1.7076	23.8045	10.1502	3.6996	300.3888	0.899	32.85	42.4818	0	11.1916	12.9797
THTPA|79178	417.9104	458.8464	166.9321	187.2614	212.8232	293.5445	160.5623	272.5599	161.373	286.7282	236.0457	188.502	300.1975	313.7698
THUMPD1|55623	1099.4585	1578.0946	3318.2542	898.7408	1765.2143	952.903	1335.5531	1241.2523	1445.1647	1419.4464	1304.1603	2171.336	2057.6037	1059.2551
THUMPD2|80745	144.7629	132.8581	477.8592	99.0379	116.1885	131.9529	266.0007	182.5251	324.544	173.578	122.0155	231.2551	104.0158	193.0023
THUMPD3|25917	1231.0131	593.6487	690.6658	842.9608	618.6327	547.3	1075.8417	931.4508	789.7836	597.3842	869.4402	917.247	1207.7024	900.6772
THY1|7070	218.7294	1066.7531	5727.9388	1769.0225	943.9603	5294.3565	894.5616	3584.6122	1620.9218	5878.5359	2832.2287	422.3482	871.2969	988.149
THYN1|29087	274.2042	439.4038	795.1577	921.5082	192.136	539.1799	600.8139	541.8457	593.3491	265.2337	272.1393	829.7976	425.609	360.0451
TH|7054	2.1133	0	0	1.7076	0	2.4361	0	0.4092	1.3485	0	25.2336	0	0	1.1287
TIA1|7072	1171.8399	954.6338	3924.8168	710.9103	696.8473	925.2944	656.3078	678.9441	1290.0848	885.7346	495.4084	8446.9636	1115.5365	1305.3047
TIAF1|9220	742.7711	596.4809	535.4572	720.7685	350.26	1044.2509	294.9834	495.6497	329.6953	600.8111	189.4626	1957.7717	417.9493	508.4932
TIAL1|7073	1076.2119	1345.431	1150.6849	598.7811	1117.1095	832.7243	1187.5694	1050.5423	1630.3615	603.4675	891.7991	1124.5344	859.7762	1113.9955
TIAM1|7074	27.4733	43.4219	45.8745	83.67	227.2759	240.7633	47.7248	109.6787	34.612	44.6112	93.9072	33.0364	86.5701	48.5327
TIAM2|26230	26.5064	17.0901	116.5084	17.1837	110.2713	24.0601	40.5327	31.5245	11.2197	42.5388	7.0398	27.6599	29.1968	31.1174
TICAM1|148022	902.3907	1045.3662	359.3501	1093.4016	718.1013	1000	656.3078	639.247	485.0179	1011.8625	1050.2276	717.7328	865.0428	1331.8284
TICAM2|353376	105.138	91.0369	0	102.675	238.6312	240.5644	0	76.5746	21.891	153.1583	29.2773	62.7304	36.7084	177.088
TIE1|7075	88.7597	294.232	109.589	244.7489	240.8785	1052.3752	624.1213	1058.318	589.3035	411.6395	1009.9816	148.9879	281.106	136.5688
TIFAB|497189	1.0567	1.9443	12.7429	6.8302	5.9511	15.0223	4.4395	6.548	0	1.2167	0.3194	0	2.9625	1.1287
TIFA|92610	231.9377	184.7051	319.8471	294.8371	310.3082	296.7925	364.7799	327.8085	254.4209	377.1672	295.4564	80.9717	237.9855	111.7381
TIGD1|200765	266.8076	521.711	1364.7658	337.5258	174.5661	107.1864	219.3859	152.6499	364.5501	209.267	124.8902	519.5142	150.4279	146.7269
TIGD2|166815	141.5929	82.3072	354.2529	118.9594	164.9309	116.9306	163.1521	92.4903	171.2621	184.9336	100.9343	99.7571	117.8407	195.2596
TIGD3|220359	17.4349	5.1847	6.3715	6.8302	5.101	12.9923	24.4173	48.2914	10.7882	2.8389	10.2212	27.8543	15.4707	10.158
TIGD4|201798	20.0766	11.6656	40.7773	19.9214	35.4233	8.9322	12.2087	6.9572	22.9249	10.1389	18.5259	57.004	22.3831	22.009
TIGD5|84948	359.794	360.337	71.3603	259.5477	232.9437	373.1222	227.525	358.0929	253.9714	289.9726	230.2963	275.9514	172.8111	314.3341
TIGD6|81789	259.9392	263.7719	489.3278	167.9091	153.5955	113.2765	126.896	118.273	148.3373	156.9502	130.0008	145.1012	129.3614	153.4989
TIGD7|91151	180.383	141.0434	945.5241	155.9563	219.0804	108.7292	384.3174	244.8496	284.9874	271.7226	353.1294	397.085	130.5332	184.9153
TIGIT|201633	0	2.5924	12.7429	42.6888	33.1562	249.2895	26.2671	97.8105	14.8337	7.3	6.7077	3.2389	11.1916	6.2077
TIMD4|91937	70.7965	222.9423	1132.8449	125.7896	116.4718	56.4352	2.5897	10.6405	4.4951	109.5002	9.9018	125.668	53.9829	136.5688
TIMELESS|8914	330.7357	782.8905	589.9968	585.1207	769.1109	493.7069	512.0237	891.7536	511.5388	733.2455	503.3938	362.1053	1000	569.4131
TIMM10|26519	807.8193	656.5133	273.9726	708.0643	313.7088	576.5327	286.7185	388.3773	325.8925	337.4227	579.7333	505.2632	356.1554	648.9842
TIMM13|26517	2379.6064	2366.8179	369.5444	1986.4506	1448.1049	1796.1835	1172.771	1298.5472	1329.6414	1260.874	1297.1333	1660.2429	962.1461	1950.3386
TIMM16|51025	519.3449	610.8166	508.9519	450.7308	151.6769	412.3833	456.9071	241.8089	342.4029	365.7224	311.2226	1077.5709	193.2028	309.1817
TIMM17A|10440	827.8959	931.9507	2004.46	848.6527	778.746	730.8161	1266.7407	561.4897	841.0274	636.3176	1006.1487	452.1457	650.4279	980.8126
TIMM17B|10245	922.9956	836.6818	242.1153	1281.2322	841.3744	1030.4507	685.1646	568.0377	760.5657	1687.519	1064.9205	932.1457	786.7018	1007.9007
TIMM22|29928	983.7538	408.2955	359.3501	605.6113	636.7694	517.6614	865.7048	676.8979	952.0556	312.2782	390.0024	492.9555	748.8479	746.614
TIMM44|10469	1610.3553	1578.0946	340.2357	985.2567	925.5402	816.484	972.2531	955.5965	1362.9049	405.1506	633.714	1605.1822	693.8776	1392.7765
TIMM50|92609	1256.373	2166.5587	988.85	1261.8799	941.9766	1112.0585	854.236	1244.117	1024.4262	712.1565	1004.2322	1986.0729	848.2554	1141.6479
TIMM8A|1678	154.2729	195.7226	166.9321	97.3304	98.3351	71.4576	152.7932	92.081	141.5947	110.7168	137.0279	63.4818	85.9118	164.2212
TIMM8B|26521	557.39	1095.269	507.1679	840.1149	287.6373	628.5018	560.8583	708.8193	580.3134	416.9117	344.007	781.8623	380.5135	856.6591
TIMM9|26520	618.6765	906.0272	522.4594	340.9409	472.1219	381.6484	502.7747	288.5206	467.4872	483.8284	194.2027	460.5668	283.7393	642.7765
TIMP1|7076	5495.7073	2640.3111	7468.6206	17505.24	7847.8215	37528.6236	17269.7003	15626.3556	7313.9266	33059.7181	8510.7402	7334.0891	5833.1139	12904.0632
TIMP2|7077	6317.7916	1118.6001	14438.9933	5181.2778	23019.7662	8678.4409	9772.475	13531.8191	31073.0629	31964.3111	30267.5078	3508.3401	8486.5043	3879.2325
TIMP3|7078	1573.9004	1004.5366	935.3297	2676.8702	1642.2246	12811.2058	3635.5901	4629.8343	2306.4199	2888.7762	4539.1679	335.5466	2488.4793	1945.8239
TIMP4|7079	5.8116	5.8328	20.3887	45.5347	13.3192	21.5185	3.6996	6.1387	9.8892	37.3112	8.6241	1.9433	4.6083	9.0293
TINAGL1|64129	9435.4775	3511.9896	572.1567	11577.1934	1461.1406	5868.8591	2825.3792	3974.6266	4270.765	3291.899	10176.1559	8479.3522	4296.5767	7187.9233
TINAG|27283	470.2153	1381.7239	377.1902	2135.5767	488.8417	410.475	685.5346	51.9746	299.8211	79.0834	87.1996	166.4777	128.3739	1920.4289
TINF2|26277	939.9023	832.1452	499.5221	483.2368	1060.7156	1067.3975	558.6385	885.6149	726.8526	830.9845	717.7194	350.4453	874.5885	946.3883
TIPARP|25976	203.7881	254.6986	685.5687	829.8468	229.5204	424.259	595.6271	391.6022	319.5095	336.206	542.4227	354.9798	799.5359	317.1558
TIPIN|54962	92.9864	132.21	115.9605	87.6543	65.1789	54.8112	39.5856	84.7145	61.5824	30.8223	46.6342	78.3806	53.9829	67.7201
TIPRL|261726	645.6215	753.7265	1290.857	575.4446	748.707	602.1112	953.0152	529.5682	597.3947	644.0231	536.932	420.4049	626.0698	710.4966
TIRAP|114609	62.3432	261.1795	124.8805	92.7769	129.5076	104.3443	136.145	136.2799	138.8976	142.3502	92.6296	53.1174	108.9533	117.3815
TJAP1|93643	682.6047	891.7693	681.7458	548.6929	482.6072	632.1559	609.6929	637.61	614.4759	474.9062	311.7464	904.2915	497.6959	658.5779
TJP1|7082	1653.1502	1125.7291	1564.8296	1962.5449	2364.8601	2728.38	2658.5276	2266.8304	1573.2741	1603.5689	2378.6633	2094.251	2212.9691	1875.8465
TJP2|9414	2626.3373	1193.7784	1716.4702	1943.7618	1972.9366	1662.2006	2724.3803	3618.1707	1922.541	1329.413	3977.9606	1787.8543	3585.9118	4719.526
TJP3|27134	346.5857	2.5924	31.8573	384.7681	213.9568	261.8758	477.9874	300.798	457.1485	111.5279	297.0534	573.2794	375.576	397.2912
TK1|7083	210.2761	2553.4673	2098.7576	847.5143	414.8778	2176.2079	1665.5568	2076.9388	396.9146	751.4955	2645.6919	926.9636	1229.4273	461.0609
TK2|7084	1366.7943	856.1244	672.8257	1972.221	1046.2628	1369.4681	1045.505	1612.0319	2151.7895	945.7569	704.6235	3033.5223	2396.9717	2153.4989
TKTL1|8277	0	0	0	7.3994	12.469	3.2481	7.7691	0	0.4495	3.65	0.9582	0	0.3292	0.5643
TKTL2|84076	0	0.6481	0	0	0.2834	0.812	0	0	0	0	0	0	0	0
TKT|7086	6792.2335	14180.1685	10433.8961	16185.8726	8549.203	5452.294	17584.9057	27420.5034	19925.7415	16365.0005	24900.1038	4928.2591	7131.0072	8519.1874
TLCD1|116238	550.5217	278.6779	600.1911	133.189	140.8431	144.9452	628.9308	491.5081	716.9635	200.7503	537.5709	992.3887	259.052	222.3476
TLE1|7088	630.8282	763.4478	1294.6798	908.9861	521.4311	876.1673	2065.8528	1447.1046	2070.8782	1110.4127	579.4139	733.9271	634.2989	1575.6208
TLE2|7089	1463.4791	36.941	50.9716	233.9344	478.9231	664.6366	763.226	563.5359	381.6314	673.2232	458.9954	1680.3239	663.9236	430.5869
TLE3|7090	674.1514	812.7025	340.2357	1685.3525	1382.926	1630.5319	1167.9615	1350.931	711.1199	1431.2075	2267.5078	496.8421	622.449	827.3138
TLE4|7091	255.1843	86.1957	137.6234	303.3748	226.4258	485.1807	246.0229	226.3147	45.8497	270.9115	76.9784	435.3036	448.3213	287.8104
TLE6|79816	11.6233	2.5924	36.9544	10.8145	20.6872	15.8343	32.1865	14.3237	8.5406	21.4945	110.5166	11.0121	2.9625	2.8217
TLK1|9874	723.2862	1215.8134	1855.368	1064.3732	1367.0563	1033.2927	1965.9637	1733.9881	1737.7936	1154.2127	870.0791	980.081	1262.3436	921.5576
