TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
ABHD3|171586	144.7629	217.1095	601.4654	176.4469	155.0124	255.7856	439.1417	273.7876	358.257	139.1057	394.4742	639.3522	256.0895	170.4289
ABHD4|63874	640.3381	2590.4083	1050.0159	1092.8324	3895.9972	1326.8372	2295.5975	1377.5322	3471.9912	1560.9855	1076.4194	889.3927	1264.6478	1620.2032
ABHD5|51099	426.3638	229.4232	476.5849	563.4917	400.1417	449.4519	669.9963	482.5046	564.5807	218.5947	456.1207	444.3725	844.9638	450.9029
ABHD6|57406	614.4499	536.617	159.2864	646.0233	334.6794	221.6809	181.65	225.9055	418.9404	94.4946	456.4402	1494.413	1883.476	1487.0203
ABHD8|79575	577.4666	530.1361	205.1609	470.7148	873.9639	870.4832	587.4954	728.8725	552.8935	328.5005	608.4804	621.2146	463.792	439.0519
ABI1|10006	821.8043	1068.1335	977.3176	724.6503	1240.6518	1238.4247	1610.5475	1406.9204	1519.3603	709.7232	1087.2794	800.868	1071.0731	1182.833
ABI2|10152	978.9988	1111.4712	3079.9618	1192.4395	1578.746	1042.6309	1964.1139	1915.2855	1509.4441	1537.0577	1788.7088	752.0648	1823.5681	1001.693
ABI3BP|25890	603.3549	92.6766	310.927	1177.6408	1769.4651	693.0572	383.6478	225.4962	357.358	2194.4642	1061.7264	1367.4494	2653.3904	2427.7652
ABI3|51225	67.0981	294.8801	140.172	159.9406	601.3461	818.514	159.8224	556.1694	137.5491	169.5225	169.6079	99.7571	155.0362	125.2822
ABL1|25	1166.0283	2178.8723	1786.5562	3075.2987	2939.8512	2879.0093	3073.6219	4604.0516	1961.6481	2213.9309	6092.4699	1842.915	2901.58	2086.3431
ABL2|27	385.6822	505.5087	1847.7222	618.7025	1366.2062	863.581	1286.3485	903.2126	824.3956	1213.0184	1305.1186	456.6802	905.2008	1118.5102
ABLIM1|3983	3214.899	3375.8911	2690.0287	4349.7007	4518.5972	3213.5607	2224.9353	3689.7892	4967.5007	2048.8695	4352.9506	3190.9312	7530.9414	4401.8059
ABLIM2|84448	154.2729	25.2754	82.8289	402.4128	106.2699	572.0666	65.8528	84.7145	69.6736	70.9723	68.6736	45.9919	64.5161	103.8375
ABLIM3|22885	110.9497	583.2793	658.8085	453.6393	509.2455	378.4003	78.8013	162.8811	34.612	970.0902	149.4849	119.1903	303.4891	1639.9549
ABO|28	31.6999	71.9378	12.7429	10.2453	38.8239	73.0816	2.5897	198.895	50.3448	52.7223	228.0604	31.0931	127.7156	0
ABP1|26	384.6255	4138.6909	783.6891	2197.6177	34.2898	1693.0572	1116.1672	299.9795	10278.4246	632.262	13319.1727	142.5101	57.6037	2.2573
ABRA|137735	8.9816	2.5924	35.6802	1.7076	1.4169	0	0	3.274	2.697	0.4056	0.3194	28.502	1.3167	1.1287
ABR|29	2158.7637	942.9682	471.4877	4577.3741	2800.4251	2678.4409	3154.643	5980.7653	3231.505	2251.242	2447.0175	917.247	1686.9651	1458.2393
ABT1|29777	691.5863	457.5502	471.4877	657.407	595.9617	647.5842	705.5124	631.4713	569.5252	451.7895	322.287	398.3806	488.4793	642.2122
ABTB1|80325	576.41	150.3564	173.3036	655.6994	400.7085	1079.5778	541.6204	864.7432	656.7296	603.4675	1219.8355	460.5668	516.4582	465.5756
ABTB2|25841	209.7477	330.525	174.5779	358.5856	139.9929	553.3902	835.7381	874.1559	649.088	249.8226	1323.9639	99.7571	654.3779	926.0722
