TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
ADAMTS20|80070	0	0	0	0	0	3.2895
ADAMTS2|9509	63.0312	20.1149	10.932	22.7642	444.4452	2187.5
ADAMTS3|9508	293.7637	170.6178	47.9327	26.0163	20.7101	55.9211
ADAMTS4|9507	346.4808	377.8736	315.9075	371.5447	405.9836	2235.1974
ADAMTS5|11096	305.988	121.0489	215.8374	141.4634	523.3408	250
ADAMTS6|11174	3.0561	1.4368	5.3259	7.3171	703.4857	41.6667
ADAMTS7|11173	121.4784	51.3649	63.63	142.6829	127.5479	808.6623
ADAMTS8|11095	4.5841	2.8736	4.2046	20.7317	2.3011	0
ADAMTS9|56999	197.8799	90.8764	115.7673	171.9512	609.4685	327.3026
ADAMTSL1|92949	7234.4571	6059.9856	12202.1023	3265.4472	2593.3639	157.3465
ADAMTSL2|9719	352.9749	988.5057	469.7968	684.9593	200.1976	25.7675
ADAMTSL3|57188	33.2346	10.0575	32.7961	31.3008	481.9206	0.5482
ADAMTSL4|54507	50.043	110.9914	15.6973	358.9431	10077.9258	1461.0746
ADAMTSL5|339366	37.4367	3.592	11.2123	4.878	170.283	477.5219
ADAP1|11033	1266.9468	681.5086	1158.2873	2510.6789	356.8612	455.6579
ADAP2|55803	176.1054	72.9167	47.0918	113.8211	252.4659	975.8772
ADARB1|104	128.3545	74.3534	126.9797	150.813	1034.8472	1327.3026
ADARB2|105	0.382	0.3592	134.2677	0.4065	0	0.5482
ADAR|103	4208.5761	3398.3477	3881.7099	3448.374	6254.1194	4757.1272
ADAT1|23536	223.4744	187.5	517.7295	481.3008	254.4383	59.7588
ADAT2|134637	29.0326	56.3937	17.0988	53.6585	148.258	122.807
ADAT3|113179	46.6049	36.9971	57.1829	115.0407	48.981	299.8904
ADA|100	59.9752	14.0086	14.576	50	513.4788	298.2456
ADCK1|57143	464.5211	347.342	660.4064	741.8699	90.7299	206.1404
ADCK2|90956	1835.5458	1198.2974	785.9846	1898.7805	980.2942	570.7237
ADCK4|79934	734.9823	616.0201	292.0813	572.3577	413.2157	348.6842
ADCK5|203054	155.095	117.0977	80.1682	458.1301	297.1734	423.2456
ADCY10|55811	3.4381	1.0776	0	5.2846	0	1.0965
ADCY1|107	749.1166	15.4454	34.7582	3845.935	24.6549	1176.5351
ADCY2|108	0.382	0	0.2803	0	3.616	6.0307
ADCY3|109	246.0777	281.1243	179.958	263.1626	5130.2911	966.7818
ADCY4|196883	99.7039	29.454	38.4022	80.4878	104.8654	48.7939
ADCY5|111	113.8382	1173.8506	36.4401	255.2846	9.5332	0
ADCY6|112	1414.1916	1559.6264	1667.274	2024.3902	249.836	1036.1842
ADCY7|113	183.7456	339.4397	113.8052	947.9675	1251.1526	1043.3114
ADCY8|114	0	0.3592	0.5606	0	1.6437	3.2895
ADCY9|115	350.6828	436.0632	316.4681	1195.935	1026.9576	438.0482
ADCYAP1R1|117	0.764	0.3592	0.2803	0.4065	0	0
