TCGA-KL-8327-01A-11R-2315-07	TCGA-KL-8329-01A-11R-2315-07	TCGA-KL-8332-01A-11R-2315-07	TCGA-KM-8439-01A-11R-2315-07	TCGA-KM-8441-01A-11R-2315-07	TCGA-KM-8476-01A-11R-2315-07	TCGA-KM-8477-01A-11R-2315-07	TCGA-KM-8639-01A-11R-2403-07	TCGA-KN-8422-01A-11R-2315-07	TCGA-KN-8423-01A-11R-2315-07	TCGA-KN-8424-01A-11R-2315-07	TCGA-KN-8425-01A-11R-2315-07	TCGA-KN-8430-01A-11R-2315-07	TCGA-KN-8437-01A-11R-2315-07	TCGA-KO-8403-01A-11R-2315-07	TCGA-KO-8406-01A-11R-2315-07	TCGA-KO-8410-01A-11R-2315-07	TCGA-KO-8411-01A-11R-2315-07	TCGA-KO-8413-01A-11R-2315-07	TCGA-KO-8415-01A-11R-2315-07	TCGA-KO-8417-01A-11R-2315-07
PPIP5K2|23262	382.0755	671.3565	883.6354	454.0588	933.9968	445.7519	891.2383	932.3193	697.2436	1192.5778	880.6057	1046.2075	993.047	1065.2921	555.0364	778.5407	878.9901	744.1509	465.0541	680.2794	868.272
PPL|5493	270.7547	539.6011	116.6273	405.1131	689.8883	165.4265	443.1448	731.9659	1098.0569	856.0656	452.2839	937.7507	324.7444	554.9828	288.6015	479.3555	459.1524	149.8113	802.5861	940.3546	826.8414
PPM1A|5494	3583.0189	4280.0629	3359.6007	1606.0308	2100.8356	5596.1239	3251.8277	1795.4982	2791.2336	4169.7346	4855.3124	3730.7759	4432.3108	2517.5258	5874.6061	5498.4894	4414.0667	6590.1887	4011.147	3119.828	4553.1161
PPM1B|5495	572.6415	910.701	871.5524	1154.5941	1285.5131	764.146	1255.2019	1541.0617	936.2856	934.4274	1143.1899	1084.9172	876.8916	1515.1203	811.4745	910.0064	1707.8449	1032.8302	794.5602	671.1445	1019.83
PPM1D|8493	102.8302	165.5218	209.6139	295.4223	365.0361	112.1301	162.4114	229.546	107.0944	184.5198	191.3637	168.0907	161.9632	347.7663	166.0328	158.1983	239.8557	173.2075	212.6853	118.216	138.102
PPM1E|22843	185.3491	120.7581	32.7292	1.0707	4.3789	236.906	486.132	1.0786	10.5829	359.8344	105.6095	175.4211	82.5521	4.0344	322.6426	249.3967	22.2182	1181.917	22.0042	75.9377	190.3576
PPM1F|9647	804.717	515.9811	919.3486	906.8065	1311.4787	580.7233	430.5477	516.8626	412.6435	860.3741	549.1305	503.306	759.8814	988.1615	733.0436	635.6715	516.5014	534.517	1105.0006	639.237	469.0227
PPM1G|5496	2040.566	1347.6786	1393.7484	1967.0054	1723.4063	1533.1372	1724.4404	1766.6129	2392.2277	1505.1379	1297.6121	1665.5623	1220.0409	1485.2234	1458.6548	1149.8673	2396.7538	1268.3019	1810.2776	1768.9414	1408.6402
PPM1H|57460	1830.1887	1758.8347	2438.6656	1702.6112	2041.4985	2104.1703	1393.769	1797.6492	1389.0646	2069.3428	2391.8795	1047.9512	1754.6012	1885.2234	1543.4098	2283.6217	1345.7169	1809.0566	1120.0535	1358.9468	1621.4589
PPM1J|333926	46.2264	104.6098	25.2167	83.9069	43.564	16.6119	56.6865	216.6398	84.5007	101.4268	91.189	40.8021	33.9468	18.2131	35.6406	42.4792	71.7764	51.3208	57.5187	168.1891	49.9292
PPM1K|152926	376.4151	290.3253	266.8768	694.8541	1046.6623	408.3752	171.8592	1051.548	365.5671	464.5524	391.3803	187.2711	252.3517	783.5052	461.154	302.1148	389.5401	714.717	759.3356	153.6808	348.796
PPM1L|151742	86.7925	1074.2365	1132.125	121.9272	191.1558	192.4208	452.1426	251.6709	304.1121	1832.4832	1161.8271	662.5981	905.9305	336.0825	477.6703	1545.7292	783.4085	730.9434	401.7389	90.274	662.8895
PPM1M|132160	595.283	555.4912	304.1765	199.2789	164.4916	260.2526	153.4136	202.1971	385.4496	151.4009	211.3321	228.0732	298.5685	201.0309	413.7781	212.7621	223.6249	147.9245	343.7744	455.669	294.9717
PPM1N|147699	4.717	3.9725	2.1014	0.874	3.7555	6.2295	3.5991	7.0677	4.5188	0.8871	4.3265	2.0924	4.908	1.0309	3.4771	2.5634	2.5248	3.7736	4.0129	2.6867	1.7705
PPME1|51400	1155.6604	1280.1457	1019.1752	935.2125	766.1252	1252.8119	830.9526	972.5743	943.5156	1052.118	1187.1204	968.0907	702.2495	717.5258	1177.0075	1103.3599	1088.5482	1126.4151	1150.3734	1541.6443	1020.5382
PPOX|5498	325.4717	139.0383	131.8624	493.8272	309.4545	229.1054	207.4007	479.3731	173.0682	178.0143	124.4696	187.9686	188.5481	316.8385	140.8236	139.1559	121.9116	140.7547	201.9842	216.5502	149.7875
PPP1CA|5499	5078.1604	4076.4843	4801.7652	3095.7675	2100.7492	7387.5688	3716.0859	3249.9501	5603.0863	5122.0551	3270.8911	5338.8282	5054.1063	2130.323	4336.7771	3631.6177	4484.2994	3460.8264	7290.8215	9091.5852	4276.8201
PPP1CB|5500	3312.2642	4153.8558	4841.3869	5649.457	7187.6819	3893.4072	8133.1684	5769.145	10172.5576	4788.6508	4822.7273	5487.163	6711.6564	6769.0722	5016.1904	4418.5151	10067.9856	5480.3774	4878.3101	4355.7227	4312.8683
PPP1CC|5501	2552.8302	2768.8488	2275.8077	1617.3932	1812.7875	2358.1935	2137.8923	1207.9588	2009.9413	3189.1772	3158.9983	2254.2284	3347.2393	1823.7113	3221.5582	2905.4289	2988.2777	3811.6981	1663.1368	2414.2934	2879.9575
PPP1R10|5514	4991.5094	1812.7948	1887.5755	2194.2533	1123.2748	2469.6314	1271.8479	2448.7977	1464.9797	1773.3422	1497.6288	2016.3906	2053.5787	1909.2784	1810.7139	2315.8473	1786.1136	1021.1321	2583.8814	2437.3992	2250.7082
PPP1R11|6992	1183.0189	962.0127	970.8432	2213.4819	1741.8083	1164.9074	1598.9203	2204.5018	988.2512	842.1675	942.5077	901.4821	1128.0164	1683.8488	1347.8214	891.6964	991.8846	1138.1132	1302.4189	1453.5196	1097.7337
PPP1R12A|4659	855.6604	1028.5525	1073.8114	779.1981	1181.4853	697.0064	793.1616	995.0065	746.498	1686.1093	1373.492	1057.367	1514.1104	1142.6117	1378.6809	1345.4179	1466.9071	1391.6981	874.8189	823.7507	1287.5354
PPP1R12B|4660	1411.3208	7362.741	2253.2178	322.5172	629.0489	602.1803	4406.2535	377.0454	2542.7022	1206.4759	5577.8351	4759.8954	3947.6483	392.7835	1532.5437	1389.3619	4150.0451	952.4528	1725.5601	2002.6867	6302.4079
PPP1R12C|54776	1816.0377	1146.073	2049.3827	1515.1317	1183.3631	2594.9126	1334.833	1929.1695	1727.5192	1550.3807	1345.5362	1546.9922	1844.1718	1102.4055	1465.1744	1206.262	1188.0974	1318.4906	1408.9845	2028.4793	1348.0878
PPP1R13B|23368	1953.7736	822.6434	1589.7032	433.9561	386.067	904.6548	591.6095	457.8628	841.3918	1558.9562	975.7883	1096.4255	1037.6278	632.646	1116.1578	1106.2895	889.8106	807.1698	1104.0018	1042.4503	976.983
PPP1R13L|10848	92.4528	321.7744	168.6367	332.5686	275.2793	103.8242	313.5755	433.5868	699.9548	248.9835	91.8546	146.1203	266.6667	261.8557	73.4543	94.1133	249.2335	30.566	314.7921	527.6733	105.17
PPP1R14A|94274	126.4151	55.6153	118.7287	18.3546	91.6346	97.5947	53.5373	36.2603	14.9119	28.3877	26.9573	26.5039	40.4908	30.9278	61.2844	23.4368	25.248	31.6981	69.1116	75.7657	24.7875
PPP1R14B|26472	2798.1132	1516.8418	1936.4329	1554.9	1864.6137	5960.8929	1697.8967	1369.9009	3363.7596	2081.171	1315.9165	3068.8753	1740.6953	1387.2852	1922.4166	1290.8542	1738.8638	2213.2075	2641.8459	5950.0269	1256.0198
PPP1R14C|81706	953.7736	6.2898	94.0373	0	7.511	1.3843	64.7846	0.9219	4.5188	1.4785	105.4996	4.8823	13.4969	9.9656	444.6376	135.8601	8.2958	296.2264	1.7835	333.1542	5.6657
PPP1R14D|54866	16.9811	7.283	1.0507	6.5552	4.1311	49.8356	0.8998	3.6875	2.2594	2.0699	1.664	2.7899	1.227	6.1856	2.1732	7.324	1.8034	7.1698	0.4459	3.7614	7.0822
PPP1R15A|23645	2948.1132	880.576	2523.772	610.9472	3831.3773	1587.1258	1453.1549	844.4342	5987.7994	1227.471	1943.2565	1216.7393	4613.9059	448.4536	1818.1028	1264.854	2777.6375	933.9623	4267.0828	3257.3885	1112.6062
PPP1R15B|84919	584.9057	732.5995	926.7139	1145.8538	3262.7922	987.022	954.6733	1142.506	1208.7664	814.0756	957.484	729.2066	1003.272	1560.1375	800.6085	756.5687	1684.0397	706.7925	1481.6631	578.7211	801.3456
PPP1R16A|84988	665.2925	949.1683	942.1854	1156.045	744.7864	428.4686	1263.8983	1001.7731	1029.0601	1095.9296	846.4331	941.5484	893.2311	683.7457	526.5805	904.9602	1030.6114	550.4075	1666.9401	2328.9575	534.7273
PPP1R16B|26051	75.4717	72.4986	366.6929	90.8992	223.4532	93.4418	87.2793	58.0779	66.8775	95.8084	151.4269	63.8187	328.8344	136.4261	161.6864	137.6911	190.8025	82.6415	239.8841	97.7969	70.4674
PPP1R1A|5502	69.8113	52.3049	3.6774	69.4854	102.5256	35.9924	20.6951	1614.8114	2.7113	28.092	109.8261	4.8823	1.227	35.3952	39.987	9.8874	5.4103	85.283	73.1245	23.1059	11.3314
PPP1R1B|84152	24.5283	205.247	206.4618	59.8711	48.8217	0.6922	8.9979	13.8281	428.8296	279.4411	9.6514	89.2764	777.0961	25.7732	39.5523	0.7324	98.1064	17.3585	735.2581	37.0768	2.4788
PPP1R1C|151242	0	36.4148	2.6267	13.1105	9.7643	4.153	40.0405	6.4531	13.5563	7.3926	32.9478	43.592	28.6299	15.4639	2.6078	1.4648	6.4923	0.3774	30.3199	10.2096	6.0198
PPP1R2P1|5505	0	1.3242	7.3549	1.311	3.7555	4.153	0.4499	1.5365	3.615	7.0969	2.3296	0.6975	3.681	3.4364	6.085	2.5634	2.8855	1.5094	7.1341	1.0747	2.8329
PPP1R2P3|153743	18.8679	57.9326	100.3415	56.812	69.1015	32.5316	59.3859	55.6196	66.4257	40.8073	78.8751	26.5039	59.3047	74.2268	55.1994	56.761	54.1028	58.4906	54.8434	22.0312	51.6997
PPP1R2P9|80316	0	0	0	0	0	0	0	0	0	0	0.3328	0	0	0.3436	0.4346	0	0	0	0	0	0
PPP1R2|5504	436.7925	1058.3464	2138.1665	1110.8926	1154.4456	847.8976	1164.7734	1200.5839	1530.0497	742.8107	1641.7339	802.4412	1242.9448	1268.3849	1061.8277	881.4428	1013.8864	1071.3208	1037.5655	656.6362	944.7592
PPP1R3A|5506	0	0	0	0	0	0	0	0	0	0	0.3328	0	0	0	0	0	0	0	0.4459	0	0
PPP1R3B|79660	552.8302	653.8111	174.9409	1571.5066	16484.8371	682.471	966.3705	447.1076	2256.6652	133.9543	587.7361	395.4664	4516.9734	1975.6014	713.6803	761.6955	1496.4833	201.8868	1058.5219	2219.237	412.1813
PPP1R3C|5507	625.4717	2008.7727	344.103	2589.315	2304.009	662.3983	710.3813	894.8298	1234.0714	1087.6026	1161.1615	778.3784	1417.9959	2674.9141	666.3045	637.92	626.5104	504.1509	766.9156	1479.8495	2097.0255
PPP1R3D|5509	166.9811	329.7194	266.3515	326.0133	162.6138	126.6655	665.6709	324.1914	401.7171	384.7121	288.5298	258.3958	283.8446	297.2509	181.2452	286.7344	175.9784	203.3962	178.3525	210.1021	230.5241
PPP1R3E|90673	328.3019	150.6248	89.3092	341.169	120.1765	349.5414	172.759	239.072	88.1157	173.8745	119.8103	206.4516	185.2761	199.3127	157.7746	158.1983	145.3562	89.8113	199.3089	219.7743	192.2805
PPP1R3F|89801	495.283	106.265	125.5582	89.1511	95.0146	265.0978	150.2643	117.9995	97.6051	70.9692	142.7739	88.5789	57.2597	68.0412	154.7322	208.3677	33.5437	244.9057	195.296	134.8737	160.7649
PPP1R3G|648791	15.0943	10.5934	11.0323	46.3236	14.271	5.5373	44.5394	9.526	4.0669	5.3227	4.9921	4.8823	5.317	17.5258	9.5621	3.662	15.5095	8.3019	11.5929	11.2843	3.5411
PPP1R7|5510	1306.6038	710.0886	663.5146	1367.4205	990.3295	1214.743	1274.9972	1038.3345	1330.7727	442.0788	682.5859	693.9843	765.2352	880.4124	847.9844	569.4406	1023.6249	745.283	705.8299	1174.0999	804.1785
PPP1R8|5511	411.3208	539.9321	493.8272	879.2746	771.383	406.9908	556.5178	732.5805	647.0854	520.7363	496.5471	507.4106	572.1881	747.7663	556.3403	478.6231	552.9306	583.3962	614.4243	542.1816	587.8187
PPP1R9A|55607	1182.0755	854.0925	454.4261	410.7943	491.2215	1116.4561	493.9827	658.5235	678.7167	1872.1076	1217.073	1169.3112	934.5603	578.6942	1159.1872	1437.3341	1034.8061	1175.0943	921.1905	713.5948	1106.2323
PPP1R9B|84687	1036.7925	850.451	1313.8955	1521.2499	1403.0607	685.2397	793.1616	1368.3644	1008.5856	949.8041	685.5812	1110.3749	1076.8916	1384.5361	924.9158	572.004	1153.8323	430.566	1676.9591	1197.7431	601.6289
PPP2CA|5515	4514.0943	3430.1879	4379.6848	3477.9766	3506.2248	4311.4518	2838.7178	2972.4084	3263.859	1949.81	3459.0565	2354.4969	2167.2802	3246.9003	4114.5713	3287.6389	2843.8413	4356.1774	2413.8758	2896.2493	3569.2918
PPP2CB|5516	836.7925	2580.1539	2708.1692	2407.9537	3248.8968	1014.0163	2148.2398	2825.5358	2767.2842	3543.7274	2118.3127	2708.2825	3089.1616	2966.323	2319.2437	2332.3263	3896.4833	1265.283	2764.9092	2829.6615	1302.0538
PPP2R1A|5518	12220.7547	7910.9493	10722.8789	7311.7011	6052.0139	11770.2025	8500.7311	7660.444	9952.5531	8074.8133	7637.241	9058.4133	8605.726	6461.1684	7727.9148	6808.0198	9940.4869	8267.9245	6827.3325	11797.4207	7614.0227
PPP2R1B|5519	608.4906	1221.882	1314.9462	823.3366	746.221	733.6909	1273.1976	825.9968	914.1437	1763.8796	1173.8081	1743.6792	916.9734	1043.6426	906.2262	1011.0775	1468.3499	866.0377	1235.9826	1249.3283	1024.0793
PPP2R2A|5520	318.8679	969.9578	925.6633	585.6003	896.0661	278.941	589.8099	647.461	637.1441	1008.3537	684.5827	637.8378	801.227	830.5842	686.7326	825.4143	1130.3877	506.0377	884.0709	820.849	409.7025
PPP2R2B|5521	1.8868	7.614	2.6267	2156.2329	1696.7421	6.2295	0.8998	3.9948	1.8075	2.957	13.3123	3.8361	4.09	1767.0103	6.9543	2.1972	19.1163	1.1321	10.2553	6.4481	1.0623
PPP2R2C|5522	4.717	2.6483	2.1014	2.6221	1279.5043	2.0765	1.7996	2.4583	84.5007	2.6613	3.3281	1.7437	1.227	136.4261	6.9543	1.0986	125.5185	0.7547	4.0129	3.2241	1.0623
PPP2R2D|55844	1052.8302	494.9102	550.5647	1731.8912	1198.7607	811.9052	1225.9588	777.7522	1091.7307	492.6443	485.2317	645.8588	675.6646	1174.5704	530.6965	476.4259	621.8215	554.3396	776.725	821.0639	599.1501
PPP2R3A|5523	601.8868	1377.1414	1359.0754	2756.2548	3174.1621	751.6871	1132.831	2731.1977	633.5291	833.8878	1377.4856	610.9852	930.4703	4052.921	804.5203	1486.771	807.9351	1102.6415	687.9946	296.6147	1326.4873
PPP2R3B|28227	343.3962	79.4505	154.9777	253.0318	153.225	182.0384	145.7654	84.1976	137.822	92.8513	118.4791	110.2005	156.6462	85.2234	99.0981	53.8314	42.9216	69.0566	81.5963	161.2037	135.2691
PPP2R3C|55012	483.0189	690.2259	465.9837	253.0318	308.7034	473.4383	478.6863	273.1812	454.1347	547.6454	602.0468	929.7297	470.3476	280.0687	701.0757	598.3704	500.9919	818.8679	614.4243	670.6072	639.8725
PPP2R4|5524	6870.7547	5543.6564	2418.7024	6405.7686	4532.1566	6920.9206	2783.039	6671.8906	5445.549	2040.3637	4191.6965	4305.8413	2053.9877	4499.6564	4036.5098	4128.9023	1851.7583	4101.1321	2660.573	5142.9339	4783.6402
PPP2R5A|5525	3134.9057	4613.4238	4547.938	984.5952	1099.9906	5363.5577	13357.7775	986.7097	7118.8432	3990.2417	6404.1934	5556.7568	9825.7669	1072.8522	2731.7179	4442.3693	6451.2173	3169.434	2302.9763	3586.244	5189.0935
PPP2R5B|5526	1035.8491	773.3179	892.5663	735.0595	570.0873	1329.6418	446.294	800.4917	825.1243	642.271	549.1305	952.7463	553.3742	571.134	701.0757	658.7934	645.9874	726.7925	992.9774	1325.6314	819.7592
PPP2R5C|5527	1723.5849	2894.9764	1695.2981	1773.8446	1904.0466	2173.3864	2099.6513	1714.3735	1581.5635	2350.2624	2448.1238	2423.714	2261.3497	1950.5155	2218.407	2267.1427	2329.6664	2538.1132	2135.7708	1878.5599	2341.0057
PPP2R5D|5528	667.9245	551.5286	654.0583	1212.739	989.2254	607.0254	1031.1551	1711.0271	481.2472	660.309	446.959	661.9111	556.6462	1037.8316	492.4481	532.0883	570.9757	457.7358	618.4372	803.3477	591.0163
PPP2R5E|5529	308.4906	823.9676	513.7904	547.143	884.424	313.5491	755.3706	598.9091	657.0267	986.4715	956.8184	694.333	898.1595	942.9553	764.0987	858.7384	863.1199	770.9434	491.8069	448.1462	777.2663
PPP3CA|5530	1102.8302	1187.4534	1264.5127	442.6964	579.4761	1443.8484	1165.2233	849.0436	3326.254	1468.7662	2349.9459	1470.9677	1626.9939	517.1821	1622.5144	1525.222	1625.248	1924.1509	1112.4735	1459.4304	1952.9037
PPP3CB|5532	508.4906	774.311	408.1954	724.5712	924.2325	639.557	1703.7454	1187.3704	686.8504	803.7259	663.2831	936.7044	849.4888	1097.9381	661.0888	678.5682	635.5275	875.4717	654.9994	583.5572	709.6317
PPP3CC|5533	219.7075	464.0867	980.7302	590.6173	524.961	253.8986	830.7952	426.8142	688.8929	866.4981	368.1904	465.2589	734.6953	481.3093	383.2142	372.524	722.4022	230.4604	492.7745	444.7071	222.1742
PPP3R1|5534	404.717	575.6848	534.279	804.982	1062.811	299.7058	758.9697	872.7049	735.2011	610.6306	622.0151	611.3339	743.9673	1154.2955	550.69	439.8059	844.725	453.5849	578.3079	539.4949	420.6799
PPP3R2|5535	0	0.331	0	0	0	0.6922	0	0	0	0	0	0.3487	0	0	0	0	0	0	0	0.5373	0
PPP4C|5531	2469.8113	1576.0987	1649.0675	1382.716	1000.0939	2576.2243	1152.1764	1227.6254	2139.1776	1556.2948	1261.3362	1570.3575	1890.3885	932.3024	1536.0209	1406.5733	1318.3048	1655.4717	1932.0031	2654.4868	1621.1048
PPP4R1L|55370	32.0755	40.3873	44.6546	18.3546	43.564	26.9943	43.6396	50.0883	64.6182	77.179	30.2854	68.0035	59.7137	28.1787	45.2027	63.3526	69.9729	32.4528	111.0244	39.2262	54.1785
PPP4R1|9989	1152.8302	992.7998	2088.7838	1297.4981	1975.0258	1136.5288	1539.0845	2422.678	2356.9815	2242.0344	2135.6186	2172.2755	1091.2065	1537.1134	1496.4685	1855.9004	2171.6862	1524.9057	1246.2379	2148.3074	1752.4788
PPP4R2|151987	80.1887	641.2315	559.4957	242.9804	566.7074	155.0441	485.8846	388.4151	350.6552	484.3646	851.9844	386.0506	892.4335	593.4708	555.0364	819.9213	524.4364	613.5849	364.7308	191.8323	727.3371
PPP4R4|57718	14.1509	159.8941	3.6774	0.437	0	3.4608	1.3497	0.6146	44.7357	23.6564	255.2625	366.1726	2.863	1.0309	1.3039	1.0986	245.6267	5.6604	12.9306	44.0623	9.2068
PPP5C|5536	1281.1321	1636.0175	1640.6619	1733.6392	1377.8988	1580.2042	1532.3361	1687.9465	2399.4577	2631.7735	1413.0959	2273.0602	2059.3047	1324.055	1391.7201	1545.363	2317.7638	1371.6981	1125.85	1895.755	1915.0142
PPP6C|5537	1682.0755	2288.1735	1003.9401	1606.9048	1873.2513	1964.3537	1705.095	1584.0824	1446.0009	1297.8487	2526.6661	1784.1325	1301.8405	1921.9931	2142.3449	2251.0299	1003.7872	2619.6226	1270.7613	1043.525	2282.5779
PPPDE1|51029	380.1887	488.9514	523.2467	1185.1852	1152.5678	443.6754	803.9591	683.7213	599.1866	485.8431	571.4286	542.9817	637.2188	1621.3058	423.7749	340.932	913.6159	350.566	651.8783	463.7292	392.7054
PPPDE2|27351	654.717	424.3979	983.4515	643.2864	843.4889	1020.9379	842.2	355.8424	602.3498	500.3327	350.7779	336.1813	289.5706	697.2509	597.1966	382.3126	554.734	310.1887	832.906	599.6776	374.2918
PPRC1|23082	517.9245	661.4251	491.2004	557.6314	749.2254	384.8417	431.4475	490.7429	456.394	497.0799	506.5313	561.116	392.229	493.8144	559.8175	531.3559	881.5149	460.3774	1025.9726	420.2042	531.5156
PPT1|5538	1303.7736	1874.3689	1084.8437	4113.6239	3165.5244	1478.4565	1447.7562	5120.9956	1165.8382	1417.9049	1463.0169	1399.8256	1425.7669	3652.2337	1846.3544	1249.4736	1534.3553	1408.6792	1611.8604	1187.5336	1216.0057
PPT2|9374	352.066	417.0421	308.4108	538.4683	699.9155	264.0388	322.1505	800.1321	177.5508	198.7048	204.3298	206.8248	195.3252	478.8694	206.6196	193.9614	169.2263	154.1925	292.4624	224.3041	271.937
PPTC7|160760	189.6226	1144.0867	1084.8437	449.6886	1080.0864	259.5605	1917.8945	621.6486	901.9431	1689.0663	2063.0668	1183.9582	1947.2393	945.0172	693.2522	1369.9533	2289.2696	1356.9811	852.0789	504.0301	1332.153
PPWD1|23398	460.3774	288.339	278.4345	326.0133	251.244	295.5529	368.0126	234.1553	240.8495	278.554	420.0017	308.2825	217.5869	284.8797	395.5232	454.0877	282.4166	392.8302	225.6159	284.7931	461.0482
PPY2|23614	0	0	0.5253	0	0	0	0	0	0	0.2957	0	0.3487	0	0	0.4346	0	0	7.9245	0	0	0
PPYR1|5540	0	0.331	0	0	0	0	14.8465	0	1.3556	0.2957	0.3328	97.9948	0	0.3436	0	6.9578	24.1659	0	0	4.2988	0
PPY|5539	0	0.331	0	0.437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PQBP1|10084	2767.9245	678.3084	993.9585	1165.5195	637.3111	2127.7038	546.1703	847.5071	799.8192	716.1972	677.5938	876.7219	603.681	651.5464	969.2492	633.1594	1059.6934	959.6226	1157.5075	1420.2042	847.7337
PQLC1|80148	1907.5472	645.8661	1190.4387	1184.7482	949.3944	1739.4013	678.4389	2446.3394	1160.4157	687.2182	735.1693	1026.3296	583.2311	981.0997	895.3602	925.0206	968.8007	804.9057	971.1292	1821.6013	888.4561
PQLC2|54896	666.9811	257.883	279.4852	846.4984	410.8534	486.5894	451.2428	474.7638	492.5441	230.6498	219.6522	305.1439	283.0266	495.8763	299.0329	198.4803	225.4283	215.0943	559.5809	680.8168	224.1501
PQLC3|130814	171.6981	521.0627	332.02	374.959	301.1924	296.9372	725.2278	237.5355	673.2942	255.489	628.0057	457.8901	593.047	448.7973	359.0134	402.0873	453.0207	244.9057	1540.0736	346.5879	283.2861
PRAC|84366	0	0	1.576	0	0	0	0	0	0	0.2957	0	0	0	0	0	0	0	0	2.6753	0	0
PRAF2|11230	717.9245	314.6239	301.5498	678.619	324.4766	526.0426	96.727	740.2627	517.8491	240.4081	257.2593	184.83	381.1861	424.7423	369.8663	240.7324	296.4833	255.4717	331.2897	467.8345	244.3343
PRAM1|84106	18.8679	55.9464	46.756	29.28	26.2886	32.5316	12.597	58.3852	32.0831	30.1619	47.2585	41.8483	32.7198	40.2062	67.804	8.4226	16.2308	12.4528	53.5057	73.6163	10.2691
PRAMEF10|343071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11|440560	0	0	0.5253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12|390999	0.9434	0	0.5253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4459	0	0
PRAMEF13|400736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14|729528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF16|654348	0	0	0	0	0	0	0	0.3073	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17|391004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18|391003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1|65121	0	0	0.5253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20|645425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF22|653606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2|65122	0	0	0	0	0	0	0	0	0.4519	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF3|401940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4|400735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5|343068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6|440561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8|391002	0	0.6621	20.4886	0.437	0	0	0	0	0	0	0	0.3487	0	0	0	0	0	0	0	0	0
PRAMEF9|343070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAME|23532	0	0	1.576	0	0	0	0	0	0.4519	2.6613	0	0	0	0	0	233.2692	0	0	0	3.2241	0
PRAP1|118471	9.434	0.9931	0	0	0	0	0	0.6146	0	0.2957	0	0.3487	0	0	0	1.0986	0	0	0	0	0
PRB1|5542	0	3.6415	23.6407	0	0	0	0	0	0.4519	1.1828	1.3312	1.0462	77.3006	0	0	0	1.4427	0	27.6446	1.0747	0.3541
PRB2|653247	1.8868	7.283	118.7287	0	0	6.9216	0	0	1.3556	8.2797	4.9921	8.0209	438.0368	0	0.8693	0.7324	3.9675	0	108.3491	2.6867	1.7705
PRB3|5544	0	3.6415	2.1014	0	0	0	5.3987	0	0	0	1.664	2.4412	15.9509	0	0	7.6902	0	0.7547	4.0129	0	0
PRB4|5545	0	0	0	0	0	0	0	0	0	0	0	0	3.272	0	0	0	0	0	0	1.0747	0
PRC1|9055	150	263.8418	192.2774	74.2926	99.1456	95.5183	176.3581	72.5206	136.4663	64.168	206.6728	74.2807	220.8589	120.2749	171.6831	525.8629	102.0739	170.1887	196.6336	342.2891	335.6941
PRCC|5546	1040.566	753.7863	713.4226	1346.8808	1069.5709	919.8823	702.7331	1179.6881	1064.6182	671.2501	596.7219	750.4795	798.773	1212.0275	723.2424	596.1732	616.0505	618.1132	837.3648	738.3127	700.779
PRCD|768206	4.717	1.6552	0.5253	12.6734	8.2621	9.6903	3.5991	5.2239	4.0669	2.9984	0.6656	5.9285	4.499	7.9038	2.1732	2.5634	9.7385	2.2642	4.0129	4.8361	2.1246
PRCP|5547	2260.3774	5569.4778	10059.3643	9496.777	10253.3095	3845.648	7690.0236	9413.8434	6388.6127	8179.4929	5963.5577	5107.9337	8588.9571	9586.5979	7372.3786	4940.0348	10638.413	9442.2642	7665.1432	5360.0215	4521.6006
PRDM10|56980	119.8113	242.986	177.0423	152.9553	210.3089	142.5852	227.196	186.8326	145.5038	345.3833	289.5316	296.0767	195.501	268.0412	179.5067	221.1847	297.2047	221.8868	155.1666	146.6953	216.3598
PRDM11|56981	33.0189	40.7184	27.3181	17.9176	23.2842	55.3729	21.5949	26.427	33.4388	73.9262	48.2569	60.3313	47.0348	26.8041	41.2909	63.7188	45.0857	54.717	54.8434	35.4648	52.762
