TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
ABAT|18	79.8872	235.6656	185.7725	208.1019	303.5698	210.5263	347.1675	221.3588	240.6825	282.4652	194.0589	330.4113	1292.9461	234.9745	98.6047	584.5519	90.9366	254.5455	102.6509	269.1112	374.3928	277.9419	335.8111	105.9557	256.5976
ABCA10|10349	33.3647	2.3366	53.4662	16.9879	20.9217	8.5929	22.0062	10.5009	8.0826	25.366	5.8266	4.7269	12.8631	13.9219	14.4186	3.7495	1.2085	12.7273	10.7163	15.4943	4.8577	4.0874	10.9314	87.2576	9.7442
ABCA11P|79963	78.7735	67.7689	67.2406	97.687	77.3898	151.3179	62.862	83.0243	47.4719	70.5819	78.7831	109.0391	100.2448	96.6553	64.8837	61.8898	58.4381	64.5818	141.5285	77.0759	108.5531	62.3177	83.5068	133.3657	127.9903
ABCA12|26154	0	0.3338	4.0779	0	6.9739	4.627	1.1383	2.1002	1.3471	0.8599	1.9406	7.4174	0.8299	4.7538	13.9535	6.3742	5.136	0	0.564	0	23.2477	13.7485	0.8745	0.6925	0.812
ABCA13|154664	4.6992	125.1765	5.4372	5.8804	5.7432	6.2794	11.3825	215.8984	0.8981	145.317	1.4554	5.3945	88.3817	16.9779	3.2558	0.7499	14.8036	1.8182	10.1523	4.0774	5.8987	276.4556	28.8588	15.2355	0.406
ABCA17P|650655	6.5789	1.3352	28.5455	10.1274	42.6639	0.9915	4.553	6.7206	6.2865	6.8789	14.5544	14.4976	21.9917	20.034	2.7907	73.4908	15.1057	1.8182	4.5121	1.631	10.4094	34.9285	13.1176	12.4654	2.4361
ABCA1|19	411.6212	1124.5857	2052.9542	1655.3185	1212.2199	869.8571	701.1646	1693.0967	1582.3934	325.0285	305.1576	1761.9117	1148.5394	1331.6978	517.6419	428.1965	1006.3051	659.0909	731.3931	1774.4379	1755.975	445.1529	814.9628	407.8947	716.1835
ABCA2|20	5403.1955	3487.918	7227.9112	7486.1156	5876.9476	1160.043	7039.7232	6925.9687	4416.2551	8601.2167	10270.5666	7723.8705	3882.9876	9776.91	2026.9767	4770.9036	3919.3353	16550	929.498	4682.9431	3284.5246	2094.5969	5393.9659	6567.867	5229.395
ABCA3|21	3421.5226	1254.4354	1728.5908	1644.8873	1849.3145	311.3278	898.0826	1281.5289	580.1527	1790.2362	1643.1936	1160.4855	1610.3734	1314.4312	316.2791	1990.6262	1316.6163	1252.7273	1452.3407	775.9374	931.6447	1761.2895	1171.4036	1377.4238	2019.0824
ABCA4|24	0.4699	1.0014	1.3593	0.3267	0.8205	4.2965	0.3794	1.6801	8.0826	1.2898	6.3069	15.1719	0.8299	0.3396	2.7907	0	2.4169	3.6364	0	3.262	3.8168	2.6011	3.498	2.7701	0.406
ABCA5|23461	891.9173	977.7119	1159.0394	879.7779	959.937	1309.0969	754.2832	966.9222	900.7634	546.0135	510.8552	762.9737	756.0166	1093.039	2090.2326	256.8429	301.2085	609.0909	655.9504	1035.2627	1499.653	464.8467	734.5868	1187.6731	579.7808
ABCA6|23460	2.8195	12.0169	5.8903	2.2868	4.9228	162.9348	2.2765	4.2004	1.3471	1.7197	1.9406	4.0459	0.8299	1.6978	16.2791	1.1249	8.4592	0.9091	7.3322	3.6697	6.2457	1.1147	1.749	4.1551	2.8421
ABCA7|10347	175.282	192.6049	429.9955	444.9526	329.004	158.9689	221.9596	178.5152	462.9546	402.4162	210.5539	217.1274	347.7178	268.5908	305.1163	697.7878	558.3082	227.2727	294.4162	777.9761	324.7745	494.2015	552.2519	587.9501	405.6029
ABCA8|10351	58.7406	8.3451	2.7186	3.5936	2.8716	467.3222	34.9065	1.2601	5.3884	4.2993	1.4554	8.766	1.6598	6.4516	328.3721	0.375	13.8973	0.9091	77.2702	2.8542	0.694	2.9726	0.4373	12.4654	11.7743
ABCA9|10350	1.8797	633.8938	9.5152	0.9801	4.1023	107.7419	5.3119	1.2601	2.2452	7.3088	1.9406	1.0115	0.4149	2.7165	102.3256	0.375	10.2719	0	11.8443	2.8542	1.3879	1.4863	0.4373	7.6177	4.0601
