TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
RPUSD4|84881	426.2218	299.4222	186.2256	426.658	276.9049	477.5675	533.8412	315.4468	229.0076	147.8966	355.1278	464.2616	190.4564	402.0374	339.5349	389.5763	269.4864	344.5455	559.5037	340.0587	421.5822	304.3241	425.0109	388.5042	533.0897
RQCD1|9125	78.9474	104.1468	75.2152	129.6962	112.8131	155.3334	140.3847	108.7892	96.5424	114.7918	100.9106	133.8503	88.7967	114.7708	127.907	237.3453	101.5106	104.5455	102.6509	114.9839	132.8938	121.8783	95.7586	54.0166	123.0207
RRAD|6236	125.9398	107.4849	830.0861	95.067	155.8872	256.7958	642.7342	491.4418	996.4077	176.2721	200.3658	1489.8854	69.2946	155.1783	3163.2558	527.1841	126.8882	220.9091	137.0558	642.1973	98.8897	130.053	416.7031	153.0471	99.8782
RRAGA|10670	984.4925	983.3866	2416.4024	1798.7586	2127.8603	2006.7752	2285.6146	1915.3628	1970.3637	1024.0977	1747.9854	2050.9103	2184.2324	1718.8455	1020	1966.2542	1449.2447	1614.5455	1984.2076	1889.487	2061.0687	1087.2433	2072.5842	1662.0499	1810.7998
RRAGB|10325	489.6617	470.3298	448.5727	749.4283	513.6073	294.4724	489.4493	508.6632	345.7566	556.7618	641.8498	868.1726	685.4772	721.2224	337.2093	483.3146	578.2477	819.0909	738.8607	437.9174	784.8716	913.7154	575.4263	353.1856	387.7385
RRAGC|64121	205.8271	267.1367	127.5396	370.7939	175.9884	471.7244	348.3058	257.0619	151.7737	236.7291	211.039	539.7842	253.112	194.1935	615.3488	344.5819	549.4713	218.1818	314.3993	268.4792	281.5406	395.3612	205.2602	56.0942	253.5526
RRAGD|58528	3472.7444	4122.1456	2556.4114	4642.9271	2421.9949	5064.86	4030.5583	3924.3936	3136.5065	3942.4751	5139.6496	3146.325	3957.6763	4644.1426	8554.8837	3351.706	4952.2659	4185.4545	4633.3897	2530.8688	5103.4004	2904.2698	3754.7005	3146.8144	4104.7503
RRAS2|22800	356.203	11.6831	133.2125	258.0856	175.9884	177.1462	167.7028	294.8651	153.5698	158.2149	52.881	303.439	163.9004	199.6604	12.093	307.8365	371.2991	17.2727	323.7451	142.3028	150.5899	159.4079	300.8308	254.8476	396.6707
RRAS|6237	965.6955	494.0299	276.8464	678.5364	329.8245	396.2654	344.891	721.2013	726.5379	852.5549	1032.8784	1375.59	306.639	304.9236	602.7907	627.2966	305.7402	1060	313.5928	516.2043	189.7988	807.4435	550.9401	2151.662	732.0341
RRBP1|6238	6909.3045	4690.28	12971.9076	5397.9092	8872.8535	4847.7237	6103.3193	9590.6752	9005.8374	8170.8549	7556.6531	6106.878	11514.1079	13312.0543	1699.0698	6166.1042	6890.6344	8350.9091	4930.062	7867.8338	7683.2061	2217.5899	7601.2243	9212.6039	9720.2598
RREB1|6239	1331.297	1209.3719	1160.8518	1412.9369	1478.8773	1054.2841	1509.7046	1228.1844	1190.8397	1697.371	855.7997	1163.5199	1832.3651	1314.4312	873.9535	898.7627	1121.148	1014.5455	1611.3931	1535.565	1459.4032	1206.5205	1057.7175	916.205	1450.6699
RRH|10692	0	1.0014	0.4531	0.3267	1.2307	0	0	0.42	0.449	2.1497	1.4554	0.3372	0.8299	0.6791	0	3.3746	0.3021	0	1.128	0.4077	1.3879	2.9726	0.4373	0	0
RRM1|6240	719.4549	1279.8045	393.7472	886.6384	749.4893	867.5535	709.1324	910.2174	1079.9282	568.3699	773.8098	863.4525	610.7884	1281.4941	1206.5116	865.3918	3528.0967	674.5455	904.1173	765.336	1445.8709	634.6588	831.2199	605.9557	684.5311
RRM2B|50484	1975.094	4679.5982	1354.7802	1692.5841	1336.5277	3273.238	1021.7729	1896.4612	1723.8437	1656.9574	1495.7089	2319.6224	1751.8672	1732.4278	2665.5814	2437.1954	1227.4924	1507.2727	1158.4884	1260.3376	2096.1138	1169.3625	1145.6056	1716.0665	1000
RRM2|6241	13.6278	14.6874	57.0911	16.9879	71.3799	34.7021	11.762	24.3621	26.9421	52.4517	10.6732	8.4289	73.029	21.7317	18.1395	72.7409	355.8912	14.5455	6.2042	44.4441	112.7689	16.3495	42.8509	12.4654	29.6387
RRN3P1|730092	14.5677	32.379	5.8903	2.6135	22.1524	33.7107	6.8295	12.6011	26.044	18.917	6.7921	37.4241	8.7137	9.5076	6.5116	5.6243	21.4502	2.7273	8.4602	21.2027	28.1055	96.6108	29.7333	16.6205	4.8721
RRN3P2|653390	4.2293	1.3352	1.8124	1.9601	7.3841	10.2454	2.2765	5.0404	7.6336	3.0095	7.7624	5.7316	0.8299	2.0374	2.7907	1.4998	6.0423	3.6364	5.0761	4.4852	2.0819	2.6011	7.4333	12.4654	3.6541
RRN3P3|100131998	63.4915	67.4418	50.145	55.691	62.0759	102.6985	57.3339	56.772	53.9111	73.0067	49.4947	55.7249	70.5519	62.4143	82.5488	67.604	50.0151	75.7727	58.8268	97.2307	76.7592	92.4788	85.5662	44.6884	60.9379
RRN3|54700	1109.0226	1662.0101	1576.8011	1700.7514	1556.8209	2078.1624	2035.1986	1516.3289	1480.018	1343.537	1536.9464	1923.8031	1370.5394	2048.5569	1284.6512	2026.9966	1894.2598	1291.8182	1421.3198	1133.1214	1819.9167	2182.2898	1412.7678	1216.0665	2177.0199
RRP12|23223	676.2218	242.6755	578.6135	236.1973	469.3025	376.4356	478.0668	293.605	259.542	362.8625	511.8303	324.3425	382.5726	420.034	260	558.3052	397.5831	520	237.4506	324.5645	368.4941	410.2244	289.0249	269.3906	503.4511
RRP15|51018	281.485	294.4151	322.6099	250.8984	255.1627	426.0101	254.2101	238.5803	296.3628	199.4884	305.6427	315.2394	260.9959	332.7674	236.7442	163.4796	326.5861	213.6364	767.0615	225.8903	312.2831	392.3886	280.2798	262.4654	234.2672
RRP1B|23076	423.4023	256.0277	370.6389	360.6664	447.1501	553.9123	751.2478	370.8915	636.731	429.5019	862.5918	657.4511	324.4813	585.399	218.1395	495.688	731.1178	611.8182	470.9532	391.0268	677.6544	824.9078	651.9458	342.1053	544.458
RRP1|8568	426.6917	179.5866	453.1038	286.5077	402.8454	438.5689	645.7696	246.561	479.5689	363.7224	656.8893	632.5017	275.1037	590.8319	301.8605	546.6817	488.5196	459.0909	284.828	296.0224	516.3081	716.778	653.6948	447.3684	331.7093
RRP7A|27341	1233.5526	525.7413	1055.2787	488.0758	1099.0048	650.7477	1147.3603	1053.8696	882.802	1318.601	746.6416	1325.0169	826.971	1245.5008	1508.3721	638.5452	1240.1813	688.1818	753.5251	1049.1261	918.8064	638.7461	738.9593	1704.2936	1410.069
RRP7B|91695	115.8318	183.9694	127.4128	84.9918	110.204	86.329	118.2419	82.537	89.3714	56.9402	33.2423	88.1423	132.7967	99.3005	136.0837	137.874	234.4622	45.8909	88.7422	83.5917	128.8237	112.3101	178.7188	178.705	110
RRP8|23378	653.6654	452.3044	398.2782	747.1415	395.8715	355.2838	631.3517	502.7827	417.1531	360.7128	686.9685	579.9056	258.5062	551.7827	414.4186	343.0821	342.2961	517.2727	526.7908	339.2432	463.567	295.4062	466.5501	644.7368	519.6914
RRP9|9136	309.6805	234.6642	737.6529	443.3192	604.268	188.0525	484.5169	341.489	450.3817	440.6802	466.7116	427.5118	566.39	446.18	174.4186	269.9663	700	302.7273	179.357	422.4231	390.7009	313.242	487.5383	340.7202	327.6492
RRS1|23212	796.5226	357.8379	1031.2642	418.164	637.4966	465.6697	346.0293	487.2414	440.952	518.0679	582.1767	330.7485	601.2448	655.348	187.4419	363.3296	736.858	644.5455	343.4856	558.2019	579.1117	422.4865	541.3205	971.6066	357.2879
RS1|6247	3.7594	0	2.7186	0.3267	1.6409	0	1.5177	0.8401	0.449	2.1497	0.9703	0.6743	0.4149	0.6791	0.4651	0	0.6042	0	0.564	1.2232	0	0.7432	0.4373	2.7701	1.624
RSAD1|55316	799.812	458.9805	789.3068	606.0111	730.2085	813.0216	737.5888	563.2679	509.6542	736.0433	636.9983	440.998	680.9129	558.5739	665.1163	1053.2433	670.6949	665.4545	715.736	649.1289	484.0389	695.9695	573.2401	852.4931	835.9724
RSAD2|91543	58.2707	39.3889	8.609	18.9481	22.9729	127.5717	49.3244	45.7839	135.6084	20.6367	98.97	107.5523	27.8008	29.202	51.1628	123.7345	106.0423	46.3636	152.2843	75.0249	26.0236	39.7591	94.8841	33.241	148.5993
RSBN1L|222194	251.9173	582.2476	292.773	366.3639	347.6244	312.4812	214.1891	300.8212	385.4782	267.5595	206.3913	380.3709	382.8755	407.1307	263.1163	251.796	476.287	288.1909	459.2104	387.6629	564.4691	397.8694	324.4819	173.4418	280.9622
RSBN1|54665	306.391	490.0243	273.6747	370.1405	353.2076	554.9037	398.0096	357.0303	337.225	296.223	326.0189	436.615	336.9295	375.8913	382.7907	321.7098	397.8852	244.5455	495.7699	355.1453	460.0972	554.3975	335.8111	258.3102	382.4604
RSC1A1|6248	56.3252	145.5385	45.9764	105.4002	53.416	162.9745	65.9732	60.4263	42.564	33.6078	71.6756	85.9036	54.2905	64.9474	130.0744	36.7304	161.7583	67.0182	113.7733	120.1541	108.2616	88.8597	59.7726	47.9155	43.6257
RSF1|51773	533.8346	1175.3239	238.7857	1003.9203	335.1575	1017.5989	592.6511	513.2836	573.4172	376.1904	701.0377	1177.3432	329.4606	1022.0713	1255.814	384.7019	760.1208	632.7273	1000.564	702.1357	1270.6454	732.0127	729.3397	389.8892	416.5652
RSL1D1|26156	2207.2368	2026.1903	3683.7336	2257.1055	4005.8909	2883.9131	2961.3582	2686.5484	2216.4347	2071.4117	2821.1311	2815.2394	2375.1037	3340.2377	2160.4651	3465.6918	4596.9789	1734.5455	2680.7671	1995.9083	3583.9695	4730.5859	2864.014	3414.1274	2531.4657
RSL24D1|51187	1809.6805	2032.1987	2939.2841	2025.4819	2737.4613	2255.3086	2414.9961	2331.1982	1836.5514	1490.1438	2653.7553	2662.8456	1924.4813	3142.9542	1297.6744	1948.2565	2444.713	1918.1818	1905.8094	1501.7222	2574.948	3392.526	2526.8911	2846.2604	2417.7832
RSPH10B2|728194	1.4098	0.6676	1.8124	1.6335	1.2307	0.3305	1.8971	2.5202	1.7961	2.1497	0	4.383	1.6598	0.3396	21.3953	2.2497	4.8338	2.7273	2.2561	0.8155	1.0409	1.1147	2.6235	2.0776	4.4661
RSPH1|89765	0.9398	3.338	8.609	1.3068	5.333	8.9234	18.9709	4.6204	3.5923	0	7.2772	8.0917	5.8091	14.2615	0.4651	9.3738	20.8459	0	1.128	1.631	9.0215	16.7211	17.4902	0.6925	8.1202
RSPH3|83861	91.1654	327.7955	75.2152	178.6998	80.405	204.5774	103.5811	113.8297	81.7243	52.0218	71.3166	127.4444	88.7967	121.562	320.4651	45.3693	89.1239	122.7273	255.4992	165.5442	293.5461	215.5164	109.7508	91.4127	72.6756
RSPH4A|345895	1.8797	1.0014	1.8124	0.6534	3.2818	7.9319	3.0353	2.1002	1.3471	1.7197	0.4851	2.3601	2.4896	1.0187	1.3953	4.1245	5.4381	1.8182	3.3841	6.9317	2.7759	1.4863	7.4333	2.7701	1.218
RSPH6A|81492	1.4098	0	0.4531	0	0	0	0.7588	0.42	0.449	0	0	0	0	0.6791	0	1.1249	0.3021	0	0	0	0.694	0.7432	0.8745	1.385	0.812
RSPH9|221421	1.4098	1.0014	0.9062	1.6335	0.4102	1.983	0.7588	2.1002	2.6942	2.1497	2.4257	0.6743	0.4149	2.0374	0	0.375	5.4381	0.9091	1.128	2.4465	1.3879	1.1147	2.1863	1.385	1.624
RSPO1|284654	0	1.0014	0	0	0	19.4993	0	0	0	0	0	0	0	0	0	0	0.3021	0	0	0	0	0	0	0	0
RSPO2|340419	1.4098	0	3.1717	0	1.6409	0	0	1.6801	0	0	0	0	0.8299	1.6978	0	1.8748	0.6042	0	0.564	1.2232	4.1638	8.9179	0.8745	0	0
RSPO3|84870	0.9398	11.3493	491.1645	0.9801	681.8014	408.8243	33.3888	504.8829	144.5891	438.5305	0.4851	2.6972	933.195	755.5178	93.4884	307.8365	474.6224	0	2.8201	711.5138	942.4011	109.9877	1083.9528	590.0277	1.624
RSPO4|343637	1.8797	4.3395	4.531	5.227	3.6921	2.644	7.2089	2.1002	0.449	9.0286	0.9703	4.383	3.7344	3.7351	0	35.9955	1.5106	0.9091	10.7163	2.4465	0	5.2021	10.9314	51.9391	3.6541
RSPRY1|89970	298.8722	714.0067	255.0974	484.4822	416.3829	550.2768	395.7331	450.2783	407.7234	346.0951	246.9399	684.0863	556.4315	480.1358	604.6512	350.2062	475.8308	257.2727	433.7281	459.5278	624.2193	590.4407	320.9445	97.6454	291.9204
RSRC1|51319	67.1992	501.7074	317.1726	347.2721	264.1878	322.5647	284.943	268.4028	229.9057	179.7115	186.7817	316.2508	314.5228	418.6757	261.8605	84.7394	325.3776	278.1818	141.568	244.6466	497.2241	216.6312	267.5995	58.8643	92.164
RSRC2|65117	1156.015	1399.974	1428.1831	1349.8857	1375.9097	1283.6487	1255.4944	1253.8066	1272.564	1368.903	1231.7888	1369.1841	1180.4979	1486.5874	2022.3256	1662.9171	993.6556	1192.7273	1119.5713	1105.3948	1676.6135	2178.574	1334.0621	1184.2105	1103.1263
RSU1|6251	796.5226	351.8294	528.7721	284.5475	391.7692	942.5762	336.9233	530.0851	675.348	559.7713	805.3444	389.7505	427.8008	448.2173	551.1628	383.2021	1131.1178	526.3636	419.0637	668.2929	452.1166	1279.7218	694.3594	479.9169	436.8656
RTBDN|83546	0	0.3338	139.556	0.3267	0	0	0.3794	0.42	0	0	0.4851	0	0	13.5823	0	147.7315	262.5378	0.9091	0	4.0774	10.0625	0.3716	0.4373	0	1.624
RTCD1|8634	504.6992	585.826	567.739	672.9827	435.2535	670.908	468.5813	506.5631	385.7207	509.0393	612.7409	308.8334	432.3651	568.7606	825.1163	363.7045	794.5619	744.5455	551.6074	540.6689	458.3622	432.8908	432.4443	645.4294	483.1506
RTDR1|27156	12.218	12.6846	55.2787	25.4819	20.1012	15.8638	27.3181	20.5817	20.6556	19.7769	19.891	21.5779	50.2075	13.2428	12.093	20.9974	18.7311	20.9091	10.7163	17.9407	7.6336	50.9065	11.8059	105.2632	48.7211
RTEL1|51750	940.1128	245.7932	444.5582	314.8644	481.9294	168.2062	370.3803	389.7259	410.0718	724.9726	332.3744	285.6912	373.332	329.1477	240.8698	403.3183	421.7311	323.0182	279.5939	380.5396	282.2554	707.6817	340.9051	503.9889	512.3467
RTF1|23168	1883.4586	1787.1866	2183.9601	2268.213	2299.7465	1599.9339	1804.5124	2145.1223	1644.8137	2934.2849	1946.4106	2124.7471	2229.8755	1929.3718	1778.1395	1275.2156	2993.3535	1870	1727.0164	1798.5601	2073.907	2082.7063	1617.4027	1545.7064	1715.7937
RTKN2|219790	7.9887	0.6676	9.5152	1.9601	11.0762	11.2369	1.1383	3.7803	28.7382	2.1497	1.9406	15.5091	1.6598	3.3956	6.0465	2.6247	5.4381	2.7273	1.692	7.7471	10.7564	13.7485	17.9274	0.6925	4.0601
RTKN|6242	1923.4023	677.6221	815.1337	993.7929	658.0081	825.9109	742.5212	631.3137	606.6457	1242.933	1136.2148	840.526	770.1245	710.6961	1191.1628	493.4383	534.4411	1038.1818	783.4179	782.869	471.2006	457.0435	810.2317	1867.7285	1543.646
RTL1|388015	0	0	0	0	0	0.3305	0	0	0	0	0	0	0.4149	0	0	0	0	0	0	1.2232	0	0	0	0	0
RTN1|6252	55.9211	68.7636	111.0104	137.8634	58.2526	66.4298	154.4232	63.4254	294.1176	272.5768	440.9988	190.8294	783.8174	249.5756	611.6279	59.9925	51.6616	139.0909	350.8178	130.0704	125.9542	810.0446	228.6839	331.0249	161.9976
RTN2|6253	137.218	20.0282	99.6828	54.2306	41.8434	55.5234	38.7006	38.6433	38.1679	87.7061	53.3662	191.1666	36.9295	34.9745	39.5349	399.7	42.9003	43.6364	21.4326	71.3553	25.6766	57.5949	58.592	27.0083	40.1949
RTN3|10313	7609.0226	6523.8653	4633.4391	7495.9164	3374.1375	3744.1957	4227.4763	5045.4689	4409.0705	4506.5457	6954.5854	7485.5024	2123.6515	6240.4075	3562.7907	5867.2666	5084.8943	4725.4545	3974.0553	5086.61	5772.3803	3921.2845	4300.8308	7367.036	5568.0065
RTN4IP1|84816	196.4286	154.2174	461.2596	215.6158	223.1648	187.3916	274.6987	194.0565	235.7432	192.1795	259.5538	162.5084	206.2241	255.6876	233.9535	246.3442	209.6677	290.9091	197.4055	121.5078	247.0507	241.8986	224.7486	274.2382	247.2594
RTN4RL1|146760	12.688	0.6676	13.5931	2.6135	10.2557	72.7092	24.2828	13.8612	10.7768	3.8694	41.7227	3.0344	4.5643	9.8472	2.3256	97.8628	3.6254	32.7273	4.5121	20.3872	14.2262	189.1343	25.3607	18.0055	5.6841
RTN4RL2|349667	144.2669	2.6704	234.7077	10.1274	47.9968	75.6837	792.225	63.4254	22.9008	12.898	125.168	19.555	53.9419	619.3548	10.2326	4.1245	68.2779	288.1818	12.9724	17.9407	13.5323	9.2895	46.3489	15.2355	13.8043
RTN4R|65078	330.3571	17.024	144.9932	70.8919	57.0219	60.4809	193.8826	125.5907	57.0274	207.2272	108.1878	200.2697	97.9253	52.9711	111.6279	211.0986	350.7553	126.3636	100.3948	151.2731	120.0555	54.2507	148.6664	241.6898	411.6931
RTN4|57142	7870.7707	10291.1772	4386.4975	6249.2649	4783.2758	20596.8768	5231.796	10369.0014	8853.6147	6553.0213	6941.4864	4756.5745	6780.4979	8677.4194	16229.3023	26925.0094	4551.6616	9904.5455	10392.555	5545.7301	4322.3456	7862.2627	4073.4587	17941.8283	9753.5526
RTP1|132112	0	2.3366	0.9062	3.2669	0	0.661	0.3794	0	0.449	0	0	2.0229	2.4896	0.6791	1.3953	0	0.3021	0.9091	2.2561	0.8155	1.7349	0.3716	0.4373	0	0
RTP2|344892	4.2293	124.1751	62.5283	59.7844	15.5887	23.1348	10.2443	37.3832	91.154	24.5061	0	27.6467	98.7552	13.2428	31.1628	2.9996	1.8127	6.3636	35.533	68.0933	97.8487	2.2295	32.7941	11.0803	6.4961
RTP3|83597	0.4699	0	0	0.3267	0.4102	0	0	0	2.6942	0	0	0	0	0.3396	0	0	0	0	0	0.8155	0	0.7432	0.4373	2.7701	0
RTP4|64108	52.1617	680.9602	211.5995	99.9673	402.0249	433.6115	520.5616	227.6594	1220.0269	178.8517	16.9802	421.443	285.8921	27.1647	283.2558	83.2396	111.1782	138.1818	315.8488	479.0995	373.0049	60.5676	613.9047	139.1967	150.2233
RTTN|25914	78.0075	120.5032	50.2945	149.6243	88.6096	115.3433	125.9668	108.3692	107.7683	98.8843	130.0195	177.3432	109.1286	135.1443	59.5349	122.6097	307.855	90	126.3395	107.2367	194.6565	222.5765	132.0507	93.4903	62.5254
RUFY1|80230	632.0489	957.0161	1158.1332	553.4139	1352.5266	1008.345	1050.2293	778.7462	1152.6718	813.0011	667.0774	487.8624	779.2531	902.2071	980	1061.8673	881.8731	410	1107.727	986.3334	1095.4198	1511.5877	1031.9195	768.6981	978.8875
RUFY2|55680	286.1889	241.3403	117.807	177.0663	135.3757	336.776	170.7381	153.313	173.7764	113.0764	240.633	202.2927	165.5602	209.1681	255.3488	282.7147	130.5136	264.5455	245.3469	137.0021	272.7307	541.3922	141.2331	132.964	189.6062
RUFY3|22902	1148.9662	901.9384	2445.8541	962.7573	1792.7028	1039.4117	2062.1373	1455.4237	1240.2335	774.7372	874.2353	1192.178	1655.1867	1198.6418	1777.6744	1337.4578	931.4199	1190	1743.3728	1754.1159	2176.6135	1600.3954	1641.0144	1549.169	989.4438
RUFY4|285180	0.4699	0	0.4531	0	0	0.661	0	0.42	1.7961	0	0	1.0115	0	0	0	0.7499	2.719	1.8182	1.128	2.4465	0	0.7432	3.0608	1.385	2.4361
RUNDC1|146923	475.5639	449.634	541.459	350.8657	479.5583	626.291	417.7393	409.9548	395.5995	515.9182	396.3653	365.1382	565.9751	421.3922	306.9767	401.1999	464.3505	447.2727	372.2504	477.0608	422.2762	345.5695	386.5326	348.338	535.9318
RUNDC2A|84127	53.1015	267.377	86.5428	287.1611	61.9447	151.3674	161.2527	150.3728	106.8702	59.3306	84.9008	138.2333	125.3112	221.7317	121.8605	122.6097	95.1662	74.5455	117.8793	144.7492	260.5829	125.5941	84.39	42.2438	82.0138
RUNDC2C|440352	61.2735	49.5232	46.1214	108.6769	22.0868	28.6574	39.873	27.5333	13.0355	33.1692	64.0249	19.2178	27.6183	38.7097	19.0698	15.943	36.5529	34.4909	59.7124	41.4676	41.7939	72.4841	33.0564	91.6274	63.1303
RUNDC3A|10900	185.1504	142.2005	494.3362	136.5567	385.2055	276.2951	140.3847	160.8737	75.8868	347.3849	90.2374	197.9096	144.8133	197.2835	126.5116	1785.5268	17.8248	124.5455	14.6644	248.724	84.6634	164.9816	187.1447	211.9114	124.6447
RUNDC3B|154661	1.4098	1.669	46.2166	6.2071	11.8967	33.3802	4.9324	15.9614	5.8374	9.4585	7.7624	0.6743	15.3527	11.545	1.8605	1.1249	0.6042	2.7273	9.0243	24.0569	6.9396	30.098	36.2921	7.6177	21.9245
RUNX1T1|862	118.4211	5.6747	50.7476	2.2868	32.4081	43.956	1.8971	8.8207	44.4544	5.5891	19.4059	4.0459	125.7261	7.1307	10.2326	0.7499	18.429	7.2727	11.2803	28.9498	140.8744	125.2225	45.9117	4.1551	2.4361
RUNX1|861	187.0301	579.1499	410.512	90.4933	431.5614	1280.3437	200.3327	336.4486	1286.4841	770.008	211.5242	1294.3358	375.5187	301.1885	545.5814	929.8838	823.565	600.9091	133.6717	766.5593	1005.5517	620.5387	1032.7941	166.8975	368.2501
RUNX2|860	18.797	13.3522	12.2338	9.474	57.0219	59.1589	14.7973	72.2461	28.2892	2.5796	16.0099	29.3324	2.9046	13.5823	33.9535	66.7417	53.4743	8.1818	141.0039	48.1138	12.4913	34.9285	28.4215	12.4654	40.1949
RUNX3|864	41.8233	31.0438	19.9366	20.9082	31.5877	419.7306	49.7038	43.6837	169.286	4.2993	59.188	78.557	13.6929	23.09	260.9302	29.9963	105.7402	50	124.0835	218.9587	13.5323	50.5349	159.1605	87.9501	136.419
RUSC1|23623	1155.5451	301.7588	424.5582	508.0039	223.9853	253.1604	371.4503	326.3677	305.7925	641.0284	885.8788	378.9616	315.7676	334.8048	342.3256	493.0634	609.3656	590.9091	395.9391	401.0532	232.8244	598.2439	450.3717	538.428	555.4202
RUSC2|9853	1169.1729	417.5888	1008.1559	671.6759	631.7534	971.3294	803.2281	870.314	457.1172	539.5645	954.2846	1018.8806	813.278	767.0628	426.0465	1905.8868	980.0604	1347.2727	849.4078	886.4361	607.2172	389.7875	837.3415	1129.5014	1338.2054
RUVBL1|8607	436.485	719.835	1170.9062	964.8187	1131.3637	702.4705	1241.6305	900.8296	742.4787	1000.4987	817.1965	1109.3661	1241.2946	1174.2784	390.8651	456.333	1576.9456	927.0091	512.9047	659.5753	1107.0784	670.8172	920.0787	495.374	374.795
RUVBL2|10856	3142.8571	1057.1573	3317.6257	1590.6566	2379.331	960.7535	1823.1039	1594.4555	1828.9178	2429.115	2123.4894	1360.0809	1899.5851	1623.4295	493.0233	2391.826	1956.1934	1383.6364	1116.7513	1456.0548	1356.3498	1513.4456	1858.3297	2962.6039	2155.0954
RWDD1|51389	648.9662	591.8345	837.3357	682.13	579.6543	610.7577	576.7155	698.5194	528.9627	518.9277	833.4829	485.1652	572.1992	862.8183	888.8372	757.0304	755.287	694.5455	666.6667	517.4275	614.5038	938.9828	558.8107	914.1274	552.5782
RWDD2A|112611	52.1617	92.7975	101.0421	67.9516	78.3538	65.7688	40.2183	55.8647	34.5757	52.4517	40.7524	71.1396	70.1245	71.6469	63.2558	32.9959	75.2266	40	57.5296	64.4236	136.0167	91.7803	40.6646	48.4765	62.9314
RWDD2B|10069	195.9586	184.5936	220.2084	160.0784	113.2233	349.3349	366.1385	185.2357	370.9026	192.6095	335.7219	425.826	196.6805	320.2037	305.5814	151.856	233.5347	388.1818	222.7862	125.1775	337.2658	476.3656	329.6895	294.3213	163.2156
RWDD3|25950	133.4586	140.0375	114.4449	96.7952	144.811	128.5499	83.3999	119.4246	132.0566	140.9747	107.8725	131.8645	101.2863	108.0509	113.0186	149.8238	163.6133	112.7727	291.5567	114.1806	119.6565	136.7675	135.0765	209.1413	117.3366
RWDD4A|201965	1385.8083	801.4634	987.7662	1163.672	1093.6718	865.24	866.2115	1197.9418	1216.4347	1639.3302	1639.3124	1002.6972	1197.0954	1041.4261	1861.3953	1386.5767	708.4592	1415.4545	959.9549	808.9647	1258.1541	1260.028	777.0004	1140.5817	960.2111
RXFP1|59350	12.218	11.0155	2.7186	8.8206	0.8205	13.5504	4.1736	3.7803	13.471	2.5796	2.4257	4.0459	4.5643	11.545	3.2558	0.375	14.5015	20	17.4845	3.262	9.3685	7.4316	4.8098	3.4626	10.1502
RXFP2|122042	0.4699	0	0	0	0	7.2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RXFP3|51289	0	0	0.9062	0	0	0	0	2.1002	0.449	0.8599	0	0	0.4149	0.3396	0	0.7499	0.6042	0	0	0	2.4289	0	0	0	0
RXFP4|339403	1.4098	0.6676	0	2.2868	1.2307	0	0.7588	0	0.449	4.7293	1.9406	1.6858	1.6598	1.6978	3.2558	0	0.6042	0	0	0	0	1.8579	1.3118	2.7701	3.2481
RXRA|6256	2039.4737	1441.3657	2681.9212	1385.1682	3045.1334	1290.5891	2638.8528	2504.6729	1769.1962	2175.8851	1125.5415	2305.4619	2142.3237	1535.1443	916.7442	3236.5954	1461.3293	1094.5455	1949.2386	2623.8345	1806.0375	1355.5241	2004.3725	2315.7895	2260.2517
RXRB|6257	842.5752	575.8119	907.5668	978.1117	904.1458	608.4442	1014.1845	788.407	771.8904	1025.8174	761.6811	850.6406	799.5851	790.1528	633.0233	906.6367	818.7311	669.0909	688.6633	857.894	694.3095	777.3455	899.4316	682.8255	983.7596
RXRG|6258	4.6992	0.3338	46.6697	9.1473	10.2557	21.4823	1.8971	11.761	2.2452	1.7197	16.0099	2.0229	0.4149	27.8438	43.2558	48.7439	1.2085	7.2727	0	1.2232	0.694	0	0	15.928	20.3004
RYBP|23429	572.3684	1514.8025	1243.7698	1161.3852	1371.8074	1714.2857	1357.1785	1415.1003	1402.335	1065.3711	1042.5814	2000.6743	1244.3983	1277.7589	1223.2558	668.9164	1555.287	901.8182	1029.3288	1512.7313	1607.5642	1061.9758	1415.3913	673.8227	855.8668
