TCGA-KL-8323-01A-21R-2315-07	TCGA-KL-8326-01A-11R-2315-07	TCGA-KL-8334-01A-11R-2315-07	TCGA-KL-8335-01A-11R-2315-07	TCGA-KL-8338-01A-11R-2315-07	TCGA-KL-8343-01A-11R-2315-07	TCGA-KL-8344-01A-11R-2315-07	TCGA-KL-8345-01A-11R-2315-07	TCGA-KM-8440-01A-11R-2315-07	TCGA-KN-8429-01A-11R-2315-07	TCGA-KN-8433-01A-11R-2315-07	TCGA-KO-8405-01A-11R-2315-07	TCGA-KO-8408-01A-11R-2315-07	TCGA-KO-8416-01A-11R-2315-07
ABCC6|368	4.7866	76.6284	14.9977	73.8437	22.5564	149.0705	53.1151	3.4884	14.4459	15.5268	160.6557	131.061	32.5855	20.5182
ABCC8|6833	12.3654	2.4719	4.7554	0.4013	5.6391	2.1045	1.7227	10.8527	1.1405	17.3752	1.9672	2.8805	3.7393	0.5261
ABCC9|10060	73.7934	83.0552	49.7485	127.6211	24.4361	257.4535	287.1088	194.186	128.4927	223.6599	87.8689	96.4954	131.9444	68.9202
ABCD1|215	408.4563	585.8361	853.7723	640.915	821.4286	403.3672	324.433	438.7597	455.4267	336.414	1772.459	798.3677	699.2521	495.0677
ABCD2|225	9.1743	4.9438	33.6534	46.1523	5.6391	20.3437	5.7422	13.5659	134.195	27.7264	2.623	2.8805	29.9145	9.4699
ABCD3|5825	1631.432	653.5657	1592.684	1044.246	946.4286	985.9698	728.6822	1121.3178	1303.5545	849.1682	1004.5902	893.903	1022.4359	876.4961
ABCD4|5826	564.4196	694.5989	635.7567	566.2687	878.7594	521.9221	406.5461	763.9535	637.9015	523.8447	1060.3279	883.8214	731.3034	648.1652
ABCE1|6059	1117.6705	759.8566	1082.0302	807.4646	533.3647	1200.9821	1146.1384	991.8605	1009.694	1264.695	492.459	1099.3759	751.0684	715.507
ABCF1|23	1187.4751	1423.3099	1253.2236	900.9732	1096.3346	1697.2992	1447.3155	1005.0388	856.4912	929.39	824.2623	1074.892	766.5598	960.1473
ABCF2|10061	3109.294	1444.568	2113.5802	1553.1253	2146.1466	2189.758	1527.9931	1809.6899	1789.3937	1529.39	1591.4754	1308.6894	2445.5128	1889.2542
ABCF3|55324	1482.6486	1528.612	2003.4751	1762.2153	2268.797	1573.483	1130.6345	1591.0853	1527.4663	1551.5712	954.0984	1313.4902	1948.7179	1725.6346
ABCG1|9619	4661.7471	1619.0829	3271.6964	4052.9748	4758.9286	1052.2624	1448.7511	5239.1473	5306.5957	1998.5213	4150.1639	1829.0927	2025.641	2884.1247
ABCG2|9429	29.5174	176.4924	125.4687	31.3033	40.4135	232.55	234.855	155.814	208.7056	55.8226	51.8033	228.5166	90.2778	98.9083
ABCG4|64137	15.9553	13.3482	45.3589	11.2371	39.4737	3.5075	29.5722	5.0388	21.2887	14.7874	184.918	50.8881	118.0556	32.6187
ABCG5|64240	0	0	0.7316	0	2.3496	0.3508	0.5742	0	0	0	8.5246	3.3605	1.0684	0
ABCG8|64241	0	0.4944	0.3658	0	0	0.3508	0.2871	0	0	0	88.5246	3.8406	0.5342	0
ABHD10|55347	2939.3698	2541.5894	1655.2355	3865.155	1993.4211	1878.2883	2040.4823	2679.845	3002.8512	2040.6654	2749.5082	1478.6366	2929.4872	2073.3921
ABHD11|83451	1580.7738	2766.5307	2209.4193	1590.0472	2439.8496	1376.7099	771.7485	1473.2558	1521.0036	1292.0518	2243.2787	3379.7408	3308.2265	1929.2385
ABHD12B|145447	0	0	0	0	0	0.7015	0.2871	0	0	0	0	0.4801	0	0.5261
ABHD12|26090	3374.9501	2017.056	4069.5016	1732.116	4382.9887	1959.6633	995.1192	2332.1705	2195.4001	2912.0148	4780.3279	3726.3562	5041.6667	3888.4651
