TCGA-KL-8323-01A-21R-2315-07	TCGA-KL-8326-01A-11R-2315-07	TCGA-KL-8334-01A-11R-2315-07	TCGA-KL-8335-01A-11R-2315-07	TCGA-KL-8338-01A-11R-2315-07	TCGA-KL-8343-01A-11R-2315-07	TCGA-KL-8344-01A-11R-2315-07	TCGA-KL-8345-01A-11R-2315-07	TCGA-KM-8440-01A-11R-2315-07	TCGA-KN-8429-01A-11R-2315-07	TCGA-KN-8433-01A-11R-2315-07	TCGA-KO-8405-01A-11R-2315-07	TCGA-KO-8408-01A-11R-2315-07	TCGA-KO-8416-01A-11R-2315-07
SELM|140606	2540.0878	2140.1557	2757.7503	2584.9303	2630.1692	2276.0435	789.8363	2739.1473	815.4343	2386.3216	1721.3115	1216.9947	3624.4658	3871.6296
SELO|83642	877.144	455.8151	780.6127	636.9018	724.6241	479.1301	426.0695	581.3953	436.0388	486.1368	1234.0984	668.2669	923.6111	864.3956
SELPLG|6404	78.58	33.1232	212.1628	98.3245	146.6165	151.175	159.6325	76.3566	89.3366	250.2773	426.2295	940.4705	113.2479	233.0659
SELP|6403	45.8716	45.4826	82.3045	8.8291	50.7519	45.598	219.3511	26.7442	63.486	43.9926	90.4918	373.0197	66.7735	137.8403
SELS|55829	1281.2126	555.1848	1139.0947	1523.026	1384.3985	1111.8906	1113.6951	1038.7597	1200.1521	1548.9834	2239.3443	1872.2996	1657.5855	1255.294
SELT|51714	3550.0598	2805.0921	3115.8665	3997.5921	3579.8872	3790.9505	2869.9397	3963.9535	4473.6742	4044.732	1725.9016	2819.9712	3334.9359	3748.5203
SELV|348303	0	0	0.3658	0	0	0	0	0	0	0	0	0	0	0
SEMA3A|10371	146.789	0	35.4824	0.8026	1.4098	2.806	18.0879	10.4651	2.6611	30.6839	5.9016	17.7628	14.9573	1.5783
SEMA3B|7869	811.7272	1413.4223	543.5757	565.8674	1065.3195	800.0702	469.4229	1602.3256	956.4722	578.9279	2565.9016	496.8795	1436.9658	2934.6311
SEMA3C|10512	5278.8193	3990.1125	3857.7046	9621.3505	2518.3271	14596.6328	11657.7663	5594.186	10143.3188	12639.5564	2315.4098	7224.6759	3650.641	4887.0183
SEMA3D|223117	30.3151	0.9888	57.7961	0.8026	14.0977	5.9628	23.5429	47.2868	17.4872	18.1146	6.5574	22.0835	16.5598	9.4699
SEMA3E|9723	0	0	3.658	0.4013	8.9286	0	0	1.5504	0	2.2181	3.9344	2.8805	3.2051	2.1044
SEMA3F|6405	7083.3666	1370.4116	5251.7604	3829.4371	5627.3496	958.9618	3494.9756	9292.2481	3307.7362	2663.2163	2657.0492	2698.0317	5117.5214	4680.7839
SEMA3G|56920	254.0886	282.289	562.2314	135.2463	261.7481	556.296	577.3758	389.5349	317.4301	227.3567	729.1803	473.3557	1008.547	584.5061
SEMA4A|64218	52.6526	19.7751	406.0357	180.9973	450.6579	37.8814	67.7577	58.1395	132.6744	218.1146	504.918	628.9006	192.8419	204.1299
SEMA4B|10509	1988.4324	1256.705	1615.3635	1658.6736	2232.1429	688.8811	1224.8062	2361.6279	1002.0909	1393.3457	2830.8197	2422.9477	2423.0769	1616.2041
SEMA4C|54910	278.4204	193.7956	251.3032	277.3151	250.9398	417.7482	1034.1659	208.9147	278.6542	213.3087	462.9508	498.3197	361.6453	339.8658
SEMA4D|10507	1809.3339	767.2723	1349.4284	791.813	1568.609	354.2617	1111.1111	1803.876	651.9673	614.7874	776.3934	557.8493	314.6368	1325.2663
SEMA4F|10505	327.0842	393.0293	273.251	105.9496	297.4624	438.4427	289.4057	261.6279	181.7145	139.0018	407.2131	178.5886	410.7906	209.9171
SEMA4G|57715	54.3837	310.6167	27.1934	111.0465	170.4088	209.0214	194.6741	46.5388	103.8776	46.8244	239.8426	77.5468	487.484	99.4397
SEMA5A|9037	353.4105	419.7256	737.4486	211.8993	1438.4398	1623.9916	841.2288	2156.5891	164.2273	159.7043	206.5574	115.6985	203.5256	663.4223
SEMA5B|54437	42.6805	70.6958	47.9195	42.9417	38.5338	184.4967	236.2906	130.2326	60.0646	59.1497	122.623	67.6908	215.812	128.8965
SEMA6A|57556	708.8153	216.5369	725.743	220.7284	468.515	940.7226	351.7083	191.8605	270.2908	497.9667	156.0656	222.7556	625	225.1743
SEMA6B|10501	1955.3251	164.133	3425.3315	151.7006	4766.9173	79.9719	724.6626	146.8992	2655.3887	323.475	605.2459	3397.0235	4620.1923	289.3595
SEMA6C|10500	29.9162	521.0728	107.9104	85.8834	81.297	246.2294	162.5036	40.6977	130.7736	51.3863	225.5738	76.8123	142.094	54.1891
SEMA6D|80031	510.9693	121.6166	99.8628	550.2157	325.6579	597.3343	539.4775	220.5426	648.5459	299.0758	147.541	84.9736	324.2521	547.6785
SEMA7A|8482	284.8026	10.8763	117.7869	96.7192	101.0338	8.4181	206.1441	786.4341	8.7436	65.0647	674.7541	1349.976	152.7778	58.9241
SEMG1|6406	1.9944	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMG2|6407	0.3989	0	0.3658	0	0	0	0	0	0	0	0	0	0	0
SENP1|29843	364.9781	185.8856	381.5272	289.7562	280.5451	277.7973	368.3606	370.155	368.371	493.5305	165.9016	245.3193	238.2479	294.0944
SENP2|59343	1139.2102	1022.3705	1128.8523	963.9811	1077.5376	1274.6405	851.2776	1117.4419	1310.3973	1286.1368	422.2951	503.6006	929.4872	1161.6467
SENP3|26168	713.7296	1272.6338	700.6164	654.9975	746.5789	904.2266	950.824	654.1628	681.494	620.0961	742.7082	671.1714	873.3494	705.3111
SENP5|205564	838.4523	601.1618	904.6182	1026.1864	980.7331	797.2641	580.534	867.4419	1028.3216	1105.7301	476.7213	726.8363	1105.7692	796.0016
SENP6|26054	1063.8213	1079.2238	1156.2872	1159.4261	647.5564	2561.5573	2692.5065	1120.155	1056.8333	1783.3641	593.4426	993.2789	637.2863	965.4084
SENP7|57337	421.6195	254.1095	417.0096	390.8899	236.8421	394.2476	518.5185	365.1163	445.9228	536.7837	238.0328	213.1541	372.3291	384.585
SENP8|123228	130.4348	66.7408	125.8345	87.0874	107.6128	61.7327	98.7654	98.4496	95.7993	122.366	70.1639	81.133	57.1581	97.33
SEP15|9403	2040.2872	1364.4791	2361.2254	2390.288	1527.7256	1783.234	2295.7221	1988.3721	1958.563	2194.8244	1182.2951	2694.1911	1714.7436	2084.4404
SEPHS1|22929	1065.4168	1913.7313	1072.5194	1202.3678	975.094	829.1827	1128.3376	1327.5194	845.0865	710.1664	2142.9508	807.4892	817.3077	884.3877
SEPHS2|22928	2364.1803	4289.7046	3165.615	3202.1672	2678.5714	1752.0168	2174.8493	2964.3411	2494.2026	2120.8872	4412.459	2792.1267	1138.8889	2487.4392
SEPN1|57190	3631.8309	2554.4432	3491.5409	3148.3897	4789.0038	3046.2995	2733.2759	5804.2636	3881.7715	3184.8429	7337.0492	4151.2242	5315.1709	2590.5564
SEPP1|6414	16421.4838	6577.7234	21339.808	31131.0605	15521.3064	11153.1182	8566.8418	17713.2171	8225.2576	8229.2902	6746.341	9831.9395	6484.2842	9082.9672
SEPSECS|51091	207.0203	201.7056	357.3845	296.1774	144.7368	183.7952	367.4993	370.5426	244.4402	380.037	171.1475	218.4349	125	228.3309
SEPT10|151011	1384.5233	770.2385	507.7275	922.6447	562.0301	1030.8664	1740.4536	1318.2171	1609.9601	1887.2458	1013.7705	1348.5358	936.9658	879.6528
SEPT11|55752	7080.9733	2760.5982	4936.0768	5113.6751	3867.9511	4869.5195	3643.4109	6044.5736	3923.2085	4773.3826	2377.0492	2414.3063	2426.2821	4349.8619
SEPT12|124404	0	0	0	0	0	0	0	0.3876	0.3802	0	0.6557	0	0	0
SEPT14|346288	0	0	0	0.8026	0	0	0	0.3876	0	0	0	0	0	0
SEPT1|1731	53.8492	57.3477	71.6964	88.6927	101.9737	18.9407	26.414	38.3721	39.5362	78.7431	203.9344	183.3893	49.1453	85.2295
SEPT2|4735	3402.0742	4615.9931	3884.7737	3632.3869	3375.4699	5826.7275	8308.9291	4122.8682	3281.1253	3649.5379	3091.1475	4934.7096	2802.3504	3848.4809
SEPT3|55964	94.1364	71.6846	122.1765	147.286	106.6729	87.3378	11.4844	113.5659	89.3366	21.4418	453.7705	46.5675	107.3718	22.6226
SEPT4|5414	99.3219	494.3765	167.9012	250.4264	261.7481	367.9411	585.4149	160.8527	70.3288	174.4917	582.9508	260.6817	287.3932	228.3309
SEPT5|5413	100.5185	55.3702	117.0553	146.0821	176.2218	69.8001	346.8274	109.3023	27.7514	90.2033	146.2295	68.1709	174.6795	65.7635
SEPT6|23157	1589.9481	1750.0927	920.7133	1931.5742	1691.2594	1639.7755	1172.2653	2886.0465	2500.6653	1979.6673	2806.5574	1622.6596	2799.6795	2462.7121
SEPT7L|285961	0.3989	0	0.7316	0	0	0.7015	1.4355	0.3876	0.3802	0	0	0	0.5342	0
SEPT7P2|641977	130.8337	130.5154	156.1957	133.641	117.4812	216.4153	177.4332	117.0543	116.3277	255.8226	110.8197	94.0951	128.2051	98.3822
SEPT7|989	1994.0168	1508.3426	2052.492	1730.912	1702.5376	2461.2417	3019.2363	1675.5814	1664.3224	1795.1941	1832.7869	2350.9361	1725.4274	1975.0099
SEPT8|23176	890.6143	1381.3719	847.0306	1624.9744	1247.8806	1323.3953	1545.2024	722.3295	1362.0757	1370.8799	1263.0295	885.2712	1353.8408	726.9025
SEPT9|10801	5912.6446	11126.4368	7402.2862	7481.0876	7149.4361	9413.1884	6976.4571	6302.7132	6270.671	6087.6155	5860.3279	5561.6899	7160.7906	6257.5299
SEPW1|6415	4023.5341	4045.977	4911.2026	3861.1418	8406.015	2120.6594	2597.4734	7550.3876	3971.8685	2549.7227	3490.4918	3705.7129	5028.312	4267.789
SEPX1|51734	446.7491	448.8938	520.5304	422.1932	686.5602	233.2515	438.1281	332.9457	359.6274	324.2144	880	624.0999	473.2906	632.9081
SERAC1|84947	115.2772	107.2797	83.0361	43.7444	46.0526	205.5419	219.9254	53.1008	57.7837	72.0887	158.6885	135.3817	89.2094	77.864
SERBP1|26135	2603.5102	1730.812	3132.6932	2138.6576	2108.0827	2119.6072	2627.3328	3531.0078	2246.341	2855.4529	1466.2295	2747.9597	1785.2564	2491.1219
SERF1A|8293	489.8285	517.1178	248.011	123.6079	148.4962	453.8758	590.0086	257.7519	154.7234	153.4196	207.8689	296.6875	458.8675	327.2392
SERF2|10169	11237.9218	16909.628	10169.5071	13036.8496	16354.1259	10200.1684	9053.0548	10139.9535	8677.3199	10332.7098	24809.3049	19344.8344	26694.7276	14599.8685
SERGEF|26297	299.5612	576.9373	396.8907	286.5456	1159.7744	1365.135	530.29	339.5349	605.5883	475.7856	830.1639	883.3413	1005.8761	585.0322
SERHL2|253190	133.0475	681.1816	40.3475	112.1983	90.9258	397.1273	166.213	205.907	65.6529	88.6248	1959.3049	318.6606	261.5171	160.4314
SERHL|94009	198.2449	334.1985	155.0983	213.1032	209.1165	188.0042	171.6911	297.2868	297.2819	89.8336	915.4098	236.6779	196.047	198.8689
SERINC1|57515	5320.3032	4840.9344	5033.0133	4665.3958	2855.7331	11372.5009	15052.828	6650	4625.7366	6124.2144	2163.9344	3719.1551	2738.7821	4399.3161
SERINC2|347735	3159.5533	3254.4803	4486.1454	3353.0651	5924.3421	1346.8958	1616.7097	2498.062	5463.9802	3502.403	2015.082	7435.4297	2665.0641	2663.1593
SERINC3|10955	2491.424	766.2835	2069.3187	985.6527	1191.2594	1715.5384	3045.3632	2728.6822	1982.893	2421.0721	1104.2623	1142.5828	1040.0641	1788.7676
SERINC4|619189	4.4276	1.9627	4.0567	12.9226	7.735	0.712	1.7801	2.3915	3.1363	8.6211	14.8	8.2621	4.3269	3.7091
SERINC5|256987	581.5716	17.3032	411.5226	52.9748	163.5338	316.3802	207.0055	126.3566	158.1448	91.6821	28.1967	35.0456	28.312	86.8078
SERP1|27230	3922.5808	2457.3427	5495.0014	4948.0847	3803.4258	3027.5868	2515.1105	4084.9264	4012.222	4527.6155	2175.7377	3100.0768	2898.8248	4004.0089
SERP2|387923	6.781	13.3482	6.9502	2.4079	15.5075	10.8734	27.8496	10.4651	3.4214	6.2847	1.9672	2.4004	12.8205	25.2532
SERPINA10|51156	1.1966	0	2.5606	2.4079	0	0	0	0	0.3802	2.5878	0	0.4801	0.5342	1.0522
SERPINA11|256394	0	0	0	0	0	0	0	0	0	0	0	0.4801	0	0
SERPINA12|145264	0	0	0.3658	0	0	0	0	0	0	0	0	0	0	0
SERPINA13|388007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA1|5265	1036.6972	31.6401	632.4646	240.7946	461.4662	132.2343	157.9098	73.6434	275.9932	824.0296	761.9672	1639.4623	1003.7393	561.3574
SERPINA3|12	92.5409	3.955	70.599	411.3575	410.2444	17.187	57.4218	13.9535	14.8261	28.8355	72.1311	612.0979	335.4701	39.9842
SERPINA4|5267	0.3989	4.9438	0	0	85.5263	5.2613	0.2871	0	1.1405	0.7394	0	1.4402	0	0
SERPINA5|5104	21.9386	419.2312	474.4399	134.4437	2333.1767	3203.4374	5.4551	84.1085	8842.0452	16.2662	31241.9672	1112.8181	8598.8248	2800.4735
SERPINA6|866	19.9442	0.4944	1.4632	1.6053	5.6391	1.7538	0.8613	0.3876	8.3634	5.1756	0	1.9203	0.5342	5.2611
SERPINA7|6906	0	0	0	0	0.4699	0	0	0	0	0	0	0	0	0
SERPINA9|327657	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB10|5273	0.3989	0	0	0	0.4699	0	0	0	0	0	7.8689	0	1.0684	0
SERPINB11|89778	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB12|89777	0.7978	0	1.0974	0	0	0	0	0	0	0.3697	0	0.4801	2.1368	0
SERPINB13|5275	0	0	0	0	0	0	0	0	0	0	0	0	0.5342	0
SERPINB1|1992	1688.4723	2002.7191	1502.332	786.9971	1135.3383	1305.8576	2113.6951	787.9845	478.6162	1062.1072	1005.9016	1461.8339	959.4017	1399.9737
SERPINB2|5055	0.7978	0	0	0	0.4699	0	0	0.3876	0	0	0	0.4801	0	1.0522
SERPINB3|6317	1.1966	0	0	0	3.2895	0	0	0.3876	0	0	0	0	0.5342	2.1044
SERPINB4|6318	8.7754	0	8.7791	0	5.1692	0	0	1.1628	0	0	0	6.241	0	9.4699
SERPINB5|5268	0	0	0	0	0	0	0	0	0	0	0	0.4801	0	0
SERPINB6|5269	1776.6254	3044.3703	1615.7293	1978.9305	2201.1278	1968.7829	2386.4485	1427.1318	1414.1798	1720.5176	2796.0656	2713.3941	2242.5214	1797.7114
SERPINB7|8710	3.9888	0	2.9264	0	2.3496	0	0	0	0	0	0	3.8406	0.5342	0.5261
SERPINB8|5271	67.0124	19.7751	77.5492	18.8622	39.9436	30.5156	172.8395	30.2326	17.4872	31.793	55.082	339.4143	63.0342	53.1369
SERPINB9|5272	453.929	52.4039	171.925	175.7801	105.2632	162.3992	204.1344	54.6512	86.2954	108.6876	317.377	435.9097	681.0897	67.8679
SERPINC1|462	1.5955	0.4944	1.0974	0.4013	4.6992	0.7015	0.5742	1.938	1.1405	1.4787	0	12.9621	1.0684	0.5261
SERPIND1|3053	1.1966	0.9888	0.7316	1.204	0.9398	0.3508	0.2871	0.3876	0.7603	0.3697	0	0.9602	0	0.5261
SERPINE1|5054	1149.5812	615.4987	662.0942	223.1363	324.718	138.1971	1328.7396	101.1628	24.33	396.3031	214.4262	1827.6524	596.688	499.2766
SERPINE2|5270	600.3191	63.2802	470.7819	172.9708	523.0263	175.0263	657.7663	39.5349	20.1483	32.5323	252.459	296.2074	646.9017	190.9772
SERPINE3|647174	0.3989	0	0	0	1.1889	0.3508	0	0	0.3802	0	0	0	0	0
SERPINF1|5176	64.6191	17.7976	54.1381	153.3059	109.0226	78.5689	75.7967	44.9612	63.1059	54.7135	573.7705	1636.5819	459.4017	289.3595
SERPINF2|5345	4.3877	2579.162	7.6818	6.8225	188.9098	387.2325	2687.9127	10.0775	25.4704	12.5693	35.4098	61.9299	9.6154	15.2571
SERPING1|710	337.0562	7637.1277	1632.556	1249.7241	2264.5677	2777.2711	16911.2834	432.9457	474.0544	1295.0092	1567.8689	3317.3308	1669.8718	1516.2436
SERPINH1|871	2747.507	911.6302	2081.0242	2235.7781	3441.2594	1270.4314	4698.2486	1905.0388	1077.3617	1458.4104	2641.3115	5246.7595	2159.7222	2585.2953
SERPINI1|5274	4094.5353	342.6029	2847.3708	2494.6323	2821.4286	2376.3592	553.5458	1999.2248	3517.2021	1455.4529	1007.2131	1369.6591	3800.2137	1200.0526
SERPINI2|5276	0.7978	0	0	0.8026	0	0	0	0	0	0	0	0	0.5342	2.6305
SERTAD1|29950	432.3893	245.7051	274.3484	264.0714	615.1316	184.4967	207.5797	234.8837	212.8873	203.3272	419.0164	1309.6495	457.265	275.6807
SERTAD2|9792	508.576	147.3242	339.8262	300.1906	220.8647	551.0347	419.7531	234.8837	347.0823	258.78	243.2787	422.9477	475.4274	263.0541
SERTAD3|29946	787.3953	589.2967	769.273	576.7031	1455.3571	205.5419	300.6029	394.9612	808.9717	679.1128	878.6885	1150.264	1042.2009	805.9976
SERTAD4|56256	24.7308	40.0445	215.0892	174.1748	40.4135	141.7047	48.2343	26.7442	479.3765	96.488	10.4918	140.1824	79.594	36.3015
SESN1|27244	609.8923	852.305	465.2949	357.58	459.5865	1209.4002	575.9403	525.5814	525.3754	392.976	617.7049	340.8545	342.4145	457.188
SESN2|83667	509.7726	47.9545	354.4582	375.6396	435.1504	157.1378	262.4175	329.4574	155.4837	875.0462	424.2623	306.7691	818.9103	316.7171
SESN3|143686	323.8931	10.8763	208.139	129.2264	76.5977	250.4384	142.1189	308.5271	100.3611	120.1479	108.1967	143.543	89.2094	136.262
SESTD1|91404	1060.6302	1035.7187	1177.5034	760.5097	702.5376	1025.9558	3247.7749	941.0853	552.7466	1218.854	678.0328	803.6486	342.9487	1065.895
SETBP1|26040	1219.7846	451.8601	933.1504	480.3853	733.5526	800.0702	742.7505	1349.2248	1308.1163	815.5268	434.0984	384.5415	572.1154	1095.8832
SETD1A|9739	751.0969	957.1128	735.6196	709.5415	1059.2105	541.5644	806.7758	834.1085	851.9293	886.8762	949.5082	780.6049	557.6923	937.5247
SETD1B|23067	1194.655	576.9373	1251.0288	844.7878	1510.3383	1137.4956	903.5314	1417.0543	1537.3503	1275.7856	1160	958.2333	1386.2179	1141.6546
SETD2|29072	2367.3714	1612.656	1846.9136	2114.9794	1854.7932	2263.0656	2398.2199	2379.4574	2212.127	2875.4159	851.1475	1216.9947	1701.9231	1866.1055
SETD3|84193	5017.9497	4310.4684	3663.1001	4061.0013	4531.9549	4446.8608	1447.3155	5139.5349	4157.3845	3951.5712	3639.3443	3220.8353	4165.0641	5595.1598
SETD4|54093	408.4563	649.1163	274.3484	807.4646	672.4624	238.5128	163.9391	525.969	661.8514	393.7153	577.0492	530.0048	550.2137	185.1901
SETD5|55209	1436.3781	746.5085	1270.7819	1104.0433	1177.1617	1015.4332	1300.0287	1327.907	1293.6704	2275.0462	811.8033	1284.2055	1222.2222	1270.025
SETD6|79918	223.9729	213.1158	255.2757	184.9985	280.484	350.8032	268.6994	148.8488	253.6552	347.7449	183.9213	312.9621	188.8675	252.6529
SETD7|80854	1282.4093	1174.6385	1764.2433	1717.267	1494.8308	1350.4034	1552.9716	3965.1163	811.6328	662.4769	1641.3115	935.6697	1332.7991	1238.9846
SETD8|387893	627.4432	606.1055	541.3809	834.3534	692.6692	554.5423	532.874	568.9922	628.3976	784.1035	649.8361	626.9803	1186.9658	688.6755
SETDB1|9869	355.006	738.1041	407.1331	431.0224	425.7519	507.892	398.7941	447.2868	396.5026	498.7061	371.1475	408.5454	352.0299	437.1958
SETDB2|83852	376.9446	1125.6952	460.5396	577.1044	462.406	895.4753	849.555	1163.5659	633.3397	982.9945	376.3934	502.6404	330.1282	557.1485
SETMAR|6419	1869.5652	976.3935	1909.465	1432.3267	1956.297	1228.3409	449.0382	1406.2016	1279.9848	914.2329	547.541	1010.5617	1160.2564	1474.1549
SETX|23064	1867.1719	1093.5607	2163.3288	2052.3728	1696.4286	1185.1982	2825.7249	1570.5426	2012.9253	2257.671	829.5082	1324.5319	925.2137	1539.9185
SET|6418	5055.8436	4359.9061	4687.7	4862.4461	4282.4248	2118.2041	4658.9147	3688.3721	4808.9717	5182.6248	1805.2459	4874.2199	2232.906	4797.0538
SEZ6L2|26470	5.9832	56.8533	270.6904	42.9417	215.6955	42.4412	317.5423	20.155	7.9833	72.0887	1104.918	238.1181	36.3248	32.0926
SEZ6L|23544	1319.1065	177.9755	880.1097	165.747	296.5226	119.6072	8.039	305.814	853.8301	459.1497	80.6557	2.4004	953.5256	120.4788
SEZ6|124925	0.7978	0.4944	0	0.8026	15.0376	0.3508	0.2871	1.5504	0.3802	1.1091	1.3115	0.9602	4.8077	0.5261
SF1|7536	3968.0893	3655.914	4712.9401	4343.935	5109.0226	3236.0575	4027.2753	3124.4186	3918.6466	5150.0924	4867.541	3842.0547	3834.9359	3310.2723
SF3A1|10291	2761.8269	1847.4651	2679.8537	2905.1349	2192.937	2469.2669	2687.3701	2644.9302	2460.977	2860.8503	2287.7377	1589.0062	1942.2382	2283.6722
SF3A2|8175	651.775	1328.8839	864.0146	1065.5162	1245.3008	415.2929	734.9986	633.7209	704.809	1222.5508	1579.6721	1127.7004	1189.6368	1351.0456
SF3A3|10946	736.7371	623.4087	981.8016	822.715	851.0338	754.4721	811.3695	705.814	950.3897	770.7948	815.7377	821.4114	847.2222	701.8282
SF3B14|51639	478.6598	1025.8312	695.3818	599.9799	601.5038	724.658	823.7152	572.8682	548.1848	588.9094	498.3607	753.2405	665.0641	687.6233
SF3B1|23451	3471.4799	4035.5951	3874.8971	3604.2942	2500.4699	4282.0063	5047.6601	3788.7597	3246.5311	4680.9612	2302.9508	3714.3543	2279.3803	3497.5667
SF3B2|10992	4787.3953	5228.5255	5647.9195	4811.0766	5420.5827	4673.7987	4603.2156	2448.4496	4298.8025	5146.7652	4550.8197	4739.3183	4728.0983	5376.2988
SF3B3|23450	4054.647	1894.945	3969.273	3557.3392	3251.8797	2308.6636	3031.0078	3641.8605	3571.5643	3504.2514	2201.9672	2058.0893	1549.6795	3587.0051
SF3B4|10262	859.992	1895.9338	962.4143	680.2448	1225.5639	1011.9256	759.6899	706.9767	918.0764	802.5878	856.3934	1485.3577	1003.2051	1101.6704
SF3B5|83443	1254.0886	3110.1224	1370.6447	1535.8684	1909.7744	1908.8039	1829.7445	1229.4574	1304.6949	1097.2274	2212.459	1979.8368	2002.1368	1678.811
SF4|57794	474.272	757.3847	562.963	534.5641	752.8195	356.3662	484.0655	472.8682	488.8804	556.3771	609.1803	445.0312	712.0726	617.6509
SFI1|9814	440.7659	316.4009	505.8985	317.8489	570.4887	239.9158	332.472	348.062	367.9909	429.2052	515.4098	404.2247	625	480.8628
SFMBT1|51460	426.4061	109.2572	266.3009	382.4621	248.5902	263.4163	235.1421	427.907	318.5706	361.183	165.9016	166.1066	215.812	244.6403
SFMBT2|57713	20.7419	9.8875	88.8889	134.4437	23.4962	62.785	74.6483	27.907	59.3043	126.8022	117.377	34.0855	30.4487	12.1005
SFN|2810	94.1643	0	1.2291	2.1752	27.9981	2.806	13.7812	0	0	1.1091	24.6951	2137.9117	8.1036	5.2611
SFPQ|6421	2681.0172	2364.3209	3306.5021	1460.295	2410.8177	2379.0951	3211.4068	2785.1667	2516.8105	2999.3457	1149.5672	3050.6433	1596.6186	2113.2027
SFRP1|6422	7.9777	16.3144	27.8006	2.8093	162.594	110.1368	33.5917	24.4186	19.7681	25.5083	45.9016	113.7782	26.7094	14.2049
SFRP2|6423	223.7734	275.8621	182.5332	1075.148	134.3985	598.0358	232.5581	109.3023	1576.1262	2623.2902	142.2951	2126.7403	814.1026	137.8403
SFRP4|6424	15.1576	19.2807	116.3237	183.8066	308.2707	186.2504	1.4355	56.9767	11.0245	7.7634	140.3279	467.1147	153.8462	52.0847
SFRP5|6425	0	0.4944	2.1948	0	4.2293	0	0	0.3876	0	0	3.9344	0.4801	6.4103	0
SFRS11|9295	1102.9118	726.239	1284.6822	1273.4022	789.9436	966.6784	1379.5579	1163.1783	1038.5858	1591.1275	976.3934	1439.7504	799.1453	1371.0377
SFRS12IP1|285672	574.7906	443.9501	424.6914	412.1601	419.6429	679.4107	697.9615	565.5039	597.605	643.9926	203.9344	413.3461	511.2179	537.6825
SFRS12|140890	1552.852	504.264	1132.1445	1382.9638	752.3496	879.3406	956.9337	1158.9147	1104.3528	1841.7745	571.8033	701.3922	807.6923	1114.8231
SFRS13A|10772	916.2345	701.5202	957.2931	844.3865	740.1316	823.5707	996.2676	1099.2248	960.2737	1118.6691	604.5902	1101.2962	664.5299	695.5149
SFRS13B|135295	5.9832	10.3819	1.4632	1.6053	4.2293	32.2694	18.6621	1.938	1.9008	4.0665	1.9672	7.6812	6.4103	3.1566
SFRS14|10147	1675.708	1381.2928	1580.3018	2047.6412	1748.6325	1560.9049	1631.6738	1545.4147	1902.0148	1988.3031	1511.4951	1253.0293	1811.9872	1526.8552
SFRS15|57466	442.7603	553.7016	420.6676	700.7124	750.4699	393.5461	411.4269	811.2403	557.6887	482.0702	721.3115	723.9558	351.4957	401.4205
SFRS16|11129	410.0519	580.8923	420.6676	399.3177	510.3383	318.134	364.054	349.2248	369.5115	729.0203	365.2459	454.6327	737.7137	613.4421
SFRS17A|8227	862.7842	633.2963	519.7988	584.3283	1110.4323	456.6819	479.4717	529.0698	517.012	780.7763	1294.4262	1245.7993	1218.4829	714.4548
SFRS18|25957	938.1731	1243.8512	897.668	839.5706	769.7368	1313.5742	1324.433	827.1318	919.597	1532.329	741.6393	987.9981	1278.312	975.9306
SFRS1|6426	2682.0901	2740.8231	2809.6936	2457.7104	2207.7068	2266.5731	2902.0959	3233.7209	2563.7711	3285.0277	1565.2459	2910.7057	1977.5641	2640.0105
SFRS2B|10929	1380.1356	1088.1226	1510.3795	1312.732	1623.5902	1032.6201	1251.5073	875.969	1624.7862	1482.8096	1608.5246	1487.278	1415.0641	1407.3392
SFRS2IP|9169	2628.6398	1183.5373	3266.5752	2924.0494	1692.6692	4650.6489	3545.7939	3655.0388	3318.7607	4059.5194	1194.0984	1818.0509	1498.9316	2240.1684
SFRS2|6427	1819.5054	1982.5535	2181.8747	1647.0192	2005.5404	1595.2368	1857.8697	1969.6085	1915.6396	2085.1091	1545.5475	2614.6519	1584.14	1673.9235
SFRS3|6428	2783.4065	2485.2305	2661.9113	1906.2908	2546.5226	2358.12	3030.7206	2431.3953	2163.467	2796.6728	1337.7049	3277.4844	1827.4573	1929.7646
SFRS4|6429	1017.5509	635.7681	963.8775	958.3626	963.8158	584.0056	1067.4706	1062.7907	647.4054	1095.7486	903.6066	1461.3538	987.7137	1149.5462
SFRS5|6430	4962.9039	5303.6707	5688.5231	2764.7236	4489.1917	3056.8222	2033.3046	5069.3798	5221.0606	7918.6691	3252.459	3963.5142	4893.6966	4402.9988
SFRS6|6431	2277.6227	2013.101	2397.4394	898.5653	1909.7744	2121.7117	1915.0158	2338.7597	2391.9407	3382.9945	1116.0656	2657.7052	2020.2991	1331.0535
SFRS7|6432	863.582	540.8479	810.2423	665.7971	663.5338	774.4651	1056.5604	862.0155	561.1101	933.8262	537.0492	1043.2069	589.2094	630.2775
SFRS8|6433	784.2042	745.5197	900.2286	778.168	1056.391	576.289	693.6549	758.5271	766.7744	1002.5878	674.7541	725.8761	1195.5128	1107.4576
SFRS9|8683	2388.5122	2001.2359	2656.7901	2429.2164	3096.3346	2495.2648	1529.1415	2360.8527	2440.2205	2557.1165	2121.9672	2112.338	3221.688	2254.3733
